id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
sh0001,高雄市燕巢動物保護關愛園區,OPERATIONAL,KSH021,高雄市燕巢區師大路98號,07-6051002,36.0,6,4.4,352,2025-10-10,120.4046631,22.7926808,https://maps.google.com/?cid=16387471073280993827,https://livestock.kcg.gov.tw/Pets/DongwuShourong/YuanquJieshao/YuanquJieshao02.htm,ChIJRyTpfLkTbjQRIyrn2R3-a-M,2025-11-17 16:07:03
sh0002,高雄市壽山動物保護教育園區,OPERATIONAL,KSH002,高雄市鼓山區萬壽路350號,07-5519059,36.0,6,3.5,324,2025-10-18,120.2779954,22.6370301,https://maps.google.com/?cid=11302350210491325426,https://livestock.kcg.gov.tw/Pets/DongwuShourong/YuanquJieshao/YuanquJieshao01.htm,ChIJe6qQiGsEbjQR8ptlT6ID2pw,2025-11-17 16:07:03
sh0003,臺南市動物之家善化站,OPERATIONAL,TNA019,臺南市善化區東昌里東勢寮1~19號,06-5832399,30.0,6,4.3,391,2025-06-27,120.33165,23.1487421,https://maps.google.com/?cid=7666766334518978926,https://ahipo.tainan.gov.tw/,ChIJAYGv1Md8bjQRbmntaFzTZWo,2025-11-17 16:07:03
sh0004,臺南市動物之家灣裡站,OPERATIONAL,TNA033,臺南市南區省躬里14鄰萬年路580巷92號,06-2964439,30.0,6,4.3,504,2025-08-03,120.1942454,22.9367158,https://maps.google.com/?cid=18019227791402857973,https://www.facebook.com/wanlidogsandcats/,ChIJfTmyzwd1bjQR9fVp0TQoEfo,2025-11-17 16:07:03
sh0005,臺中市動物之家后里園區,OPERATIONAL,TCH015,臺中市后里區堤防路370號,04-25588024,8.0,6,4.6,581,2025-09-16,120.7095659,24.2863873,https://maps.google.com/?cid=2389863193963247079,https://www.animal.taichung.gov.tw/,ChIJyeW5aY4RaTQR57X1sel_KiE,2025-11-17 16:07:03
sh0006,臺中市動物之家南屯園區,OPERATIONAL,TCH007,臺中市南屯區中台路601號,04-23850976,10.0,6,4.1,827,2025-07-21,120.5752716,24.1477184,https://maps.google.com/?cid=6490306207961601503,https://www.animal.taichung.gov.tw/,ChIJvZdowFQ-aTQR31UQ6RszElo,2025-11-17 16:07:03
sh0007,桃園市動物保護教育園區,OPERATIONAL,TYN011,桃園市新屋區永興里藻礁路1668號,03-4861760,27.5,6,4.1,1286,2025-07-03,121.0277731,25.0084953,https://maps.google.com/?cid=14019593916125159023,https://taw.tycg.gov.tw/,ChIJO1r8MdwuaDQRbx7eQWOaj8I,2025-11-17 16:07:03
sh0008,新北市三芝區公立動物之家,OPERATIONAL,NTP021,新北市三芝區青山路,02-26365436,20.0,6,4.5,26,2025-11-02,121.5382887,25.2268162,https://maps.google.com/?cid=5000074026644814138,,ChIJ9c7A2FGzQjQROjnS8NXUY0U,2025-11-17 16:07:03
sh0009,新北市八里區公立動物之家,OPERATIONAL,NTP023,新北市八里區長坑里6鄰長坑道路36號,02-26194428,20.0,6,3.4,89,2025-08-20,121.3981716,25.0877004,https://maps.google.com/?cid=13592738327260614883,,ChIJ2y68Iy-kQjQR49A0wX0bo7w,2025-11-17 16:07:03
sh0010,新北市五股區公立動物之家,OPERATIONAL,NTP015,新北市五股區外寮路9-9號,02-82925265,24.0,6,4.5,637,2025-06-16,121.4157993,25.0776139,https://maps.google.com/?cid=5310138030619464479,https://www.facebook.com/%E4%BA%94%E8%82%A1%E5%8B%95%E7%89%A9%E4%B9%8B%E5%AE%B6-%E5%85%8D%E8%B2%BB%E7%8B%97%E7%8B%97%E8%B2%93%E8%B2%93%E8%AA%8D%E9%A4%8A%E5%AE%B6-139346232875234/,ChIJ8xocoT-mQjQRH5Ndj2dmsUk,2025-11-17 16:07:03
