id,name,buss_status,loc_id,city_id,category_id,address,phone,op_hours,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time,store_count,w_area_cat,P75_district_rating_total,P75_city_rating_total,m_city_area_cat,district_rating_avg,avb_score,store_score
sal0001,毛樂居寵物美容工作室,OPERATIONAL,NTP029,NTP,4,233臺灣新北市烏來區溫泉街47號,,45.0,0.0,0.0,,121.5515846,24.8614266,https://maps.google.com/?cid=11355879125359784900,,ChIJrcvWcAAHaDQRxPNXA-YvmJ0,2025/10/30 09:43:54,1,0.03225806451612903,0.0,95.75,92.66129032258065,0.0,0.6339285714285714,0.0
sal0002,星光貓舍｜曼赤肯｜英短｜小步舞曲｜英長｜貓咪洗澡美容｜貓咪住宿 ｜新北貓舍,OPERATIONAL,NTP008,NTP,4,239臺灣新北市鶯歌區三鶯路106號,,0.0,5.0,49.0,2025-08-19,121.359142,24.9437539,https://maps.google.com/?cid=12376728134590950362,,ChIJAzTNiZwbaDQR2mvg56n4wqs,2025/10/30 09:43:54,15,0.3333333333333333,58.5,95.75,83.33333333333334,4.08,0.5,0.44206549118387917
sal0003,新同學寵物美容,OPERATIONAL,NTP009,NTP,4,237臺灣新北市三峽區復興路141號,0226716300,48.0,5.0,4.0,2025-01-16,121.3710623,24.9381469,https://maps.google.com/?cid=14774640014360391684,,ChIJXw9AYwAbaDQRBDA5TNAQCs0,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.6428571428571428,0.5934146889944979
sal0004,妙比寵物美容,OPERATIONAL,NTP009,NTP,4,237臺灣新北市三峽區文化路20號2樓,0226738321,40.0,4.8,39.0,2020-11-09,121.3732994,24.9359078,https://maps.google.com/?cid=13996134824851865085,http://www.facebook.com/mubepet,ChIJzQCMsvMbaDQR_f3E73dCPMI,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.6190476190476191,0.576492647415857
sal0005,瑪妮寵物,OPERATIONAL,NTP008,NTP,4,239臺灣新北市鶯歌區中正三路278號,0226771300,0.0,4.6,7.0,2023-08-18,121.328898,24.9360683,https://maps.google.com/?cid=17819326260165638416,,ChIJ9dHkBD8ZaDQREHn2odL2Svc,2025/10/30 09:43:54,15,0.3333333333333333,58.5,95.75,83.33333333333334,4.08,0.5,0.412029520295203
sal0006,三峽北大QMO寵物美容 貓狗美容,OPERATIONAL,NTP009,NTP,4,"1樓 No. 13號, 1樓, No. 13號中華路75巷三峽區新北市臺灣 237",0286713013,43.0,4.6,57.0,2024-11-07,121.3728286,24.9299633,https://maps.google.com/?cid=11716146678371440082,https://www.facebook.com/QMOpet/,ChIJFfwMRewbaDQR0tWzRFQdmKI,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.6279761904761905,0.5777380952380952
sal0007,哈哈窩寵物精品館(新北三峽店),OPERATIONAL,NTP009,NTP,4,237臺灣新北市三峽區文化路66號,0226742799,84.0,4.3,101.0,2025-07-22,121.3723806,24.9362152,https://maps.google.com/?cid=16502815234519480600,https://www.facebook.com/%E5%93%88%E5%93%88%E7%AA%A9%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E9%A4%A8-%E4%B8%89%E5%B3%BD%E5%BA%97-1136920036421284,ChIJbwWMy_MbaDQRGDlwJwXHBeU,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.75,0.667340269874817
sal0008,台北寵物美容 寵物美容教學 台北寵物美容教學,OPERATIONAL,NTP009,NTP,4,237臺灣新北市三峽區國學街1號,0956000075,63.0,4.2,124.0,2022-07-21,121.3734075,24.9415987,https://maps.google.com/?cid=11378918088627659057,http://www.amopetgrooming.com/,ChIJjTvRsfUbaDQRMSHrqLYJ6p0,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.6875,0.6019958432592737
sal0009,幸福狗窩,OPERATIONAL,NTP009,NTP,4,"No. 165, No. 165號國光街三峽區新北市臺灣 237",0226738299,52.5,3.8,19.0,2018-04-15,121.3715421,24.9394231,https://maps.google.com/?cid=7109624230124698862,,ChIJw74CZXUcaDQR7rwXo5F1qmI,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.65625,0.586925359794665
sal0010,浪花寵藝寵物美容．用品．住宿,OPERATIONAL,NTP009,NTP,4,237臺灣新北市三峽區長泰街48號一樓,0929387655,45.0,4.9,64.0,2023-08-14,121.3780336,24.9325234,https://maps.google.com/?cid=3879997136574198516,https://instagram.com/groomer.mei?igshid=MWI4MTIyMDE=,ChIJeza4mE4baDQR9LIJr9aE2DU,2025/10/30 09:43:54,16,0.34782608695652173,106.75,95.75,99.57608695652175,4.6,0.6339285714285714,0.5980959579658829
