loc_id,city,district,area,population
NTP001,新北市,板橋區,23.137,550256.0
NTP002,新北市,三重區,16.317,383035.0
NTP003,新北市,中和區,20.144,404507.0
NTP004,新北市,永和區,5.714,211631.0
NTP005,新北市,新莊區,19.738,421669.0
NTP006,新北市,新店區,120.226,307003.0
NTP007,新北市,樹林區,33.129,177602.0
NTP008,新北市,鶯歌區,21.125,89581.0
NTP009,新北市,三峽區,191.451,115077.0
NTP010,新北市,淡水區,70.656,206758.0
NTP011,新北市,汐止區,71.235,212788.0
NTP012,新北市,瑞芳區,70.734,35751.0
NTP013,新北市,土城區,29.558,242434.0
NTP014,新北市,蘆洲區,7.435,196745.0
NTP015,新北市,五股區,34.863,94510.0
NTP016,新北市,泰山區,19.16,78101.0
NTP017,新北市,林口區,54.152,138017.0
NTP018,新北市,深坑區,20.579,23688.0
NTP019,新北市,石碇區,144.35,6939.0
NTP020,新北市,坪林區,170.835,6184.0
NTP021,新北市,三芝區,65.991,22125.0
NTP022,新北市,石門區,51.264,10024.0
NTP023,新北市,八里區,39.493,43448.0
NTP024,新北市,平溪區,71.338,3936.0
NTP025,新北市,雙溪區,146.248,7477.0
NTP026,新北市,貢寮區,99.973,10498.0
NTP027,新北市,金山區,49.213,19788.0
NTP028,新北市,萬里區,63.377,20301.0
NTP029,新北市,烏來區,321.131,6164.0
TPE001,臺北市,松山區,9.288,187465.0
TPE002,臺北市,信義區,11.208,201806.0
TPE003,臺北市,大安區,11.361,282653.0
TPE004,臺北市,中山區,13.682,212454.0
TPE005,臺北市,中正區,7.607,144477.0
TPE006,臺北市,大同區,5.682,116821.0
TPE007,臺北市,萬華區,8.852,169024.0
TPE008,臺北市,文山區,31.509,253991.0
TPE009,臺北市,南港區,21.842,111045.0
TPE010,臺北市,內湖區,31.579,268385.0
TPE011,臺北市,士林區,62.368,258695.0
TPE012,臺北市,北投區,56.822,236175.0
TYN001,桃園市,桃園區,34.805,477988.0
TYN002,桃園市,中壢區,76.52,438903.0
TYN003,桃園市,大溪區,105.121,94014.0
TYN004,桃園市,楊梅區,89.123,182775.0
TYN005,桃園市,蘆竹區,75.502,170615.0
TYN006,桃園市,大園區,87.392,89122.0
