loc_id,date,animal,regis_count,removal_count,update_date
NTP028,2025/11/15,0,0,0,2025/11/16
NTP027,2025/11/15,0,0,0,2025/11/16
NTP001,2025/11/15,0,3,0,2025/11/16
NTP011,2025/11/15,0,2,0,2025/11/16
NTP018,2025/11/15,0,0,0,2025/11/16
NTP019,2025/11/15,0,0,0,2025/11/16
NTP012,2025/11/15,0,0,0,2025/11/16
NTP024,2025/11/15,0,0,0,2025/11/16
NTP025,2025/11/15,0,0,0,2025/11/16
NTP026,2025/11/15,0,0,0,2025/11/16
NTP006,2025/11/15,0,0,0,2025/11/16
NTP020,2025/11/15,0,0,0,2025/11/16
NTP029,2025/11/15,0,0,0,2025/11/16
NTP004,2025/11/15,0,5,0,2025/11/16
NTP003,2025/11/15,0,9,0,2025/11/16
NTP013,2025/11/15,0,0,0,2025/11/16
NTP009,2025/11/15,0,0,0,2025/11/16
NTP007,2025/11/15,0,0,0,2025/11/16
NTP008,2025/11/15,0,1,0,2025/11/16
NTP002,2025/11/15,0,0,0,2025/11/16
NTP005,2025/11/15,0,0,0,2025/11/16
NTP016,2025/11/15,0,0,0,2025/11/16
NTP017,2025/11/15,0,1,0,2025/11/16
NTP014,2025/11/15,0,0,0,2025/11/16
NTP015,2025/11/15,0,1,0,2025/11/16
NTP023,2025/11/15,0,1,0,2025/11/16
NTP010,2025/11/15,0,3,0,2025/11/16
NTP021,2025/11/15,0,0,0,2025/11/16
NTP022,2025/11/15,0,0,0,2025/11/16
NTP028,2025/11/15,1,0,0,2025/11/16
NTP027,2025/11/15,1,0,0,2025/11/16
NTP001,2025/11/15,1,18,0,2025/11/16
NTP011,2025/11/15,1,4,0,2025/11/16
NTP018,2025/11/15,1,0,0,2025/11/16
NTP019,2025/11/15,1,0,0,2025/11/16
NTP012,2025/11/15,1,0,0,2025/11/16
NTP024,2025/11/15,1,0,0,2025/11/16
NTP025,2025/11/15,1,0,0,2025/11/16
NTP026,2025/11/15,1,0,0,2025/11/16
NTP006,2025/11/15,1,7,0,2025/11/16
NTP020,2025/11/15,1,0,0,2025/11/16
NTP029,2025/11/15,1,0,0,2025/11/16
NTP004,2025/11/15,1,15,0,2025/11/16
NTP003,2025/11/15,1,4,0,2025/11/16
NTP013,2025/11/15,1,5,0,2025/11/16
NTP009,2025/11/15,1,2,0,2025/11/16
NTP007,2025/11/15,1,1,0,2025/11/16
NTP008,2025/11/15,1,1,0,2025/11/16
NTP002,2025/11/15,1,4,0,2025/11/16
NTP005,2025/11/15,1,10,0,2025/11/16
NTP016,2025/11/15,1,1,0,2025/11/16
NTP017,2025/11/15,1,2,0,2025/11/16
NTP014,2025/11/15,1,2,0,2025/11/16
NTP015,2025/11/15,1,3,0,2025/11/16
NTP023,2025/11/15,1,0,0,2025/11/16
NTP010,2025/11/15,1,5,0,2025/11/16
NTP021,2025/11/15,1,1,0,2025/11/16
NTP022,2025/11/15,1,0,0,2025/11/16
TPE005,2025/11/15,0,0,0,2025/11/16
TPE006,2025/11/15,0,1,0,2025/11/16
TPE004,2025/11/15,0,1,0,2025/11/16
TPE001,2025/11/15,0,0,0,2025/11/16
TPE003,2025/11/15,0,6,0,2025/11/16
TPE007,2025/11/15,0,0,0,2025/11/16
TPE002,2025/11/15,0,0,0,2025/11/16
TPE011,2025/11/15,0,1,0,2025/11/16
TPE012,2025/11/15,0,1,0,2025/11/16
TPE010,2025/11/15,0,1,0,2025/11/16
TPE009,2025/11/15,0,0,0,2025/11/16
TPE008,2025/11/15,0,2,0,2025/11/16
TPE005,2025/11/15,1,0,0,2025/11/16
TPE006,2025/11/15,1,1,0,2025/11/16
TPE004,2025/11/15,1,7,0,2025/11/16
TPE001,2025/11/15,1,0,0,2025/11/16
TPE003,2025/11/15,1,11,0,2025/11/16
TPE007,2025/11/15,1,4,0,2025/11/16
TPE002,2025/11/15,1,4,0,2025/11/16
TPE011,2025/11/15,1,3,0,2025/11/16
TPE012,2025/11/15,1,0,0,2025/11/16
TPE010,2025/11/15,1,4,0,2025/11/16
TPE009,2025/11/15,1,0,0,2025/11/16
