loc_id,date,animal,regis_count,removal_count,update_date
NTP028,0,2025/11/06,0,0,2025/11/07
NTP027,0,2025/11/06,0,0,2025/11/07
NTP001,0,2025/11/06,4,0,2025/11/07
NTP011,0,2025/11/06,0,0,2025/11/07
NTP018,0,2025/11/06,1,0,2025/11/07
NTP019,0,2025/11/06,0,0,2025/11/07
NTP012,0,2025/11/06,1,0,2025/11/07
NTP024,0,2025/11/06,0,0,2025/11/07
NTP025,0,2025/11/06,0,0,2025/11/07
NTP026,0,2025/11/06,1,0,2025/11/07
NTP006,0,2025/11/06,5,0,2025/11/07
NTP020,0,2025/11/06,0,0,2025/11/07
NTP029,0,2025/11/06,0,0,2025/11/07
NTP004,0,2025/11/06,0,0,2025/11/07
NTP003,0,2025/11/06,2,0,2025/11/07
NTP013,0,2025/11/06,2,0,2025/11/07
NTP009,0,2025/11/06,0,0,2025/11/07
NTP007,0,2025/11/06,1,0,2025/11/07
NTP008,0,2025/11/06,0,0,2025/11/07
NTP002,0,2025/11/06,9,0,2025/11/07
NTP005,0,2025/11/06,0,0,2025/11/07
NTP016,0,2025/11/06,0,0,2025/11/07
NTP017,0,2025/11/06,2,0,2025/11/07
NTP014,0,2025/11/06,3,0,2025/11/07
NTP015,0,2025/11/06,0,0,2025/11/07
NTP023,0,2025/11/06,0,0,2025/11/07
NTP010,0,2025/11/06,0,0,2025/11/07
NTP021,0,2025/11/06,1,0,2025/11/07
NTP022,0,2025/11/06,0,0,2025/11/07
NTP028,1,2025/11/06,0,0,2025/11/07
NTP027,1,2025/11/06,0,0,2025/11/07
NTP001,1,2025/11/06,17,0,2025/11/07
NTP011,1,2025/11/06,2,0,2025/11/07
NTP018,1,2025/11/06,2,0,2025/11/07
NTP019,1,2025/11/06,0,0,2025/11/07
NTP012,1,2025/11/06,0,0,2025/11/07
NTP024,1,2025/11/06,0,0,2025/11/07
NTP025,1,2025/11/06,0,0,2025/11/07
NTP026,1,2025/11/06,0,0,2025/11/07
NTP006,1,2025/11/06,30,0,2025/11/07
NTP020,1,2025/11/06,0,0,2025/11/07
NTP029,1,2025/11/06,0,0,2025/11/07
NTP004,1,2025/11/06,7,0,2025/11/07
NTP003,1,2025/11/06,5,0,2025/11/07
NTP013,1,2025/11/06,4,0,2025/11/07
NTP009,1,2025/11/06,3,0,2025/11/07
NTP007,1,2025/11/06,6,0,2025/11/07
NTP008,1,2025/11/06,2,0,2025/11/07
NTP002,1,2025/11/06,18,0,2025/11/07
NTP005,1,2025/11/06,5,0,2025/11/07
NTP016,1,2025/11/06,0,0,2025/11/07
NTP017,1,2025/11/06,2,0,2025/11/07
NTP014,1,2025/11/06,0,0,2025/11/07
NTP015,1,2025/11/06,15,0,2025/11/07
NTP023,1,2025/11/06,2,0,2025/11/07
NTP010,1,2025/11/06,3,0,2025/11/07
NTP021,1,2025/11/06,0,0,2025/11/07
NTP022,1,2025/11/06,0,0,2025/11/07
TPE005,0,2025/11/06,0,0,2025/11/07
TPE006,0,2025/11/06,0,0,2025/11/07
TPE004,0,2025/11/06,2,0,2025/11/07
TPE001,0,2025/11/06,2,0,2025/11/07
TPE003,0,2025/11/06,11,0,2025/11/07
TPE007,0,2025/11/06,2,0,2025/11/07
TPE002,0,2025/11/06,2,0,2025/11/07
TPE011,0,2025/11/06,1,0,2025/11/07
TPE012,0,2025/11/06,11,0,2025/11/07
TPE010,0,2025/11/06,0,0,2025/11/07
TPE009,0,2025/11/06,0,0,2025/11/07
TPE008,0,2025/11/06,0,0,2025/11/07
TPE005,1,2025/11/06,0,0,2025/11/07
TPE006,1,2025/11/06,5,0,2025/11/07
TPE004,1,2025/11/06,4,0,2025/11/07
TPE001,1,2025/11/06,3,0,2025/11/07
TPE003,1,2025/11/06,7,0,2025/11/07
TPE007,1,2025/11/06,5,0,2025/11/07
TPE002,1,2025/11/06,5,0,2025/11/07
TPE011,1,2025/11/06,5,0,2025/11/07
TPE012,1,2025/11/06,4,0,2025/11/07
TPE010,1,2025/11/06,5,0,2025/11/07
TPE009,1,2025/11/06,2,0,2025/11/07
TPE008,1,2025/11/06,2,0,2025/11/07
TYN002,0,2025/11/06,8,0,2025/11/07
TYN010,0,2025/11/06,0,0,2025/11/07
TYN009,0,2025/11/06,1,0,2025/11/07
TYN004,0,2025/11/06,0,0,2025/11/07
TYN011,0,2025/11/06,0,0,2025/11/07
TYN012,0,2025/11/06,0,0,2025/11/07
TYN001,0,2025/11/06,6,0,2025/11/07
TYN007,0,2025/11/06,2,0,2025/11/07
TYN008,0,2025/11/06,2,0,2025/11/07
TYN003,0,2025/11/06,7,0,2025/11/07
TYN013,0,2025/11/06,1,0,2025/11/07
TYN006,0,2025/11/06,1,0,2025/11/07
TYN005,0,2025/11/06,3,0,2025/11/07
TYN002,1,2025/11/06,8,0,2025/11/07
TYN010,1,2025/11/06,8,0,2025/11/07
TYN009,1,2025/11/06,2,0,2025/11/07
TYN004,1,2025/11/06,4,0,2025/11/07
TYN011,1,2025/11/06,3,0,2025/11/07
TYN012,1,2025/11/06,1,0,2025/11/07
TYN001,1,2025/11/06,25,0,2025/11/07
TYN007,1,2025/11/06,4,0,2025/11/07
TYN008,1,2025/11/06,5,0,2025/11/07
TYN003,1,2025/11/06,1,0,2025/11/07
TYN013,1,2025/11/06,0,0,2025/11/07
TYN006,1,2025/11/06,13,0,2025/11/07
TYN005,1,2025/11/06,6,0,2025/11/07
TCH001,0,2025/11/06,2,0,2025/11/07
TCH002,0,2025/11/06,0,0,2025/11/07
TCH003,0,2025/11/06,4,0,2025/11/07
TCH004,0,2025/11/06,0,0,2025/11/07
TCH005,0,2025/11/06,1,0,2025/11/07
TCH008,0,2025/11/06,4,0,2025/11/07
TCH006,0,2025/11/06,1,0,2025/11/07
TCH007,0,2025/11/06,7,0,2025/11/07
TCH027,0,2025/11/06,2,0,2025/11/07
TCH028,0,2025/11/06,3,0,2025/11/07
TCH026,0,2025/11/06,0,0,2025/11/07
TCH023,0,2025/11/06,0,0,2025/11/07
TCH009,0,2025/11/06,1,0,2025/11/07
TCH015,0,2025/11/06,1,0,2025/11/07
TCH020,0,2025/11/06,0,0,2025/11/07
TCH010,0,2025/11/06,1,0,2025/11/07
TCH029,0,2025/11/06,1,0,2025/11/07
TCH019,0,2025/11/06,0,0,2025/11/07
TCH017,0,2025/11/06,1,0,2025/11/07
TCH018,0,2025/11/06,1,0,2025/11/07
TCH016,0,2025/11/06,0,0,2025/11/07
TCH024,0,2025/11/06,0,0,2025/11/07
TCH013,0,2025/11/06,1,0,2025/11/07
TCH025,0,2025/11/06,6,0,2025/11/07
TCH014,0,2025/11/06,0,0,2025/11/07
TCH012,0,2025/11/06,0,0,2025/11/07
TCH011,0,2025/11/06,1,0,2025/11/07
TCH021,0,2025/11/06,0,0,2025/11/07
TCH022,0,2025/11/06,0,0,2025/11/07
TCH001,1,2025/11/06,0,0,2025/11/07
TCH002,1,2025/11/06,1,0,2025/11/07
TCH003,1,2025/11/06,2,0,2025/11/07
TCH004,1,2025/11/06,3,0,2025/11/07
TCH005,1,2025/11/06,16,0,2025/11/07
TCH008,1,2025/11/06,12,0,2025/11/07
TCH006,1,2025/11/06,9,0,2025/11/07
TCH007,1,2025/11/06,7,0,2025/11/07
TCH027,1,2025/11/06,5,0,2025/11/07
TCH028,1,2025/11/06,6,0,2025/11/07
TCH026,1,2025/11/06,1,0,2025/11/07
TCH023,1,2025/11/06,4,0,2025/11/07
TCH009,1,2025/11/06,4,0,2025/11/07
TCH015,1,2025/11/06,1,0,2025/11/07
TCH020,1,2025/11/06,0,0,2025/11/07
TCH010,1,2025/11/06,1,0,2025/11/07
TCH029,1,2025/11/06,1,0,2025/11/07
TCH019,1,2025/11/06,1,0,2025/11/07
TCH017,1,2025/11/06,2,0,2025/11/07
TCH018,1,2025/11/06,3,0,2025/11/07
TCH016,1,2025/11/06,3,0,2025/11/07
TCH024,1,2025/11/06,3,0,2025/11/07
TCH013,1,2025/11/06,10,0,2025/11/07
TCH025,1,2025/11/06,2,0,2025/11/07
TCH014,1,2025/11/06,3,0,2025/11/07
TCH012,1,2025/11/06,7,0,2025/11/07
TCH011,1,2025/11/06,0,0,2025/11/07
TCH021,1,2025/11/06,2,0,2025/11/07
TCH022,1,2025/11/06,0,0,2025/11/07
TNA037,0,2025/11/06,0,0,2025/11/07
TNA032,0,2025/11/06,3,0,2025/11/07
TNA033,0,2025/11/06,8,0,2025/11/07
TNA037,0,2025/11/06,0,0,2025/11/07
TNA034,0,2025/11/06,0,0,2025/11/07
TNA036,0,2025/11/06,1,0,2025/11/07
TNA035,0,2025/11/06,18,0,2025/11/07
TNA031,0,2025/11/06,10,0,2025/11/07
TNA028,0,2025/11/06,7,0,2025/11/07
TNA018,0,2025/11/06,1,0,2025/11/07
TNA026,0,2025/11/06,0,0,2025/11/07
TNA023,0,2025/11/06,0,0,2025/11/07
TNA024,0,2025/11/06,0,0,2025/11/07
TNA025,0,2025/11/06,1,0,2025/11/07
TNA027,0,2025/11/06,4,0,2025/11/07
TNA029,0,2025/11/06,0,0,2025/11/07
TNA030,0,2025/11/06,2,0,2025/11/07
TNA010,0,2025/11/06,0,0,2025/11/07
TNA007,0,2025/11/06,1,0,2025/11/07
TNA012,0,2025/11/06,3,0,2025/11/07
TNA014,0,2025/11/06,0,0,2025/11/07
TNA015,0,2025/11/06,0,0,2025/11/07
TNA016,0,2025/11/06,4,0,2025/11/07
TNA013,0,2025/11/06,2,0,2025/11/07
TNA017,0,2025/11/06,0,0,2025/11/07
TNA001,0,2025/11/06,0,0,2025/11/07
TNA005,0,2025/11/06,0,0,2025/11/07
TNA003,0,2025/11/06,2,0,2025/11/07
TNA006,0,2025/11/06,2,0,2025/11/07
TNA009,0,2025/11/06,0,0,2025/11/07
TNA008,0,2025/11/06,0,0,2025/11/07
TNA004,0,2025/11/06,1,0,2025/11/07
TNA002,0,2025/11/06,1,0,2025/11/07
TNA019,0,2025/11/06,1,0,2025/11/07
TNA011,0,2025/11/06,0,0,2025/11/07
TNA022,0,2025/11/06,0,0,2025/11/07
TNA020,0,2025/11/06,0,0,2025/11/07
TNA021,0,2025/11/06,0,0,2025/11/07
TNA037,1,2025/11/06,4,0,2025/11/07
TNA032,1,2025/11/06,6,0,2025/11/07
TNA033,1,2025/11/06,8,0,2025/11/07
TNA037,1,2025/11/06,0,0,2025/11/07
