id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
res0001,加納富 內洞美食,OPERATIONAL,NTP029,233臺灣新北市烏來區信福路12-3號,0907354496,21.0,2,4.5,413,2025-06-28,121.525986,24.8374171,https://maps.google.com/?cid=12351489874387039577,https://www.ganafucity.com.tw/,ChIJUyy3ys8FaDQRWXWsiZlOaas,2025/11/07 14:42:38
res0002,Shijian Cuo Cafe,OPERATIONAL,NTP009,237臺灣新北市三峽區41-30號,0226729088,60.0,2,4.8,323,2025-05-25,121.365485,24.862743,https://maps.google.com/?cid=11637573328093239701,,ChIJ7e7UL2wbaDQRldmOjEj3gKE,2025/11/07 14:42:38
res0003,桃然亭,OPERATIONAL,TYN013,336044臺灣桃園市復興區123之1號,0955973915,0.0,2,4.9,217,2025-05-24,121.3997087,24.6863929,https://maps.google.com/?cid=968724614099542959,,ChIJj57KahwTaDQRr6OUbOeZcQ0,2025/11/07 14:42:43
res0004,祈樂農莊,OPERATIONAL,TYN013,336臺灣桃園市復興區31之2號,0928593062,168.0,2,4.5,140,2025-09-07,121.3980431,24.6788718,https://maps.google.com/?cid=3706312459781794066,,ChIJeXpsInltaDQREunll4t3bzM,2025/11/07 14:42:43
res0005,"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",OPERATIONAL,TYN013,336臺灣桃園市復興區華陵裏巴崚8鄰30號,033912415,35.0,2,4.6,1254,2025-08-15,121.399532,24.676609,https://maps.google.com/?cid=10852521470955643333,http://www.goodian.com.tw/,ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,2025/11/07 14:42:43
res0006,拉拉山小吃–阿真的店山產美食餐廳,OPERATIONAL,TYN013,336臺灣桃園市復興區巴陵道路123號,033912163,73.5,2,4.3,204,2024-03-23,121.399531,24.6863495,https://maps.google.com/?cid=1289373053782789082,https://ioutrave.weebly.com/ajhensiaochihdian.html,ChIJzx7SdCoTaDQR2guvBfbF5BE,2025/11/07 14:42:43
res0007,No.36Farm 36號農場,OPERATIONAL,TYN013,336臺灣桃園市復興區36號,033912585,98.0,2,4.5,209,2025-04-25,121.3974117,24.6793701,https://maps.google.com/?cid=10395301705963745370,https://36farm.okgo.tw/,ChIJSxzazNVsaDQRWjD7LNOHQ5A,2025/11/07 14:42:43
res0008,拉拉山5.5K農莊,OPERATIONAL,TYN013,336臺灣桃園市復興區華陵村57-1號,033912118,0.0,2,3.9,398,2025-05-25,121.396301,24.6818832,https://maps.google.com/?cid=5856848768049941782,https://www.facebook.com/lalashan5.5k/,ChIJpS1-TNFsaDQRFg3Ncuy0R1E,2025/11/07 14:42:43
res0009,拾初輕食,OPERATIONAL,TCH026,413臺灣臺中市霧峰區民族路2號,0423396089,31.5,2,4.7,351,2025-08-17,120.6951854,24.0432586,https://maps.google.com/?cid=7178644372214820701,https://www.facebook.com/p/1957%E6%8B%BE%E5%88%9D%E8%BC%95%E9%A3%9F%E6%8D%B2%E9%A4%85-100077175437903/?paipv=0&eav=AfZxGEbR5PNlHpNi1YSumrigH6LtH3If0ancIoLMP_-KOPx6MG8FZxFmBVQ7O7Jfm0w&_rdr,ChIJ5YUkDzY7aTQRXa-4vgWrn2M,2025/11/07 14:42:47
res0010,胖子與貓,OPERATIONAL,TCH026,413臺灣臺中市霧峰區柳豐一街66號,0423304161,42.0,2,4.9,966,2024-06-10,120.6876415,24.0430848,https://maps.google.com/?cid=15731820515792190152,https://www.facebook.com/%E8%83%96%E5%AD%90%E8%88%87%E8%B2%93-174880236506468/,ChIJAVCOzHo7aTQRyPr-iWinUto,2025/11/07 14:42:47
