id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
sal0001,瘥?撅秘?拍?摰孵極雿恕,OPERATIONAL,NTP029,233臺灣新北市烏來區溫泉街47號,,45.0,4,0.0,0.0,,121.5515846,24.8614266,https://maps.google.com/?cid=11355879125359784900,,ChIJrcvWcAAHaDQRxPNXA-YvmJ0,2025/11/6 14:08
sal0002,撖菜?撖萇蝢捆,OPERATIONAL,TYN009,325臺灣桃園市龍潭區中原路二段20號,034116385,43.5,4,5.0,10.0,2025-10-05,121.1979749,24.8454477,https://maps.google.com/?cid=16635522719859080934,,ChIJVwVEOEM8aDQR5v4jYsY_3eY,2025/11/6 14:08
sal0003,??撖萇蝢捆,OPERATIONAL,TYN009,325臺灣桃園市龍潭區建國路87號,034091191,49.0,4,4.4,50.0,2024-06-09,121.2341631,24.8428461,https://maps.google.com/?cid=12241927042204133464,,ChIJecPxaDI9aDQRWGjTzMgP5Kk,2025/11/6 14:08
sal0004,?輻?撖萇撠?,OPERATIONAL,TCH026,413臺灣霧峰區中正路259號,0963257128,0.0,4,0.0,0.0,,120.6938283,24.0345092,https://maps.google.com/?cid=15964919617259350316,,ChIJC0cC2SA7aTQRLKloXs7Jjt0,2025/11/6 14:09
sal0005,Jessica 撖萇蝢捆,OPERATIONAL,TCH026,413臺灣臺中市霧峰區林森路502號,0423396502,45.0,4,5.0,4.0,2024-05-16,120.6953285,24.0605025,https://maps.google.com/?cid=4032331193365587161,https://www.facebook.com/jessica.petsalon520,ChIJT91_ekQ7aTQR2WRILdu39Tc,2025/11/6 14:09
sal0006,?曉??曉秘?拍?瘣駁尹 撖萇蝢捆(曈單?摨? ?賊撣恍??秘?拙?,OPERATIONAL,KSH013,832臺灣高雄市林園區鳳林路一段39號,076410998,84.0,4,4.9,285.0,2025-10-18,120.3975342,22.5026654,https://maps.google.com/?cid=1633905344954176371,https://www.pet100pa.com/news,ChIJd__9IwbjcTQRcxObIkHMrBY,2025/11/6 14:09
sal0007,?望ㄝ撖萇 擃????勗?,OPERATIONAL,KSH013,832臺灣高雄市林園區東林東路28號1樓,076425770,84.0,4,4.6,341.0,2025-02-22,120.3965855,22.5037652,https://maps.google.com/?cid=8759634981517553160,https://www.etipets.com/,ChIJw9qh6nvicTQRCG5w65p5kHk,2025/11/6 14:09
sal0008,敹?撖萇蝢捆,OPERATIONAL,KSH013,832臺灣高雄市林園區,076435351,53.0,4,4.7,14.0,2022-03-29,120.3931221,22.5069148,https://maps.google.com/?cid=16763749138127001336,https://m.facebook.com/ZhongAiPet/,ChIJ1a0FjX7icTQR-BbS4QXNpOg,2025/11/6 14:09
sal0009,??秘?拍?瘣駁尹,OPERATIONAL,KSH013,832臺灣高雄市林園區東林西路463號,076439412,0.0,4,4.0,6.0,2019-10-19,120.384948,22.503735,https://maps.google.com/?cid=17377138998410268740,,ChIJr-GobobicTQRRNDU3Nn_J_E,2025/11/6 14:09
sal0010,Thuy Spa 頞?瘣蝢捆蝢,OPERATIONAL,KSH013,832臺灣高雄市林園區北汕二路75號,0955201929,84.0,4,5.0,18.0,2025-10-22,120.407979,22.4820619,https://maps.google.com/?cid=8801776438797435639,,ChIJy4dmXADjcTQR94LsigkxJno,2025/11/6 14:09
sal0011,POYA撖園? 擃???鈭?,OPERATIONAL,KSH013,832臺灣高雄市林園區鳳林路一段39號,076428808,84.0,4,4.3,151.0,2025-08-16,120.3975006,22.5025685,https://maps.google.com/?cid=9644029883654406145,http://www.poyahome.com.tw/,ChIJW8yyYxXjcTQRAQB5OhV61oU,2025/11/6 14:09
