id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
supl0001,哈哈窩寵物精品館(新北三峽店),OPERATIONAL,NTP009,237臺灣新北市三峽區文化路66號,0226742799,84.0,5,4.3,101.0,2021-04-24,121.3723806,24.9362152,https://maps.google.com/?cid=16502815234519480600,https://www.facebook.com/%E5%93%88%E5%93%88%E7%AA%A9%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E9%A4%A8-%E4%B8%89%E5%B3%BD%E5%BA%97-1136920036421284,ChIJbwWMy_MbaDQRGDlwJwXHBeU,2025/11/12 06:55:14
supl0002,毛毛寵星球,OPERATIONAL,NTP009,237臺灣新北市三峽區復興路69號,0286716819,45.0,5,5.0,23.0,2023-10-01,121.372778,24.937189,https://maps.google.com/?cid=8127601715545716113,https://shopee.tw/qpets_shop?categoryId=100631&itemId=19423548231,ChIJq_ycHgAbaDQRkTX1yrIKy3A,2025/11/12 06:55:14
supl0003,沐奇寵物百貨,OPERATIONAL,NTP009,237臺灣新北市三峽區復興路40號,0286762026,77.0,5,5.0,49.0,2023-12-10,121.3738228,24.9369643,https://maps.google.com/?cid=10319371403890290285,,ChIJqSEVLCkbaDQRbW40Ep7FNY8,2025/11/12 06:55:14
supl0004,三峽區民權街83號,OPERATIONAL,NTP009,237臺灣新北市三峽區民權街83號1樓之2,0970667903,35.0,5,4.3,89.0,2025-07-04,121.369575,24.932805,https://maps.google.com/?cid=4037424458776667868,,ChIJcXV_bvMbaDQR3GbbcCfQBzg,2025/11/12 06:55:14
supl0005,Sanxia Aquarium Shop,OPERATIONAL,NTP009,237臺灣新北市三峽區文化路160號,0226712865,77.0,5,3.9,60.0,2023-08-30,121.3700384,24.9361904,https://maps.google.com/?cid=9231182819049507948,,ChIJ0ZXTmPEbaDQRbIwict2_G4A,2025/11/12 06:55:14
supl0006,妙比寵物美容,OPERATIONAL,NTP009,237臺灣新北市三峽區文化路20號2樓,0226738321,40.0,5,4.8,39.0,2020-11-09,121.3732994,24.9359078,https://maps.google.com/?cid=13996134824851865085,http://www.facebook.com/mubepet,ChIJzQCMsvMbaDQR_f3E73dCPMI,2025/11/12 06:55:14
supl0007,幻象水族生活館,OPERATIONAL,NTP009,"號 No. 120, 中正路一段三峽區新北市臺灣 237",0226723551,63.0,5,3.7,97.0,2022-01-29,121.3737195,24.9293663,https://maps.google.com/?cid=16478747870822074639,,ChIJ_YQaXOwbaDQRDwmTX-FFsOQ,2025/11/12 06:55:14
supl0008,Zoo Home,OPERATIONAL,NTP009,237007臺灣新北市三峽區中正路二段6號,0917935141,84.0,5,5.0,4.0,2025-04-26,121.3677973,24.9200849,https://maps.google.com/?cid=16948026682249128745,,ChIJB--KgD8baDQRKStNF3l8M-s,2025/11/12 06:55:14
supl0009,SHOWBA New Taipei Sanxia Zhonghua Store,OPERATIONAL,NTP009,237臺灣新北市三峽區中華路20號,0289794396,168.0,5,4.3,402.0,2025-06-22,121.3743485,24.9328005,https://maps.google.com/?cid=18003389168662215416,https://www.showba.com.tw/,ChIJkx1eVV0baDQR-Po5FxDj2Pk,2025/11/12 06:55:14
supl0010,原華寵物百貨生活館,OPERATIONAL,NTP009,"1樓, No. 86號國際一街三峽區新北市臺灣 237",0226732688,42.0,5,4.7,98.0,2025-08-05,121.3711622,24.9415755,https://maps.google.com/?cid=1730329924827130606,,ChIJcXeDgPYbaDQR7qqMIeZdAxg,2025/11/12 06:55:14
supl0011,Lunayuhanadegouwuxiao Station,OPERATIONAL,NTP008,239臺灣新北市鶯歌區中正三路283巷25-13號,,45.0,5,5.0,2.0,2025-04-04,121.3327919,24.936164,https://maps.google.com/?cid=17199418997304513034,https://runahana.com/,ChIJkUvpfAAZaDQRCtJwnXOcsO4,2025/11/12 06:55:14
supl0012,魚,OPERATIONAL,NTP009,237臺灣新北市三峽區中正路二段六號,0229691121,168.0,5,5.0,4.0,2017-08-02,121.3679503,24.9200647,https://maps.google.com/?cid=15576456397035756123,https://m.facebook.com/AndyZooHome,ChIJR1E2EgWoQjQRW1qtxJCwKtg,2025/11/12 06:55:14
supl0013,三峽北大QMO寵物美容 貓狗美容,OPERATIONAL,NTP009,"1樓 No. 13號, 1樓, No. 13號中華路75巷三峽區新北市臺灣 237",0286713013,43.0,5,4.6,59.0,2024-11-07,121.3728286,24.9299633,https://maps.google.com/?cid=11716146678371440082,https://www.facebook.com/QMOpet/,ChIJFfwMRewbaDQR0tWzRFQdmKI,2025/11/12 06:55:14
supl0014,美衣潔智慧綠能自助洗衣 三峽弘園旗艦店,OPERATIONAL,NTP009,237臺灣新北市三峽區弘園街58號1樓,0912501593,168.0,5,4.9,43.0,2022-07-29,121.3662394,24.9271859,https://maps.google.com/?cid=11971134745777705334,https://mej.com.tw/,ChIJi1mamaMbaDQRdpFqIKADIqY,2025/11/12 06:55:14
supl0015,"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",OPERATIONAL,TYN013,336臺灣桃園市復興區華陵裏巴崚8鄰30號,033912415,35.0,5,4.6,1254.0,2025-08-15,121.399532,24.676609,https://maps.google.com/?cid=10852521470955643333,http://www.goodian.com.tw/,ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,2025/11/12 06:57:15
supl0016,No.36Farm 36號農場,OPERATIONAL,TYN013,336臺灣桃園市復興區36號,033912585,98.0,5,4.5,209.0,2025-04-25,121.3974117,24.6793701,https://maps.google.com/?cid=10395301705963745370,https://36farm.okgo.tw/,ChIJSxzazNVsaDQRWjD7LNOHQ5A,2025/11/12 06:57:15
supl0017,福緣山莊,OPERATIONAL,TYN013,336臺灣桃園市復興區180-7號,033912090,73.5,5,4.6,423.0,2025-06-02,121.4007738,24.6945315,https://maps.google.com/?cid=10222501736757559314,http://www.fu-yam.com.tw/,ChIJzcQ_Q9gSaDQREoA_Hyuf3Y0,2025/11/12 06:57:15
supl0018,溪景生態農莊,OPERATIONAL,TYN013,336臺灣桃園市復興區180-2號,033912027,77.0,5,4.3,329.0,2025-07-04,121.4019976,24.6944412,https://maps.google.com/?cid=11817240369505085913,http://brookview.okgo.tw/,ChIJL9iDFtgSaDQR2anBcYFF_6M,2025/11/12 06:57:15
supl0019,桃園復興鄉桃子菇菇休閒農莊,OPERATIONAL,TYN013,336臺灣桃園市復興區中心路148號,0920579335,0.0,5,4.2,223.0,2025-04-04,121.4204036,24.6890601,https://maps.google.com/?cid=8639871249329267161,,ChIJ5ydB6s8SaDQR2aFhESD95nc,2025/11/12 06:57:15
supl0020,拉拉山木村的家露營區,OPERATIONAL,TYN013,336臺灣桃園市復興區中心路156-2號,0930094046,168.0,5,4.5,210.0,2025-06-05,121.4113213,24.688407,https://maps.google.com/?cid=2786299780429248791,https://zh-tw.facebook.com/yuminxmahong,ChIJWfgpKNASaDQRF_k7SuPsqiY,2025/11/12 06:57:15
supl0021,阿爸的故事,OPERATIONAL,TYN013,336臺灣桃園市復興區華陵裏華陵村11鄰180號,0989678788,168.0,5,4.5,158.0,2024-08-24,121.4097558,24.6961698,https://maps.google.com/?cid=5641201366101226974,https://www.facebook.com/profile.php?id=100082866835708&mibextid=ZbWKwL,ChIJjYnrwgYTaDQR3nXpDMGSSU4,2025/11/12 06:57:15
supl0022,俠雲山莊,OPERATIONAL,TYN013,336臺灣桃園市復興區巴崚143-5號,033912901,0.0,5,4.6,592.0,2025-05-18,121.4211107,24.6947048,https://maps.google.com/?cid=5091854713324193790,https://xiayun.okgo.tw/,ChIJKY-E9b8SaDQR_keWS-LmqUY,2025/11/12 06:57:15
