name,address,city,district,place_id
貓悅良犬寵物精品店,臺北市大安區基隆路二段110號1樓及2樓,臺北市,大安區,ChIJF5gC5M2rQjQRNVDYYkI6w38
東森寵物雲股份有限公司左營左大分公司,高雄市左營區左營大路161、163號,高雄市,左營區,ChIJt72w85gFbjQRvtDmqmEmqXA
東森寵物雲股份有限公司楠梓興楠分公司,高雄市楠梓區興楠路60號,高雄市,楠梓區,ChIJI4yoCi0QbjQRaa3rLmwX9_E
樂沛寵物,高雄市楠梓區土庫一路10號,高雄市,楠梓區,ChIJd32-tW4PbjQRc_RTEEXslr8
艾妮寵物沙龍,臺北市萬華區德昌街121號1樓,臺北市,萬華區,ChIJoaLxpK-pQjQR2IgOJV444ro
晨曦寵物有限公司,桃園市桃園區龍安里龍安街109號,桃園市,桃園區,ChIJ5Y3o1WsfaDQRhfp-uecJY7M
嘉鈞股份有限公司,臺中市西屯區福科路370號1樓、2樓、3樓、4樓及 372號1樓、2樓、3樓、4樓,臺中市,西屯區,ChIJvzL4J9ypQjQRqnkSoR7_qZA
小短腿寵物美容院,新北市八里區八里區頂罟一路56號1樓,新北市,八里區,ChIJQSb-nP6lQjQRp25gPneo5Uc
就愛毛寶貝寵物美容,臺中市大里區德芳路一段144號1樓、2樓,臺中市,大里區,ChIJjZwMA5o9aTQRmY3_WnL4jaQ
逗逗先生寵物沙龍,新北市永和區得和路178號1樓,新北市,永和區,ChIJJ9uDquapQjQRhyjrOg-uwew
緹米貓旅館,新北市永和區福和路167號2樓,新北市,永和區,ChIJcXJcgHSpQjQRNDlpI-2FZdI
寶貝窩寵物生活館,桃園市蘆竹區錦興里中正路341號1樓,桃園市,蘆竹區,ChIJi_njB3agQjQRbkQpnS_gTsU
瑞發財貓旅館,臺南市南區金華路一段468號1-2樓,臺南市,南區,ChIJSy6dQtd1bjQR-y7zxoYc6zA
玖逗瑪得寵物沙龍,新北市中和區景平路746號1樓,新北市,中和區,ChIJo035d0GpQjQRxOnY9hF0O4k
吾悠喵旅生活館,新北市中和區中正路210號1樓,新北市,中和區,ChIJpfglnWcDaDQROqnauibQ4pE
國寶寵物股份有限公司,臺北市士林區中山北路七段20號、20之1號及22號1樓,臺北市,士林區,ChIJF6U6RwCpQjQR6vUtNAzXgQ8
毛嶼商行,新北市新店區中興路2段221號,新北市,新店區,ChIJ13VK7b0BaDQRrN1sAt5dXoc
帕比寵物,臺南市新營區大宏里8鄰文昌街42之1號,臺南市,新營區,ChIJTUliRwCFbjQRK2KpSduhEO8
寵萌殿堂 ,新北市板橋區民生路2段234巷2弄13號1樓,新北市,板橋區,ChIJUxVIw-apQjQRdGzFO9XnFKw
樂牧寵物旅館,新北市新莊區建興街20號1樓,新北市,新莊區,ChIJWde5Zsvni2MRU7nv4bWTcgM
樂恆寵物有限公司,新北市永和區中和路421巷3弄1號1樓、2樓,新北市,永和區,ChIJxy3cuuepQjQR0DPQ2NeCtMo
糖果屋貓咪旅館,新北市板橋區大觀路2段7巷24號,新北市,板橋區,ChIJHcIvT6ypQjQRc9gESCt3ZSY
給貓金幣坊,臺南市中西區五妃街72號1樓及地下層,臺南市,中西區,ChIJ_0MqQfN3bjQRMjpqe8pRsx8
凱斯實業社,新北市新莊區新興街26號1樓,新北市,新莊區,ChIJMSXmEWSoQjQRWJKDxiiojzk
托托寵物工坊,桃園市八德區桃園市八德區大福里大福街53巷8號,桃園市,八德區,ChIJ6fIImR8faDQRzCnb_YE-ouw
帕比樂寵物企業社,臺中市北屯區柳陽西街118號,臺中市,北屯區,ChIJqYpX9X0XaTQRpRiSE6nwFbg
米汪寵毛店,臺中市霧峰區五福西路258號,臺中市,霧峰區,ChIJV4vBQ0U7aTQRvh_AvcmBQgU
優質幼犬專賣,高雄市鳳山區光復路二段277號1、2樓,高雄市,鳳山區,ChIJ6TB3caEFbjQRSxwnqNiiGtY
乾乾咬一口寵物館,高雄市三民區興昌街83巷13號1、2樓,高雄市,三民區,ChIJpeeEgScFbjQRyeUj4EaFWC4
小喬米寵物美容,新北市板橋區長江路2段57號1樓,新北市,板橋區,ChIJT8zdyBKoQjQRnrspaLgN-Qs
狗勾寓所商行,新北市板橋區中山里合宜路131號1樓,新北市,板橋區,ChIJV9W_wYADaDQRpyL-kqqFYn0
毛起來住寵物旅館,新北市板橋區板橋區富山街89號1樓,新北市,板橋區,ChIJ6bxHpL6pQjQRxT3sIsWGHHQ
五心興業有限公司,臺中市豐原區圓環東路839號1、2、3樓,臺中市,豐原區,ChIJ177qQBMaaTQRmcbBlVpnCbU
賀嘎宅貓咪旅館,臺南市北區開元路477號1樓及地下層,臺南市,北區,ChIJs4CUBrp3bjQRLaJ-Ur9SXr8
狗狗樂寵物造型沙龍,桃園市桃園區大豐里樹林四街84號1樓,桃園市,桃園區,ChIJqX4PPgEfaDQRAWyEBu6RTWY
環球購物中心股份有限公司桃園分公司,桃園市中壢區桃園市中壢區芝芭里高鐵南路二段352號1樓,桃園市,中壢區,ChIJETFdbzQhaDQRyhMZEtcvvHE
