name,place_id,buss_status,geometry,update_time,in_boundary,update_date
加納富 內洞美食,ChIJUyy3ys8FaDQRWXWsiZlOaas,OPERATIONAL,"{'lat': 24.8374171, 'lng': 121.525986}",2025/11/07 14:42:38,True,2025/11/07
Shijian Cuo Cafe,ChIJ7e7UL2wbaDQRldmOjEj3gKE,OPERATIONAL,"{'lat': 24.8627374, 'lng': 121.3654922}",2025/11/07 14:42:38,True,2025/11/07
桃然亭,ChIJj57KahwTaDQRr6OUbOeZcQ0,OPERATIONAL,"{'lat': 24.6863929, 'lng': 121.3997087}",2025/11/07 14:42:43,True,2025/11/07
祈樂農莊,ChIJeXpsInltaDQREunll4t3bzM,OPERATIONAL,"{'lat': 24.6788718, 'lng': 121.3980431}",2025/11/07 14:42:43,True,2025/11/07
"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,OPERATIONAL,"{'lat': 24.676609, 'lng': 121.399532}",2025/11/07 14:42:43,True,2025/11/07
拉拉山小吃–阿真的店山產美食餐廳,ChIJzx7SdCoTaDQR2guvBfbF5BE,OPERATIONAL,"{'lat': 24.6863495, 'lng': 121.399531}",2025/11/07 14:42:43,True,2025/11/07
No.36Farm 36號農場,ChIJSxzazNVsaDQRWjD7LNOHQ5A,OPERATIONAL,"{'lat': 24.6793701, 'lng': 121.3974117}",2025/11/07 14:42:43,True,2025/11/07
拉拉山5.5K農莊,ChIJpS1-TNFsaDQRFg3Ncuy0R1E,OPERATIONAL,"{'lat': 24.6818832, 'lng': 121.396301}",2025/11/07 14:42:43,True,2025/11/07
拾初輕食,ChIJ5YUkDzY7aTQRXa-4vgWrn2M,OPERATIONAL,"{'lat': 24.0432586, 'lng': 120.6951854}",2025/11/07 14:42:47,True,2025/11/07
胖子與貓,ChIJAVCOzHo7aTQRyPr-iWinUto,OPERATIONAL,"{'lat': 24.043036, 'lng': 120.6876178}",2025/11/07 14:42:47,True,2025/11/07
尚品蒸餃,ChIJZ9FfgDI7aTQR2gIpua9RUKE,OPERATIONAL,"{'lat': 24.0443976, 'lng': 120.6883066}",2025/11/07 14:42:47,True,2025/11/07
敘 MODERN •,ChIJfdmk9HI7aTQRPJ-za3PadQ4,OPERATIONAL,"{'lat': 24.0474899, 'lng': 120.6877245}",2025/11/07 14:42:47,True,2025/11/07
清心好素館 福新店 대만감성,ChIJ2T9xEBQ7aTQRVjTPgzsPo4g,OPERATIONAL,"{'lat': 24.0508769, 'lng': 120.6841053}",2025/11/07 14:42:47,True,2025/11/07
Shokunin Ice Lab,ChIJEdKgDN47aTQRDPg4ILdYQiI,OPERATIONAL,"{'lat': 24.0439762, 'lng': 120.6955541}",2025/11/07 14:42:47,True,2025/11/07
小品養殖（24小時預約制）蜜袋鼯 刺蝟 坎貝爾卷毛倉鼠 通心粉鼠 肥尾沙鼠 狐獴 雪貂 拇指松鼠 睡鼠 花枝鼠,ChIJTTL2e25zbjQRPCzNcp3hYzI,OPERATIONAL,"{'lat': 22.9077227, 'lng': 120.2508117}",2025/11/07 14:42:51,True,2025/11/07
PANDA PASTA 胖貓義大利麵🐼 10/24-10/25中午有開，晚上休息！不定時公休，詳情請見粉專公告📣,ChIJEX9w0fZ1bjQRtc5qVEgFYts,OPERATIONAL,"{'lat': 22.9189323, 'lng': 120.224906}",2025/11/07 14:42:51,True,2025/11/07
Ricci Caffè / 不定休，休假日公布於IG/FB,ChIJB-k9OoR1bjQRLm2y_hzoI1Y,OPERATIONAL,"{'lat': 22.9237287, 'lng': 120.2361637}",2025/11/07 14:42:51,True,2025/11/07
憶春風麵館,ChIJ_____3zicTQRlDUqj3srSV8,OPERATIONAL,"{'lat': 22.5062448, 'lng': 120.393675}",2025/11/07 14:42:55,True,2025/11/07
13號 鱔魚·花枝麵,ChIJp0KH6CfjcTQRb66mqXv2GJ0,OPERATIONAL,"{'lat': 22.5069103, 'lng': 120.3955873}",2025/11/07 14:42:55,True,2025/11/07
汪記北方麵食,ChIJ7QQXcgDjcTQRpc3tB4TbSt8,OPERATIONAL,"{'lat': 22.507631, 'lng': 120.3883317}",2025/11/07 14:42:55,True,2025/11/07
上上籤極品麻辣鴛鴦鍋 ｜全台首間 上上籤 成都串串麻辣鍋｜高雄麻辣鍋名店｜台17線美食｜墾丁旅途美食｜高雄美食｜正宗成都串串火鍋｜小琉球美食｜牛油麻辣鍋,ChIJyYrFyrbjcTQR7OpdoTP2VSU,OPERATIONAL,"{'lat': 22.5015313, 'lng': 120.3875284}",2025/11/07 14:42:55,True,2025/11/07
阿香澎湖碳烤,ChIJH-kQvq7jcTQRoxijHv0_BFA,OPERATIONAL,"{'lat': 22.4899491, 'lng': 120.3864569}",2025/11/07 14:42:55,True,2025/11/07
林園菜市場王記古早肉圓,ChIJX43xCHzicTQR8gSRwtV5oeY,OPERATIONAL,"{'lat': 22.5050425, 'lng': 120.3952261}",2025/11/07 14:42:55,True,2025/11/07
