name,place_id,buss_status,geometry,update_time,in_boundary,update_date
瘥?撅秘?拍?摰孵極雿恕,ChIJrcvWcAAHaDQRxPNXA-YvmJ0,OPERATIONAL,"{'lat': 24.8614266, 'lng': 121.5515846}",2025/11/6 14:08,TRUE,2025/11/7
撖菜?撖萇蝢捆,ChIJVwVEOEM8aDQR5v4jYsY_3eY,OPERATIONAL,"{'lat': 24.8453983, 'lng': 121.1981083}",2025/11/6 14:08,TRUE,2025/11/7
??撖萇蝢捆,ChIJecPxaDI9aDQRWGjTzMgP5Kk,OPERATIONAL,"{'lat': 24.8428903, 'lng': 121.2342396}",2025/11/6 14:08,TRUE,2025/11/7
?輻?撖萇撠?,ChIJC0cC2SA7aTQRLKloXs7Jjt0,OPERATIONAL,"{'lat': 24.0345092, 'lng': 120.6938283}",2025/11/6 14:09,TRUE,2025/11/7
Jessica 撖萇蝢捆,ChIJT91_ekQ7aTQR2WRILdu39Tc,OPERATIONAL,"{'lat': 24.0605025, 'lng': 120.6953285}",2025/11/6 14:09,TRUE,2025/11/7
餈瑁蕙撖萇?暑擗?ChIJo4ydjNd1bjQRSNt4kGp-FCY,OPERATIONAL,"{'lat': 22.9184336, 'lng': 120.2259572}",2025/11/6 14:09,TRUE,2025/11/7,
Dog Ishow撖萇瘝??犖撌乩?摰?ChIJER_WP1RzbjQRHVhqa5t-Ip0,OPERATIONAL,"{'lat': 22.9179979, 'lng': 120.2664112}",2025/11/6 14:09,TRUE,2025/11/7,
?曉??曉秘?拍?瘣駁尹 撖萇蝢捆(曈單?摨? ?賊撣恍??秘?拙?,ChIJd__9IwbjcTQRcxObIkHMrBY,OPERATIONAL,"{'lat': 22.5026654, 'lng': 120.3975342}",2025/11/6 14:09,TRUE,2025/11/7
??霈秘?拍?摰?ChIJP1BkRIXjcTQR-QdS6LHfxvo,OPERATIONAL,"{'lat': 22.504643, 'lng': 120.3976441}",2025/11/6 14:09,TRUE,2025/11/7,
?望ㄝ撖萇 擃????勗?,ChIJw9qh6nvicTQRCG5w65p5kHk,OPERATIONAL,"{'lat': 22.5037652, 'lng': 120.3965855}",2025/11/6 14:09,TRUE,2025/11/7
敹?撖萇蝢捆,ChIJ1a0FjX7icTQR-BbS4QXNpOg,OPERATIONAL,"{'lat': 22.5069148, 'lng': 120.3931221}",2025/11/6 14:09,TRUE,2025/11/7
??秘?拍?瘣駁尹,ChIJr-GobobicTQRRNDU3Nn_J_E,OPERATIONAL,"{'lat': 22.5037273, 'lng': 120.3849489}",2025/11/6 14:09,TRUE,2025/11/7
Thuy Spa 頞?瘣蝢捆蝢,ChIJy4dmXADjcTQR94LsigkxJno,OPERATIONAL,"{'lat': 22.4820619, 'lng': 120.407979}",2025/11/6 14:09,TRUE,2025/11/7
POYA撖園? 擃???鈭?,ChIJW8yyYxXjcTQRAQB5OhV61oU,OPERATIONAL,"{'lat': 22.502571, 'lng': 120.3975418}",2025/11/6 14:09,TRUE,2025/11/7
