name,place_id,buss_status,geometry,update_time,in_boundary,update_date
哈哈窩寵物精品館(新北三峽店),ChIJbwWMy_MbaDQRGDlwJwXHBeU,OPERATIONAL,"{'lat': 24.9362152, 'lng': 121.3723806}",2025/11/12 06:55:14,True,2025/11/12
毛毛寵星球,ChIJq_ycHgAbaDQRkTX1yrIKy3A,OPERATIONAL,"{'lat': 24.9372492, 'lng': 121.3728238}",2025/11/12 06:55:14,True,2025/11/12
沐奇寵物百貨,ChIJqSEVLCkbaDQRbW40Ep7FNY8,OPERATIONAL,"{'lat': 24.9369527, 'lng': 121.3738074}",2025/11/12 06:55:14,True,2025/11/12
三峽區民權街83號,ChIJcXV_bvMbaDQR3GbbcCfQBzg,OPERATIONAL,"{'lat': 24.9328482, 'lng': 121.3694999}",2025/11/12 06:55:14,True,2025/11/12
Sanxia Aquarium Shop,ChIJ0ZXTmPEbaDQRbIwict2_G4A,OPERATIONAL,"{'lat': 24.9361945, 'lng': 121.3700378}",2025/11/12 06:55:14,True,2025/11/12
妙比寵物美容,ChIJzQCMsvMbaDQR_f3E73dCPMI,OPERATIONAL,"{'lat': 24.9359129, 'lng': 121.3733128}",2025/11/12 06:55:14,True,2025/11/12
幻象水族生活館,ChIJ_YQaXOwbaDQRDwmTX-FFsOQ,OPERATIONAL,"{'lat': 24.9293663, 'lng': 121.3737195}",2025/11/12 06:55:14,True,2025/11/12
Zoo Home,ChIJB--KgD8baDQRKStNF3l8M-s,OPERATIONAL,"{'lat': 24.920087, 'lng': 121.3677966}",2025/11/12 06:55:14,True,2025/11/12
SHOWBA New Taipei Sanxia Zhonghua Store,ChIJkx1eVV0baDQR-Po5FxDj2Pk,OPERATIONAL,"{'lat': 24.9328175, 'lng': 121.3743351}",2025/11/12 06:55:14,True,2025/11/12
原華寵物百貨生活館,ChIJcXeDgPYbaDQR7qqMIeZdAxg,OPERATIONAL,"{'lat': 24.9415755, 'lng': 121.3711622}",2025/11/12 06:55:14,True,2025/11/12
Lunayuhanadegouwuxiao Station,ChIJkUvpfAAZaDQRCtJwnXOcsO4,OPERATIONAL,"{'lat': 24.9361666, 'lng': 121.3327976}",2025/11/12 06:55:14,True,2025/11/12
魚,ChIJR1E2EgWoQjQRW1qtxJCwKtg,OPERATIONAL,"{'lat': 24.9200647, 'lng': 121.3679503}",2025/11/12 06:55:14,True,2025/11/12
三峽北大QMO寵物美容 貓狗美容,ChIJFfwMRewbaDQR0tWzRFQdmKI,OPERATIONAL,"{'lat': 24.9299619, 'lng': 121.3728274}",2025/11/12 06:55:14,True,2025/11/12
美衣潔智慧綠能自助洗衣 三峽弘園旗艦店,ChIJi1mamaMbaDQRdpFqIKADIqY,OPERATIONAL,"{'lat': 24.9271859, 'lng': 121.3662394}",2025/11/12 06:55:14,True,2025/11/12
"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,OPERATIONAL,"{'lat': 24.676609, 'lng': 121.399532}",2025/11/12 06:57:15,True,2025/11/12
No.36Farm 36號農場,ChIJSxzazNVsaDQRWjD7LNOHQ5A,OPERATIONAL,"{'lat': 24.6793701, 'lng': 121.3974117}",2025/11/12 06:57:15,True,2025/11/12
福緣山莊,ChIJzcQ_Q9gSaDQREoA_Hyuf3Y0,OPERATIONAL,"{'lat': 24.6945315, 'lng': 121.4007738}",2025/11/12 06:57:15,True,2025/11/12
溪景生態農莊,ChIJL9iDFtgSaDQR2anBcYFF_6M,OPERATIONAL,"{'lat': 24.6944412, 'lng': 121.4019976}",2025/11/12 06:57:15,True,2025/11/12
桃園復興鄉桃子菇菇休閒農莊,ChIJ5ydB6s8SaDQR2aFhESD95nc,OPERATIONAL,"{'lat': 24.6890601, 'lng': 121.4204036}",2025/11/12 06:57:15,True,2025/11/12
拉拉山木村的家露營區,ChIJWfgpKNASaDQRF_k7SuPsqiY,OPERATIONAL,"{'lat': 24.688407, 'lng': 121.4113213}",2025/11/12 06:57:15,True,2025/11/12
