city,district,area
新北市,新北市,2052.567
新北市,板橋區,23.137
新北市,三重區,16.317
新北市,中和區,20.144
新北市,永和區,5.714
新北市,新莊區,19.738
新北市,新店區,120.226
新北市,樹林區,33.129
新北市,鶯歌區,21.125
新北市,三峽區,191.451
新北市,淡水區,70.656
新北市,汐止區,71.235
新北市,瑞芳區,70.734
新北市,土城區,29.558
新北市,蘆洲區,7.435
新北市,五股區,34.863
新北市,泰山區,19.16
新北市,林口區,54.152
新北市,深坑區,20.579
新北市,石碇區,144.35
新北市,坪林區,170.835
新北市,三芝區,65.991
新北市,石門區,51.264
新北市,八里區,39.493
新北市,平溪區,71.338
新北市,雙溪區,146.248
新北市,貢寮區,99.973
新北市,金山區,49.213
新北市,萬里區,63.377
新北市,烏來區,321.131
臺北市,臺北市,271.8
臺北市,松山區,9.288
臺北市,信義區,11.208
臺北市,大安區,11.361
臺北市,中山區,13.682
臺北市,中正區,7.607
臺北市,大同區,5.682
臺北市,萬華區,8.852
臺北市,文山區,31.509
臺北市,南港區,21.842
臺北市,內湖區,31.579
臺北市,士林區,62.368
臺北市,北投區,56.822
桃園市,桃園市,1220.954
桃園市,桃園區,34.805
桃園市,中壢區,76.52
桃園市,大溪區,105.121
桃園市,楊梅區,89.123
桃園市,蘆竹區,75.502
桃園市,大園區,87.392
桃園市,龜山區,72.018
桃園市,八德區,33.711
桃園市,龍潭區,75.234
桃園市,平鎮區,47.753
桃園市,新屋區,85.017
桃園市,觀音區,87.981
桃園市,復興區,350.778
臺中市,臺中市,2214.897
臺中市,中區,0.88
臺中市,東區,9.286
臺中市,南區,6.81
臺中市,西區,5.704
臺中市,北區,6.938
臺中市,西屯區,39.847
臺中市,南屯區,31.258
臺中市,北屯區,62.703
臺中市,豐原區,41.184
臺中市,東勢區,117.406
臺中市,大甲區,58.519
臺中市,清水區,64.171
臺中市,沙鹿區,40.46
臺中市,梧棲區,16.605
臺中市,后里區,58.944
臺中市,神岡區,35.044
臺中市,潭子區,25.85
臺中市,大雅區,32.411
臺中市,新社區,68.887
臺中市,石岡區,18.21
臺中市,外埔區,42.41
臺中市,大安區,27.404
臺中市,烏日區,43.403
臺中市,大肚區,37.002
臺中市,龍井區,38.038
臺中市,霧峰區,98.078
臺中市,太平區,120.747
臺中市,大里區,28.876
臺中市,和平區,1037.819
臺南市,臺南市,2191.653
臺南市,新營區,38.539
臺南市,鹽水區,52.246
臺南市,白河區,126.405
臺南市,柳營區,61.293
