AreaID,AreaName,fld01,fld02,fld03,fld05,fld06,fld04,fld08,fld07,fld10,date,animal,city,update_date
400,400中區,0,2,0,0,1,2,0,0,0,2025/11/05,0,S,2025/11/06
401,401東區,0,0,0,1,2,0,0,0,0,2025/11/05,0,S,2025/11/06
402,402南區,0,0,0,5,2,0,0,0,0,2025/11/05,0,S,2025/11/06
403,403西區,1,9,0,16,2,1,0,0,0,2025/11/05,0,S,2025/11/06
404,404北區,0,2,0,2,2,2,0,0,0,2025/11/05,0,S,2025/11/06
406,406北屯區,2,7,0,7,3,2,0,0,0,2025/11/05,0,S,2025/11/06
407,407西屯區,2,3,0,1,2,0,0,0,0,2025/11/05,0,S,2025/11/06
408,408南屯區,3,8,0,9,2,2,0,0,0,2025/11/05,0,S,2025/11/06
411,411太平區,0,3,0,3,4,2,0,0,0,2025/11/05,0,S,2025/11/06
412,412大里區,1,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
413,413霧峰區,0,2,0,0,1,1,0,0,0,2025/11/05,0,S,2025/11/06
414,414烏日區,1,5,0,1,0,4,0,0,0,2025/11/05,0,S,2025/11/06
420,420豐原區,1,1,0,1,0,0,0,0,0,2025/11/05,0,S,2025/11/06
421,421后里區,0,0,0,1,0,0,0,0,0,2025/11/05,0,S,2025/11/06
422,422石岡區,0,2,0,0,0,2,0,0,0,2025/11/05,0,S,2025/11/06
423,423東勢區,0,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
424,424和平區,0,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
426,426新社區,0,1,0,0,0,1,0,0,0,2025/11/05,0,S,2025/11/06
427,427潭子區,1,4,0,0,2,4,0,0,0,2025/11/05,0,S,2025/11/06
428,428大雅區,0,3,0,2,0,2,0,0,0,2025/11/05,0,S,2025/11/06
429,429神岡區,0,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
432,432大肚區,0,1,0,0,0,1,0,0,0,2025/11/05,0,S,2025/11/06
433,433沙鹿區,0,1,0,1,1,0,0,0,0,2025/11/05,0,S,2025/11/06
434,434龍井區,1,3,0,0,3,0,0,0,0,2025/11/05,0,S,2025/11/06
435,435梧棲區,0,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
436,436清水區,0,0,0,1,1,0,0,0,0,2025/11/05,0,S,2025/11/06
437,437大甲區,0,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
438,438外埔區,0,1,0,0,0,1,0,0,0,2025/11/05,0,S,2025/11/06
439,439大安區,0,0,0,0,0,0,0,0,0,2025/11/05,0,S,2025/11/06
400,400中區,0,3,0,0,0,3,0,0,0,2025/11/05,1,S,2025/11/06
401,401東區,3,13,0,1,1,7,0,0,0,2025/11/05,1,S,2025/11/06
402,402南區,1,9,0,1,3,8,0,0,0,2025/11/05,1,S,2025/11/06
403,403西區,3,3,0,2,3,3,0,0,0,2025/11/05,1,S,2025/11/06
404,404北區,4,22,0,4,3,12,0,0,0,2025/11/05,1,S,2025/11/06
406,406北屯區,10,26,0,13,2,23,0,0,0,2025/11/05,1,S,2025/11/06
407,407西屯區,5,15,0,20,7,12,0,0,0,2025/11/05,1,S,2025/11/06
408,408南屯區,4,15,0,10,2,7,0,0,0,2025/11/05,1,S,2025/11/06
411,411太平區,4,25,0,7,3,20,0,0,0,2025/11/05,1,S,2025/11/06
412,412大里區,3,18,0,0,4,18,0,0,0,2025/11/05,1,S,2025/11/06
413,413霧峰區,0,6,0,1,0,5,0,0,0,2025/11/05,1,S,2025/11/06
414,414烏日區,1,4,0,0,0,4,0,0,0,2025/11/05,1,S,2025/11/06
420,420豐原區,4,4,0,0,0,4,0,0,0,2025/11/05,1,S,2025/11/06
421,421后里區,0,7,0,0,1,7,0,0,0,2025/11/05,1,S,2025/11/06
422,422石岡區,0,5,0,0,0,5,0,0,0,2025/11/05,1,S,2025/11/06
423,423東勢區,0,1,0,0,0,1,0,0,0,2025/11/05,1,S,2025/11/06
424,424和平區,0,2,0,1,0,1,0,0,0,2025/11/05,1,S,2025/11/06
426,426新社區,0,3,0,1,1,2,0,0,0,2025/11/05,1,S,2025/11/06
427,427潭子區,2,10,0,0,0,10,0,0,0,2025/11/05,1,S,2025/11/06
428,428大雅區,1,5,0,1,1,5,0,0,0,2025/11/05,1,S,2025/11/06
429,429神岡區,0,8,0,1,1,8,0,0,0,2025/11/05,1,S,2025/11/06
432,432大肚區,0,3,0,2,1,3,0,0,0,2025/11/05,1,S,2025/11/06
433,433沙鹿區,3,13,0,0,3,7,0,0,0,2025/11/05,1,S,2025/11/06
434,434龍井區,1,7,0,1,1,7,0,0,0,2025/11/05,1,S,2025/11/06
435,435梧棲區,0,2,0,0,1,2,0,0,0,2025/11/05,1,S,2025/11/06
436,436清水區,2,5,0,0,0,5,0,0,0,2025/11/05,1,S,2025/11/06
437,437大甲區,3,0,0,0,0,0,0,0,0,2025/11/05,1,S,2025/11/06
438,438外埔區,0,3,0,0,0,3,0,0,0,2025/11/05,1,S,2025/11/06
439,439大安區,0,0,0,0,0,0,0,0,0,2025/11/05,1,S,2025/11/06
