AreaID,AreaName,fld01,fld02,fld03,fld05,fld06,fld04,fld08,fld07,fld10,date,animal,city,update_date
100,100中正區,0,1,0,1,3,0,0,0,0,2025/11/05,0,V,2025/11/06
103,103大同區,0,1,0,1,1,0,0,0,0,2025/11/05,0,V,2025/11/06
104,104中山區,2,1,0,0,2,1,0,0,0,2025/11/05,0,V,2025/11/06
105,105松山區,0,0,0,0,1,0,0,0,0,2025/11/05,0,V,2025/11/06
106,106大安區,0,9,0,14,2,0,0,0,0,2025/11/05,0,V,2025/11/06
108,108萬華區,0,1,0,1,2,1,0,0,0,2025/11/05,0,V,2025/11/06
110,110信義區,2,1,0,3,3,0,0,0,0,2025/11/05,0,V,2025/11/06
111,111士林區,0,0,0,0,0,0,0,0,0,2025/11/05,0,V,2025/11/06
112,112北投區,1,1,0,1,4,0,0,0,0,2025/11/05,0,V,2025/11/06
114,114內湖區,1,1,0,3,6,1,0,0,0,2025/11/05,0,V,2025/11/06
115,115南港區,0,0,0,0,2,0,0,0,0,2025/11/05,0,V,2025/11/06
116,116文山區,0,0,0,1,3,0,0,0,0,2025/11/05,0,V,2025/11/06
100,100中正區,5,0,0,2,1,0,0,0,0,2025/11/05,1,V,2025/11/06
103,103大同區,1,1,0,0,0,1,0,0,0,2025/11/05,1,V,2025/11/06
104,104中山區,5,1,0,1,4,1,0,0,0,2025/11/05,1,V,2025/11/06
105,105松山區,1,3,0,0,0,2,0,0,0,2025/11/05,1,V,2025/11/06
106,106大安區,2,17,0,14,2,2,0,0,0,2025/11/05,1,V,2025/11/06
108,108萬華區,0,3,0,0,4,3,0,0,0,2025/11/05,1,V,2025/11/06
110,110信義區,5,3,0,1,2,1,0,0,0,2025/11/05,1,V,2025/11/06
111,111士林區,1,2,0,1,4,2,0,0,0,2025/11/05,1,V,2025/11/06
112,112北投區,1,3,0,1,5,3,0,0,0,2025/11/05,1,V,2025/11/06
114,114內湖區,0,1,0,3,0,0,0,0,0,2025/11/05,1,V,2025/11/06
115,115南港區,1,1,0,3,1,1,0,0,0,2025/11/05,1,V,2025/11/06
116,116文山區,1,2,0,1,4,2,0,0,0,2025/11/05,1,V,2025/11/06
