AreaID,AreaName,fld01,fld02,fld03,fld05,fld06,fld04,fld08,fld07,fld10,date,animal,city,update_date
700,700中西區,2,1,0,0,0,1,0,0,0,2025/11/05,0,U,2025/11/06
701,701東區,1,2,0,2,1,2,0,0,0,2025/11/05,0,U,2025/11/06
702,702南區,1,9,0,2,0,8,0,0,0,2025/11/05,0,U,2025/11/06
703,703中西區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
704,704北區,2,2,0,2,1,1,0,0,0,2025/11/05,0,U,2025/11/06
708,708安平區,0,2,0,1,0,0,0,0,0,2025/11/05,0,U,2025/11/06
709,709安南區,0,18,0,3,1,8,0,0,0,2025/11/05,0,U,2025/11/06
710,710永康區,0,5,0,12,3,1,0,0,0,2025/11/05,0,U,2025/11/06
711,711歸仁區,0,3,0,1,0,1,0,0,0,2025/11/05,0,U,2025/11/06
712,712新化區,0,0,0,1,1,0,0,0,0,2025/11/05,0,U,2025/11/06
713,713左鎮區,0,2,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
714,714玉井區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
715,715楠西區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
716,716南化區,0,1,0,0,0,1,0,0,0,2025/11/05,0,U,2025/11/06
717,717仁德區,0,4,0,8,2,0,0,0,0,2025/11/05,0,U,2025/11/06
718,718關廟區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
719,719龍崎區,0,2,0,0,2,0,0,0,0,2025/11/05,0,U,2025/11/06
720,720官田區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
721,721麻豆區,0,1,0,1,0,1,0,0,0,2025/11/05,0,U,2025/11/06
722,722佳里區,1,0,0,1,0,0,0,0,0,2025/11/05,0,U,2025/11/06
723,723西港區,1,0,0,0,1,0,0,0,0,2025/11/05,0,U,2025/11/06
724,724七股區,0,1,0,0,2,0,0,0,0,2025/11/05,0,U,2025/11/06
725,725將軍區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
726,726學甲區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
727,727北門區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
730,730新營區,1,2,0,1,3,2,0,0,0,2025/11/05,0,U,2025/11/06
731,731後壁區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
732,732白河區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
733,733東山區,0,1,0,0,0,1,0,0,0,2025/11/05,0,U,2025/11/06
734,734六甲區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
735,735下營區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
736,736柳營區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
737,737鹽水區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
741,741善化區,0,1,0,0,1,0,0,0,0,2025/11/05,0,U,2025/11/06
742,742大內區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
743,743山上區,0,0,0,0,0,0,0,0,0,2025/11/05,0,U,2025/11/06
744,744新市區,0,0,0,1,1,0,0,0,0,2025/11/05,0,U,2025/11/06
745,745安定區,0,0,0,1,0,0,0,0,0,2025/11/05,0,U,2025/11/06
700,700中西區,0,0,0,1,1,0,0,0,0,2025/11/05,1,U,2025/11/06
701,701東區,5,4,0,10,2,2,0,0,0,2025/11/05,1,U,2025/11/06
702,702南區,4,2,0,0,1,1,0,0,0,2025/11/05,1,U,2025/11/06
703,703中西區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
704,704北區,1,2,0,3,2,1,0,0,0,2025/11/05,1,U,2025/11/06
708,708安平區,0,1,0,0,1,0,0,0,0,2025/11/05,1,U,2025/11/06
709,709安南區,0,3,0,1,2,3,0,0,0,2025/11/05,1,U,2025/11/06
710,710永康區,4,2,0,1,4,2,0,0,0,2025/11/05,1,U,2025/11/06
711,711歸仁區,0,3,0,0,1,1,0,0,0,2025/11/05,1,U,2025/11/06
712,712新化區,1,3,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
713,713左鎮區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
714,714玉井區,1,1,0,0,0,1,0,0,0,2025/11/05,1,U,2025/11/06
715,715楠西區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
716,716南化區,0,0,0,1,11,0,0,0,0,2025/11/05,1,U,2025/11/06
717,717仁德區,0,0,0,1,0,0,0,0,0,2025/11/05,1,U,2025/11/06
718,718關廟區,0,1,0,0,0,1,0,0,0,2025/11/05,1,U,2025/11/06
719,719龍崎區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
720,720官田區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
721,721麻豆區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
722,722佳里區,0,4,0,6,0,1,0,0,0,2025/11/05,1,U,2025/11/06
723,723西港區,1,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
724,724七股區,0,0,0,2,0,0,0,0,0,2025/11/05,1,U,2025/11/06
725,725將軍區,0,0,0,0,1,0,0,0,0,2025/11/05,1,U,2025/11/06
726,726學甲區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
727,727北門區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
730,730新營區,1,0,0,0,1,0,0,0,0,2025/11/05,1,U,2025/11/06
731,731後壁區,0,1,0,0,0,1,0,0,0,2025/11/05,1,U,2025/11/06
732,732白河區,0,0,0,0,1,0,0,0,0,2025/11/05,1,U,2025/11/06
733,733東山區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
734,734六甲區,0,0,0,0,1,0,0,0,0,2025/11/05,1,U,2025/11/06
735,735下營區,0,0,0,0,0,0,0,0,0,2025/11/05,1,U,2025/11/06
736,736柳營區,0,1,0,0,0,1,0,0,0,2025/11/05,1,U,2025/11/06
737,737鹽水區,1,1,0,0,0,1,0,0,0,2025/11/05,1,U,2025/11/06
741,741善化區,2,2,0,2,1,2,0,0,0,2025/11/05,1,U,2025/11/06
742,742大內區,0,0,0,0,3,0,0,0,0,2025/11/05,1,U,2025/11/06
743,743山上區,0,0,0,0,1,0,0,0,0,2025/11/05,1,U,2025/11/06
744,744新市區,1,3,0,0,1,3,0,0,0,2025/11/05,1,U,2025/11/06
745,745安定區,0,1,0,1,0,1,0,0,0,2025/11/05,1,U,2025/11/06
