AreaID,AreaName,fld01,fld02,fld03,fld05,fld06,fld04,fld08,fld07,fld10,date,animal,city,update_date
800,800新興區,0,2,0,0,0,2,0,0,0,2025/11/05,0,W,2025/11/06
801,801前金區,0,0,0,5,1,0,0,0,0,2025/11/05,0,W,2025/11/06
802,802苓雅區,1,3,0,6,2,2,0,0,0,2025/11/05,0,W,2025/11/06
803,803鹽埕區,0,0,0,0,1,0,0,0,0,2025/11/05,0,W,2025/11/06
804,804鼓山區,2,1,0,3,3,0,0,0,0,2025/11/05,0,W,2025/11/06
805,805旗津區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
806,806前鎮區,1,0,0,7,3,0,0,0,0,2025/11/05,0,W,2025/11/06
807,807三民區,1,2,0,6,4,0,0,0,0,2025/11/05,0,W,2025/11/06
811,811楠梓區,0,2,0,4,1,1,0,0,0,2025/11/05,0,W,2025/11/06
812,812小港區,2,1,0,3,1,0,0,0,0,2025/11/05,0,W,2025/11/06
813,813左營區,2,6,0,10,1,0,0,0,0,2025/11/05,0,W,2025/11/06
814,814仁武區,0,1,0,4,1,0,0,0,0,2025/11/05,0,W,2025/11/06
815,815大社區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
820,820岡山區,2,12,0,4,2,3,0,0,0,2025/11/05,0,W,2025/11/06
821,821路竹區,0,3,0,0,0,2,0,0,0,2025/11/05,0,W,2025/11/06
822,822阿蓮區,0,0,0,0,1,0,0,0,0,2025/11/05,0,W,2025/11/06
823,823田寮區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
824,824燕巢區,1,3,0,1,0,1,0,0,0,2025/11/05,0,W,2025/11/06
825,825橋頭區,1,6,0,7,1,0,0,0,0,2025/11/05,0,W,2025/11/06
826,826梓官區,1,1,0,1,0,0,0,0,0,2025/11/05,0,W,2025/11/06
827,827彌陀區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
828,828永安區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
829,829湖內區,0,0,0,0,1,0,0,0,0,2025/11/05,0,W,2025/11/06
830,830鳳山區,2,0,0,9,4,0,0,0,0,2025/11/05,0,W,2025/11/06
831,831大寮區,2,2,0,3,1,1,0,0,0,2025/11/05,0,W,2025/11/06
832,832林園區,0,1,0,2,1,0,0,0,0,2025/11/05,0,W,2025/11/06
833,833鳥松區,1,2,0,0,3,1,0,0,0,2025/11/05,0,W,2025/11/06
840,840大樹區,0,0,0,0,2,0,0,0,0,2025/11/05,0,W,2025/11/06
842,842旗山區,1,2,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
843,843美濃區,0,0,0,2,3,0,0,0,0,2025/11/05,0,W,2025/11/06
844,844六龜區,0,2,0,0,0,2,0,0,0,2025/11/05,0,W,2025/11/06
845,845內門區,0,2,0,0,0,1,0,0,0,2025/11/05,0,W,2025/11/06
846,846杉林區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
847,847甲仙區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
848,848桃源區,0,14,0,0,0,14,0,0,0,2025/11/05,0,W,2025/11/06
849,849那瑪夏區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
851,851茂林區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
852,852茄萣區,0,0,0,0,0,0,0,0,0,2025/11/05,0,W,2025/11/06
800,800新興區,3,0,0,4,0,0,0,0,0,2025/11/05,1,W,2025/11/06
801,801前金區,0,0,0,1,0,0,0,0,0,2025/11/05,1,W,2025/11/06
802,802苓雅區,3,5,0,6,4,4,0,0,0,2025/11/05,1,W,2025/11/06
803,803鹽埕區,0,0,0,0,0,0,0,0,0,2025/11/05,1,W,2025/11/06
804,804鼓山區,2,3,0,4,1,3,0,0,0,2025/11/05,1,W,2025/11/06
805,805旗津區,0,0,0,0,0,0,0,0,0,2025/11/05,1,W,2025/11/06
806,806前鎮區,1,1,0,7,1,1,0,0,0,2025/11/05,1,W,2025/11/06
807,807三民區,7,9,0,12,1,9,0,0,0,2025/11/05,1,W,2025/11/06
811,811楠梓區,4,4,0,5,0,4,0,0,0,2025/11/05,1,W,2025/11/06
812,812小港區,0,2,0,1,3,2,0,0,0,2025/11/05,1,W,2025/11/06
813,813左營區,6,9,0,5,7,3,0,0,0,2025/11/05,1,W,2025/11/06
814,814仁武區,1,8,0,3,2,7,0,0,0,2025/11/05,1,W,2025/11/06
815,815大社區,1,0,0,0,0,0,0,0,0,2025/11/05,1,W,2025/11/06
820,820岡山區,0,2,0,0,2,2,0,0,0,2025/11/05,1,W,2025/11/06
821,821路竹區,0,1,0,1,3,1,0,0,0,2025/11/05,1,W,2025/11/06
822,822阿蓮區,1,10,0,6,1,0,0,0,0,2025/11/05,1,W,2025/11/06
823,823田寮區,0,0,0,0,0,0,0,0,0,2025/11/05,1,W,2025/11/06
824,824燕巢區,0,0,0,1,0,0,0,0,0,2025/11/05,1,W,2025/11/06
825,825橋頭區,1,3,0,1,0,3,0,0,0,2025/11/05,1,W,2025/11/06
826,826梓官區,3,30,0,14,0,0,0,0,0,2025/11/05,1,W,2025/11/06
827,827彌陀區,0,0,0,0,0,0,0,0,0,2025/11/05,1,W,2025/11/06
