name,place_id,buss_status,geometry,update_time
Ricci Caffè / 不定休，休假日公布於IG/FB,ChIJB-k9OoR1bjQRLm2y_hzoI1Y,OPERATIONAL,"{'lat': 22.9237287, 'lng': 120.2361637}",2025/11/19 06:30:37
修護書屋,ChIJ0yuDrWd0bjQRD_--OLpMAUc,OPERATIONAL,"{'lat': 22.9398483, 'lng': 120.2307329}",2025/11/19 06:30:37
小品養殖（24小時預約制）蜜袋鼯 刺蝟 坎貝爾卷毛倉鼠 通心粉鼠 肥尾沙鼠 狐獴 雪貂 拇指松鼠 睡鼠 花枝鼠,ChIJTTL2e25zbjQRPCzNcp3hYzI,OPERATIONAL,"{'lat': 22.9077227, 'lng': 120.2508117}",2025/11/19 06:30:37
PANDA PASTA 胖貓義大利麵🐼 10/24-10/25中午有開，晚上休息！不定時公休，詳情請見粉專公告📣,ChIJEX9w0fZ1bjQRtc5qVEgFYts,OPERATIONAL,"{'lat': 22.9189323, 'lng': 120.224906}",2025/11/19 06:30:37
綠蔬事務所(內用預約),ChIJDZjTKnp1bjQRgNP9u7q-fLA,OPERATIONAL,"{'lat': 22.937943, 'lng': 120.2473957}",2025/11/19 06:30:37
歸宿鍋燒定食greatsoup,ChIJ_UPb7SR1bjQR2eQ2Plh_vMc,OPERATIONAL,"{'lat': 22.9071929, 'lng': 120.2186006}",2025/11/19 06:30:37
就是一碗粥,ChIJC1ckpjh1bjQRSUUZ7-qcvhY,OPERATIONAL,"{'lat': 22.9099429, 'lng': 120.2270848}",2025/11/19 06:30:37
友樂町火鍋小賣所（提供中午包場服務）,ChIJmfUqhu10bjQRJnYpvs_cAis,OPERATIONAL,"{'lat': 22.921818, 'lng': 120.2246777}",2025/11/19 06:30:37
十香園石頭火鍋.牛排（可詢問中午時段包場）,ChIJVyi0rcR0bjQRc-1fMaoPQXA,OPERATIONAL,"{'lat': 22.9067113, 'lng': 120.216918}",2025/11/19 06:30:37
太一鱔魚意麵,ChIJzUuaFcB0bjQRK5jsJcnUVqw,OPERATIONAL,"{'lat': 22.909601, 'lng': 120.2266875}",2025/11/19 06:30:37
