name,place_id,buss_status,geometry,update_time
加納富 內洞美食,ChIJUyy3ys8FaDQRWXWsiZlOaas,OPERATIONAL,"{'lat': 24.8374171, 'lng': 121.525986}",2025/11/07 14:41:23
加納富 內洞美食,ChIJUyy3ys8FaDQRWXWsiZlOaas,OPERATIONAL,"{'lat': 24.8374171, 'lng': 121.525986}",2025/11/07 14:41:23
嚴咖啡 a yen cafe,ChIJoaobRHcXaDQRwBFecTUVye8,OPERATIONAL,"{'lat': 24.8230087, 'lng': 121.3437678}",2025/11/07 14:41:23
Shijian Cuo Cafe,ChIJ7e7UL2wbaDQRldmOjEj3gKE,OPERATIONAL,"{'lat': 24.8627374, 'lng': 121.3654922}",2025/11/07 14:41:23
一山景觀咖啡,ChIJqzGAJZMXaDQRabipM7vZjtM,OPERATIONAL,"{'lat': 24.8278578, 'lng': 121.3472727}",2025/11/07 14:41:23
普拉多山丘假期景觀餐廳,ChIJ5YwV_CsXaDQRmgKWgTi3ebA,OPERATIONAL,"{'lat': 24.8263352, 'lng': 121.347864}",2025/11/07 14:41:23
瑞士鄉村/TINA廚房-復興店（有絕景的家庭半自助料理）,ChIJQzU74rs9aDQR0Cdv74GUPd4,OPERATIONAL,"{'lat': 24.8229947, 'lng': 121.3511778}",2025/11/07 14:41:23
Qi Hao Gonglu Cafe,ChIJv8DCmNQQaDQRc8kN7Ip7ayU,OPERATIONAL,"{'lat': 24.8254918, 'lng': 121.3559242}",2025/11/07 14:41:23
丸山咖啡,ChIJjeibiigXaDQRvLnsgKXXXaA,OPERATIONAL,"{'lat': 24.8255253, 'lng': 121.3440793}",2025/11/07 14:41:23
YOUTH cafe' 比雅山分店,ChIJsdVRUdIWaDQRKx6sUtfIJoo,OPERATIONAL,"{'lat': 24.8132541, 'lng': 121.3504612}",2025/11/07 14:41:23
竹廣厝山產小吃,ChIJsSZZ4tcWaDQRVQSE8QYBWw8,OPERATIONAL,"{'lat': 24.8231331, 'lng': 121.3434747}",2025/11/07 14:41:23
Foresthouse,ChIJ35FuZgoWaDQRerFuM5bt7NI,OPERATIONAL,"{'lat': 24.8139396, 'lng': 121.3461906}",2025/11/07 14:41:23
廟口王家小吃(歡迎來電訂餐）,ChIJW1dfX9QWaDQRJy0IDO9shGw,OPERATIONAL,"{'lat': 24.8176959, 'lng': 121.3512422}",2025/11/07 14:41:23
明圓簡餐咖啡,ChIJqXPOl20XaDQRV_-obuAzi8Q,OPERATIONAL,"{'lat': 24.819656, 'lng': 121.3526291}",2025/11/07 14:41:23
採山人-山產料理,ChIJjXeas14XaDQREguP8_ml6D8,OPERATIONAL,"{'lat': 24.8143005, 'lng': 121.3505582}",2025/11/07 14:41:23
角板山老店家小吃（山產料理/團體合菜/家庭聚餐）,ChIJLyJ9d9UWaDQRC12UblMIPoc,OPERATIONAL,"{'lat': 24.8145636, 'lng': 121.3509265}",2025/11/07 14:41:23
Yuan Yuan Fa,ChIJc71x_NQWaDQR0Gwh_ynR2KY,OPERATIONAL,"{'lat': 24.818278, 'lng': 121.351779}",2025/11/07 14:41:23
