name,place_id,buss_status,geometry,update_time,in_boundary,update_date,address,phone,opening_hours,rating,rating_total,longitude,latitude,map_url,website,newest_review
瘥?撅秘?拍?摰孵極雿恕,ChIJrcvWcAAHaDQRxPNXA-YvmJ0,OPERATIONAL,"{'lat': 24.8614266, 'lng': 121.5515846}",2025/11/6 14:08,TRUE,2025/11/7,233台灣新北市烏來區溫泉街47號,,"['星期一: 11:30 – 19:00' '星期二: 11:30 – 19:00' '星期三: 休息' '星期四: 11:30 – 19:00'
 '星期五: 11:30 – 19:00' '星期六: 11:30 – 19:00' '星期日: 11:30 – 19:00']",,,121.5515846,24.8614266,https://maps.google.com/?cid=11355879125359784900,,
撖菜?撖萇蝢捆,ChIJVwVEOEM8aDQR5v4jYsY_3eY,OPERATIONAL,"{'lat': 24.8453983, 'lng': 121.1981083}",2025/11/6 14:08,TRUE,2025/11/7,325台灣桃園市龍潭區中原路二段20號,034116385,"['星期一: 10:00 – 18:00' '星期二: 10:00 – 13:30' '星期三: 休息' '星期四: 10:00 – 18:00'
 '星期五: 10:00 – 18:00' '星期六: 10:00 – 18:00' '星期日: 10:00 – 18:00']",5.0,10.0,121.1979749,24.8454477,https://maps.google.com/?cid=16635522719859080934,,2025-10-05
??撖萇蝢捆,ChIJecPxaDI9aDQRWGjTzMgP5Kk,OPERATIONAL,"{'lat': 24.8428903, 'lng': 121.2342396}",2025/11/6 14:08,TRUE,2025/11/7,325台灣桃園市龍潭區建國路87號,034091191,"['星期一: 09:00 – 18:00' '星期二: 09:00 – 17:00' '星期三: 11:00 – 18:00'
 '星期四: 11:00 – 18:00' '星期五: 休息' '星期六: 09:00 – 18:00' '星期日: 09:00 – 18:00']",4.4,50.0,121.2341631,24.8428461,https://maps.google.com/?cid=12241927042204133464,,2024-06-09
?輻?撖萇撠?,ChIJC0cC2SA7aTQRLKloXs7Jjt0,OPERATIONAL,"{'lat': 24.0345092, 'lng': 120.6938283}",2025/11/6 14:09,TRUE,2025/11/7,413台灣霧峰區中正路259號,0963257128,,,,120.6938283,24.0345092,https://maps.google.com/?cid=15964919617259350316,,
Jessica 撖萇蝢捆,ChIJT91_ekQ7aTQR2WRILdu39Tc,OPERATIONAL,"{'lat': 24.0605025, 'lng': 120.6953285}",2025/11/6 14:09,TRUE,2025/11/7,413台灣臺中市霧峰區林森路502號,0423396502,"['星期一: 11:00 – 20:00' '星期二: 休息' '星期三: 休息' '星期四: 11:00 – 20:00'
 '星期五: 11:00 – 20:00' '星期六: 11:00 – 20:00' '星期日: 11:00 – 20:00']",5.0,4.0,120.6953285,24.0605025,https://maps.google.com/?cid=4032331193365587161,https://www.facebook.com/jessica.petsalon520,2024-05-16
餈瑁蕙撖萇?暑擗?ChIJo4ydjNd1bjQRSNt4kGp-FCY,OPERATIONAL,"{'lat': 22.9184336, 'lng': 120.2259572}",2025/11/6 14:09,TRUE,2025/11/7,,,,,,,,,,,
餈瑁蕙撖萇?暑擗?ChIJo4ydjNd1bjQRSNt4kGp-FCY,OPERATIONAL,"{'lat': 22.9184336, 'lng': 120.2259572}",2025/11/6 14:09,TRUE,2025/11/7,,,,,,,,,,,
餈瑁蕙撖萇?暑擗?ChIJo4ydjNd1bjQRSNt4kGp-FCY,OPERATIONAL,"{'lat': 22.9184336, 'lng': 120.2259572}",2025/11/6 14:09,TRUE,2025/11/7,,,,,,,,,,,
Dog Ishow撖萇瘝??犖撌乩?摰?ChIJER_WP1RzbjQRHVhqa5t-Ip0,OPERATIONAL,"{'lat': 22.9179979, 'lng': 120.2664112}",2025/11/6 14:09,TRUE,2025/11/7,,,,,,,,,,,
Dog Ishow撖萇瘝??犖撌乩?摰?ChIJER_WP1RzbjQRHVhqa5t-Ip0,OPERATIONAL,"{'lat': 22.9179979, 'lng': 120.2664112}",2025/11/6 14:09,TRUE,2025/11/7,,,,,,,,,,,
