name,place_id,buss_status,geometry,update_time
百分百寵物生活館 寵物美容(鳳林店) 獸醫師開的寵物店,ChIJd__9IwbjcTQRcxObIkHMrBY,OPERATIONAL,"{'lat': 22.5026654, 'lng': 120.3975342}",2025/11/07 06:15:49
林園奧莉寵物美容&寵物住宿,ChIJJfv0UejjcTQRK5hLx9yKAUQ,OPERATIONAL,"{'lat': 22.5043383, 'lng': 120.3913583}",2025/11/07 06:15:49
狗狗讚寵物美容,ChIJP1BkRIXjcTQR-QdS6LHfxvo,OPERATIONAL,"{'lat': 22.504643, 'lng': 120.3976441}",2025/11/07 06:15:49
東森寵物 高雄林園東店,ChIJw9qh6nvicTQRCG5w65p5kHk,OPERATIONAL,"{'lat': 22.5037652, 'lng': 120.3965855}",2025/11/07 06:15:49
忠愛寵物美容,ChIJ1a0FjX7icTQR-BbS4QXNpOg,OPERATIONAL,"{'lat': 22.5069148, 'lng': 120.3931221}",2025/11/07 06:15:49
林園區新福寵物美容,ChIJkVRmM3zicTQRr4HyBXldBVg,OPERATIONAL,"{'lat': 22.5048166, 'lng': 120.3927719}",2025/11/07 06:15:49
頑皮狗寵物生活館,ChIJr-GobobicTQRRNDU3Nn_J_E,OPERATIONAL,"{'lat': 22.5037273, 'lng': 120.3849489}",2025/11/07 06:15:49
佶愛堡寵物美容,ChIJNweEJdDjcTQRBvSLt_PWnY4,OPERATIONAL,"{'lat': 22.5075361, 'lng': 120.395109}",2025/11/07 06:15:49
POYA寶雅 高雄林園二店,ChIJW8yyYxXjcTQRAQB5OhV61oU,OPERATIONAL,"{'lat': 22.502571, 'lng': 120.3975418}",2025/11/07 06:15:49
Thuy Spa 越式洗頭美容美甲,ChIJy4dmXADjcTQR94LsigkxJno,OPERATIONAL,"{'lat': 22.4820619, 'lng': 120.407979}",2025/11/07 06:15:49
