name,place_id,buss_status,geometry,update_time
貓朋狗友寵物美容館,ChIJo7p9od8BaDQRcLyDeAYlrDs,OPERATIONAL,"{'lat': 24.982815, 'lng': 121.5624663}",2025/11/16 08:12:34
毛一朵寵物美容,ChIJnaYZzJypQjQROjhlGRhovWE,OPERATIONAL,"{'lat': 25.0032345, 'lng': 121.5175667}",2025/11/16 08:12:34
JUJUNA豬豬ㄋㄚ寵物美容-犬貓精緻手剪預約|皮毛養護SPA| AFLOAT日本洗護|新北永和區|捷運頂溪站,ChIJwfSScA-pQjQRYOJ6LZp8KDI,OPERATIONAL,"{'lat': 25.0128966, 'lng': 121.5173702}",2025/11/16 08:12:34
OBO寵物會館,ChIJBckxcf8BaDQRiqgnPJcbr-E,OPERATIONAL,"{'lat': 24.9869194, 'lng': 121.5387433}",2025/11/16 08:12:34
狗狗日常寵物旅館/寵物旅館/寵物美容/寵物自助洗/狗安親/狗住宿*全預約制*,ChIJTepLtturQjQRPAkWxWcl40w,OPERATIONAL,"{'lat': 24.9985675, 'lng': 121.5405372}",2025/11/16 08:12:34
波波好室 pet grooming,ChIJZQxC0tIBaDQRGGztJLnv5B0,OPERATIONAL,"{'lat': 24.9641468, 'lng': 121.5428157}",2025/11/16 08:12:34
Poodle Bear 布逗熊寵物店,ChIJE4zB1h8CaDQRZfNVco2_jdQ,OPERATIONAL,"{'lat': 24.9714145, 'lng': 121.5367716}",2025/11/16 08:12:34
烏托邦寵物美容,ChIJF4ZC_JCrQjQRMtggKCRorMU,OPERATIONAL,"{'lat': 25.0015204, 'lng': 121.5530042}",2025/11/16 08:12:34
沐樂寵物坊,ChIJ7XXHMTgCaDQR60aLwRW7UlI,OPERATIONAL,"{'lat': 24.9638538, 'lng': 121.5165492}",2025/11/16 08:12:34
六畜馨旺寵物美容生活館,ChIJ19dT3waqQjQRhtKBAejPtMs,OPERATIONAL,"{'lat': 24.9913873, 'lng': 121.5438218}",2025/11/16 08:12:34
遇見佩特-永和寵物美容,ChIJcV8zHq-pQjQRSJ-qjw_KiLE,OPERATIONAL,"{'lat': 25.0026099, 'lng': 121.522453}",2025/11/16 08:12:34
1+1寵物沙龍,ChIJW8Tu6eyrQjQR9d4RW57e85Y,OPERATIONAL,"{'lat': 24.9998289, 'lng': 121.5502746}",2025/11/16 08:12:34
寵蝦咪寵物美容住宿/寵物咖啡廳Chongshopme-文山店,ChIJ31CkR8yrQjQR-MoKegnEVTA,OPERATIONAL,"{'lat': 24.9993068, 'lng': 121.5442736}",2025/11/16 08:12:34
Mei House Pet Grooming,ChIJ_R6Y9HypQjQRjNI1ngSBsGs,OPERATIONAL,"{'lat': 25.0023513, 'lng': 121.5225257}",2025/11/16 08:12:34
洗狗仔寵物美容,ChIJMSrZR4GpQjQRmy9M_G6epIM,OPERATIONAL,"{'lat': 25.0056156, 'lng': 121.5183682}",2025/11/16 08:12:34
GOPARK公園系寵物沙龍/181號,ChIJ88ZEnOepQjQRAKj1qm7MC7M,OPERATIONAL,"{'lat': 25.0037064, 'lng': 121.5151038}",2025/11/16 08:12:34
凱撒寵物沙龍,ChIJz4xp5BCqQjQRA6CWIA6Bo3E,OPERATIONAL,"{'lat': 25.0010271, 'lng': 121.552602}",2025/11/16 08:12:34
黛希寵物美容沙龍,ChIJfe1t-wOqQjQRIZVoDGTP3oQ,OPERATIONAL,"{'lat': 24.9948936, 'lng': 121.5421475}",2025/11/16 08:12:34
王子公主寵物美容旅館,ChIJCWSIXhyqQjQRZ6U1Gj3uVhI,OPERATIONAL,"{'lat': 25.003032, 'lng': 121.5411866}",2025/11/16 08:12:34
安怡喵。貓咪美容（永和肥貓店）,ChIJIdV6H7apQjQRe5iP6POE_cc,OPERATIONAL,"{'lat': 25.0007152, 'lng': 121.5174778}",2025/11/16 08:12:34
森の汪星寵物SPA沙龍-貓狗美容|皮毛調理|純手吹不進烘箱,ChIJm0DgIwCpQjQRSFmlGEWnDhE,OPERATIONAL,"{'lat': 24.9970842, 'lng': 121.5190549}",2025/11/16 08:12:34
莫莉家寵物美容旅館-中永和貓狗住宿/美容/安親,ChIJQT0n-Y8DaDQRcBYJK7fQb50,OPERATIONAL,"{'lat': 24.9908337, 'lng': 121.5208636}",2025/11/16 08:12:34
雅典娜寵物沙龍,ChIJAaUsVMupQjQRJOfE518rErA,OPERATIONAL,"{'lat': 25.0082863, 'lng': 121.5192582}",2025/11/16 08:12:34
愛迪寵物美容,ChIJmZmdIgOqQjQRl1YzvMKCCQU,OPERATIONAL,"{'lat': 24.9906453, 'lng': 121.5392335}",2025/11/16 08:12:34
PAPA雞寵物生活館 （寵物美容、寵物寄宿）,ChIJ57qnP2UDaDQRvXUhHpHOi2c,OPERATIONAL,"{'lat': 24.9914732, 'lng': 121.5261772}",2025/11/16 08:12:34
全滿屋寵物生活館,ChIJZXqLchGqQjQRfbsxfN9w6TQ,OPERATIONAL,"{'lat': 25.000416, 'lng': 121.5528293}",2025/11/16 08:12:34
Little Tail 寵物美容|寵物按摩,ChIJF8deBEqpQjQReiFXK6uQ35s,OPERATIONAL,"{'lat': 25.0015377, 'lng': 121.5241654}",2025/11/16 08:12:34
集寵洗澡間 木柵店,ChIJK-NSNAuqQjQRa5YSl8-FNng,OPERATIONAL,"{'lat': 24.9888508, 'lng': 121.559622}",2025/11/16 08:12:34
寵蝦咪寵物美容Chongshopme-永和店,ChIJc3Ji0qOpQjQR6z0wjImNPXk,OPERATIONAL,"{'lat': 25.0072716, 'lng': 121.5154195}",2025/11/16 08:12:34
MANGO HOUSE,ChIJWcPyG-GpQjQR_ogrT4CmGJE,OPERATIONAL,"{'lat': 24.9985007, 'lng': 121.5173546}",2025/11/16 08:12:34
Mr.Pet 寵物先生（陪著寶貝看世界）,ChIJJTJCtnQDaDQR9slcvokGNfc,OPERATIONAL,"{'lat': 24.9755193, 'lng': 121.5348708}",2025/11/16 08:12:34
捉迷腸寵物館/寵物美容/寵物旅館/寵物安親/'長照旅館/長毛臘腸犬舍/達克斯犬舍,ChIJ5WPmAcMDaDQRzU04gg20-3Y,OPERATIONAL,"{'lat': 24.993374, 'lng': 121.5155615}",2025/11/16 08:12:34
天天寵寵物店/永和寵物美容/寵物自助洗/寵物用品/飼料捐贈/可陪同洗澡/全程一對一,ChIJJzT6JwCpQjQRW7CkBKwukB8,OPERATIONAL,"{'lat': 25.003399, 'lng': 121.5147621}",2025/11/16 08:12:34
寵物公園(新店民權店) - 專業寵物用品&寵物美容,ChIJ8yNsyRYBaDQR5a0TgaYIHYc,OPERATIONAL,"{'lat': 24.9829974, 'lng': 121.5431086}",2025/11/16 08:12:34
遇見凱特-永和貓美容,ChIJMxkz9CWpQjQRcHE6C7BhG8I,OPERATIONAL,"{'lat': 25.0017457, 'lng': 121.5230524}",2025/11/16 08:12:34
寵物公園(台北興隆店) - 專業寵物用品&寵物美容,ChIJrw8hpcWrQjQRhJeHYfJvAWM,OPERATIONAL,"{'lat': 25.0010938, 'lng': 121.5542722}",2025/11/16 08:12:34
艾蜜莉寵物美容,ChIJK6Z80nqqQjQRQBxT6Rq5jPY,OPERATIONAL,"{'lat': 24.9922219, 'lng': 121.573432}",2025/11/16 08:12:34
有一點圓寵物美容,ChIJH4RwSnipQjQRkYW-buhES6o,OPERATIONAL,"{'lat': 24.9988048, 'lng': 121.5165744}",2025/11/16 08:12:34
哈妹寵物美容工作室,ChIJo2z15TCpQjQRRc-aSXNouUw,OPERATIONAL,"{'lat': 25.0043418, 'lng': 121.5193676}",2025/11/16 08:12:34
逗逗先生寵物沙龍旅館,ChIJJ9uDquapQjQRhyjrOg-uwew,OPERATIONAL,"{'lat': 24.9999909, 'lng': 121.5198814}",2025/11/16 08:12:34
宇苑寵物美容,ChIJszCHrQCqQjQRResowNmikXI,OPERATIONAL,"{'lat': 24.9897697, 'lng': 121.5424164}",2025/11/16 08:12:34
集寵文旅。睡覺間 寵物安親||貓狗住宿|手做鮮食.零食-文山寵物住宿|寵物安親|寵物鮮食|寵物照護|寵物安養|寵物旅館|寵物美容,ChIJJeZfJBmrQjQRggiayPk_bro,OPERATIONAL,"{'lat': 24.9888529, 'lng': 121.559577}",2025/11/16 08:12:34
愛心屋寵物沙龍,ChIJVY38MRkCaDQRuq3if75xCRE,OPERATIONAL,"{'lat': 24.9739237, 'lng': 121.5309372}",2025/11/16 08:12:34
喵的地球總部(原貓天地),ChIJ88iuiroBaDQRFOki1HS-3KM,OPERATIONAL,"{'lat': 24.9865824, 'lng': 121.5412427}",2025/11/16 08:12:34
寶吉咪寵物生活館,ChIJB678_ukDaDQRIJqxWvpGyAw,OPERATIONAL,"{'lat': 24.9763815, 'lng': 121.5165041}",2025/11/16 08:12:34
張雅如寵物美容藝術學苑,ChIJW2YE7DgBaDQRgkwYC5V59NQ,OPERATIONAL,"{'lat': 24.9836992, 'lng': 121.5432666}",2025/11/16 08:12:34
集寵洗澡間-永和店,ChIJZ9q2XfupQjQRpXJ53w7Xr4g,OPERATIONAL,"{'lat': 24.9985846, 'lng': 121.5268548}",2025/11/16 08:12:34
SofyDOG寵物精品-新店店,ChIJQVJhb_QBaDQRWcXvA5tQUaA,OPERATIONAL,"{'lat': 24.9714067, 'lng': 121.5416808}",2025/11/16 08:12:34
