name,place_id,buss_status,geometry,update_time
微笑寵物沙龍,ChIJixoymXH7ZzQRFSr81jB7bCw,OPERATIONAL,"{'lat': 24.8368024, 'lng': 121.7858751}",2025/11/12 06:55:14
我的魚我的店,ChIJ704KXG77ZzQRpGBcgeOuxWA,OPERATIONAL,"{'lat': 24.839732, 'lng': 121.790198}",2025/11/12 06:55:14
哈哈窩寵物精品館(新北三峽店),ChIJbwWMy_MbaDQRGDlwJwXHBeU,OPERATIONAL,"{'lat': 24.9362152, 'lng': 121.3723806}",2025/11/12 06:55:14
毛毛寵星球,ChIJq_ycHgAbaDQRkTX1yrIKy3A,OPERATIONAL,"{'lat': 24.9372492, 'lng': 121.3728238}",2025/11/12 06:55:14
沐奇寵物百貨,ChIJqSEVLCkbaDQRbW40Ep7FNY8,OPERATIONAL,"{'lat': 24.9369527, 'lng': 121.3738074}",2025/11/12 06:55:14
三峽區民權街83號,ChIJcXV_bvMbaDQR3GbbcCfQBzg,OPERATIONAL,"{'lat': 24.9328482, 'lng': 121.3694999}",2025/11/12 06:55:14
Sanxia Aquarium Shop,ChIJ0ZXTmPEbaDQRbIwict2_G4A,OPERATIONAL,"{'lat': 24.9361945, 'lng': 121.3700378}",2025/11/12 06:55:14
妙比寵物美容,ChIJzQCMsvMbaDQR_f3E73dCPMI,OPERATIONAL,"{'lat': 24.9359129, 'lng': 121.3733128}",2025/11/12 06:55:14
幻象水族生活館,ChIJ_YQaXOwbaDQRDwmTX-FFsOQ,OPERATIONAL,"{'lat': 24.9293663, 'lng': 121.3737195}",2025/11/12 06:55:14
Zoo Home,ChIJB--KgD8baDQRKStNF3l8M-s,OPERATIONAL,"{'lat': 24.920087, 'lng': 121.3677966}",2025/11/12 06:55:14
SHOWBA New Taipei Sanxia Zhonghua Store,ChIJkx1eVV0baDQR-Po5FxDj2Pk,OPERATIONAL,"{'lat': 24.9328175, 'lng': 121.3743351}",2025/11/12 06:55:14
原華寵物百貨生活館,ChIJcXeDgPYbaDQR7qqMIeZdAxg,OPERATIONAL,"{'lat': 24.9415755, 'lng': 121.3711622}",2025/11/12 06:55:14
Lunayuhanadegouwuxiao Station,ChIJkUvpfAAZaDQRCtJwnXOcsO4,OPERATIONAL,"{'lat': 24.9361666, 'lng': 121.3327976}",2025/11/12 06:55:14
魚,ChIJR1E2EgWoQjQRW1qtxJCwKtg,OPERATIONAL,"{'lat': 24.9200647, 'lng': 121.3679503}",2025/11/12 06:55:14
三峽北大QMO寵物美容 貓狗美容,ChIJFfwMRewbaDQR0tWzRFQdmKI,OPERATIONAL,"{'lat': 24.9299619, 'lng': 121.3728274}",2025/11/12 06:55:14
美衣潔智慧綠能自助洗衣 三峽弘園旗艦店,ChIJi1mamaMbaDQRdpFqIKADIqY,OPERATIONAL,"{'lat': 24.9271859, 'lng': 121.3662394}",2025/11/12 06:55:14
