name,place_id,buss_status,geometry,update_time
"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,OPERATIONAL,"{'lat': 24.676609, 'lng': 121.399532}",2025/11/12 06:57:15
No.36Farm 36號農場,ChIJSxzazNVsaDQRWjD7LNOHQ5A,OPERATIONAL,"{'lat': 24.6793701, 'lng': 121.3974117}",2025/11/12 06:57:15
福緣山莊,ChIJzcQ_Q9gSaDQREoA_Hyuf3Y0,OPERATIONAL,"{'lat': 24.6945315, 'lng': 121.4007738}",2025/11/12 06:57:15
"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,OPERATIONAL,"{'lat': 24.676609, 'lng': 121.399532}",2025/11/12 06:57:15
No.36Farm 36號農場,ChIJSxzazNVsaDQRWjD7LNOHQ5A,OPERATIONAL,"{'lat': 24.6793701, 'lng': 121.3974117}",2025/11/12 06:57:15
溪景生態農莊,ChIJL9iDFtgSaDQR2anBcYFF_6M,OPERATIONAL,"{'lat': 24.6944412, 'lng': 121.4019976}",2025/11/12 06:57:15
桃園復興鄉桃子菇菇休閒農莊,ChIJ5ydB6s8SaDQR2aFhESD95nc,OPERATIONAL,"{'lat': 24.6890601, 'lng': 121.4204036}",2025/11/12 06:57:15
拉拉山木村的家露營區,ChIJWfgpKNASaDQRF_k7SuPsqiY,OPERATIONAL,"{'lat': 24.688407, 'lng': 121.4113213}",2025/11/12 06:57:15
福緣山莊,ChIJzcQ_Q9gSaDQREoA_Hyuf3Y0,OPERATIONAL,"{'lat': 24.6945315, 'lng': 121.4007738}",2025/11/12 06:57:15
阿爸的故事,ChIJjYnrwgYTaDQR3nXpDMGSSU4,OPERATIONAL,"{'lat': 24.6961698, 'lng': 121.4097558}",2025/11/12 06:57:15
俠雲山莊,ChIJKY-E9b8SaDQR_keWS-LmqUY,OPERATIONAL,"{'lat': 24.6947048, 'lng': 121.4211107}",2025/11/12 06:57:15
楓墅館&觀雲館 by 緣圓旅墅－拉拉山(民宿推薦，小木屋，休憩農莊，度假山莊，親子民宿，景觀民宿推薦 ),ChIJayFuBL8SaDQRQKxhI3eNT1k,OPERATIONAL,"{'lat': 24.6945501, 'lng': 121.4250418}",2025/11/12 06:57:15
拉拉山高園農場,ChIJYWL1_7QTaDQRplUc6QsAWJ0,OPERATIONAL,"{'lat': 24.6929644, 'lng': 121.4164774}",2025/11/12 06:57:15
拉拉山-歡喜農場 民宿,ChIJXQl47M8SaDQRBTf_Yvz4uX4,OPERATIONAL,"{'lat': 24.6892688, 'lng': 121.412537}",2025/11/12 06:57:15
