name,place_id,buss_status,geometry,update_time,in_boundary,update_date,address,phone,opening_hours,rating,rating_total,longitude,latitude,map_url,website,newest_review
哈哈窩寵物精品館(新北三峽店),ChIJbwWMy_MbaDQRGDlwJwXHBeU,OPERATIONAL,"{'lat': 24.9362152, 'lng': 121.3723806}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區文化路66號,0226742799,"['星期一: 10:00 – 22:00' '星期二: 10:00 – 22:00' '星期三: 10:00 – 22:00'
 '星期四: 10:00 – 22:00' '星期五: 10:00 – 22:00' '星期六: 10:00 – 22:00'
 '星期日: 10:00 – 22:00']",4.3,101.0,121.3723806,24.9362152,https://maps.google.com/?cid=16502815234519480600,https://www.facebook.com/%E5%93%88%E5%93%88%E7%AA%A9%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E9%A4%A8-%E4%B8%89%E5%B3%BD%E5%BA%97-1136920036421284,2021-04-24
毛毛寵星球,ChIJq_ycHgAbaDQRkTX1yrIKy3A,OPERATIONAL,"{'lat': 24.9372492, 'lng': 121.3728238}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區復興路69號,0286716819,"['星期一: 12:30 – 19:30' '星期二: 12:30 – 19:30' '星期三: 12:30 – 19:30'
 '星期四: 12:30 – 19:30' '星期五: 12:30 – 19:30' '星期六: 14:00 – 19:00'
 '星期日: 14:00 – 19:00']",5.0,23.0,121.372778,24.937189,https://maps.google.com/?cid=8127601715545716113,https://shopee.tw/qpets_shop?categoryId=100631&itemId=19423548231,2023-10-01
沐奇寵物百貨,ChIJqSEVLCkbaDQRbW40Ep7FNY8,OPERATIONAL,"{'lat': 24.9369527, 'lng': 121.3738074}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區復興路40號,0286762026,"['星期一: 11:00 – 22:00' '星期二: 11:00 – 22:00' '星期三: 11:00 – 22:00'
 '星期四: 11:00 – 22:00' '星期五: 11:00 – 22:00' '星期六: 11:00 – 22:00'
 '星期日: 11:00 – 22:00']",5.0,49.0,121.3738228,24.9369643,https://maps.google.com/?cid=10319371403890290285,,2023-12-10
三峽區民權街83號,ChIJcXV_bvMbaDQR3GbbcCfQBzg,OPERATIONAL,"{'lat': 24.9328482, 'lng': 121.3694999}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區民權街83號1樓之2,0970667903,"['星期一: 休息' '星期二: 休息' '星期三: 11:00 – 18:00' '星期四: 11:00 – 18:00'
 '星期五: 11:00 – 18:00' '星期六: 11:00 – 18:00' '星期日: 11:00 – 18:00']",4.3,89.0,121.369575,24.932805,https://maps.google.com/?cid=4037424458776667868,,2025-07-04
Sanxia Aquarium Shop,ChIJ0ZXTmPEbaDQRbIwict2_G4A,OPERATIONAL,"{'lat': 24.9361945, 'lng': 121.3700378}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區文化路160號,0226712865,"['星期一: 11:30 – 22:30' '星期二: 11:30 – 22:30' '星期三: 11:30 – 22:30'
 '星期四: 11:30 – 22:30' '星期五: 11:30 – 22:30' '星期六: 11:30 – 22:30'
 '星期日: 11:30 – 22:30']",3.9,60.0,121.3700384,24.9361904,https://maps.google.com/?cid=9231182819049507948,,2023-08-30
妙比寵物美容,ChIJzQCMsvMbaDQR_f3E73dCPMI,OPERATIONAL,"{'lat': 24.9359129, 'lng': 121.3733128}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區文化路20號2樓,0226738321,"['星期一: 休息' '星期二: 10:00 – 18:00' '星期三: 10:00 – 18:00' '星期四: 10:00 – 18:00'
 '星期五: 10:00 – 18:00' '星期六: 10:00 – 18:00' '星期日: 休息']",4.8,39.0,121.3732994,24.9359078,https://maps.google.com/?cid=13996134824851865085,http://www.facebook.com/mubepet,2020-11-09
幻象水族生活館,ChIJ_YQaXOwbaDQRDwmTX-FFsOQ,OPERATIONAL,"{'lat': 24.9293663, 'lng': 121.3737195}",2025/11/12 06:55:14,True,2025/11/12,"號 No. 120, 中正路一段三峽區新北市台灣 237",0226723551,"['星期一: 13:00 – 22:00' '星期二: 13:00 – 22:00' '星期三: 13:00 – 22:00'
 '星期四: 13:00 – 22:00' '星期五: 13:00 – 22:00' '星期六: 13:00 – 22:00'
 '星期日: 13:00 – 22:00']",3.7,97.0,121.3737195,24.9293663,https://maps.google.com/?cid=16478747870822074639,,2022-01-29
Zoo Home,ChIJB--KgD8baDQRKStNF3l8M-s,OPERATIONAL,"{'lat': 24.920087, 'lng': 121.3677966}",2025/11/12 06:55:14,True,2025/11/12,237007台灣新北市三峽區中正路二段6號,0917935141,"['星期一: 10:00 – 22:00' '星期二: 10:00 – 22:00' '星期三: 10:00 – 22:00'
 '星期四: 10:00 – 22:00' '星期五: 10:00 – 22:00' '星期六: 10:00 – 22:00'
 '星期日: 10:00 – 22:00']",5.0,4.0,121.3677973,24.9200849,https://maps.google.com/?cid=16948026682249128745,,2025-04-26
SHOWBA New Taipei Sanxia Zhonghua Store,ChIJkx1eVV0baDQR-Po5FxDj2Pk,OPERATIONAL,"{'lat': 24.9328175, 'lng': 121.3743351}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區中華路20號,0289794396,"['星期一: 24 小時營業' '星期二: 24 小時營業' '星期三: 24 小時營業' '星期四: 24 小時營業'
 '星期五: 24 小時營業' '星期六: 24 小時營業' '星期日: 24 小時營業']",4.3,402.0,121.3743485,24.9328005,https://maps.google.com/?cid=18003389168662215416,https://www.showba.com.tw/,2025-06-22
原華寵物百貨生活館,ChIJcXeDgPYbaDQR7qqMIeZdAxg,OPERATIONAL,"{'lat': 24.9415755, 'lng': 121.3711622}",2025/11/12 06:55:14,True,2025/11/12,"1樓, No. 86號國際一街三峽區新北市台灣 237",0226732688,"['星期一: 15:00 – 22:00' '星期二: 休息' '星期三: 15:00 – 22:00' '星期四: 15:00 – 22:00'
 '星期五: 15:00 – 22:00' '星期六: 15:00 – 22:00' '星期日: 15:00 – 22:00']",4.7,98.0,121.3711622,24.9415755,https://maps.google.com/?cid=1730329924827130606,,2025-08-05
Lunayuhanadegouwuxiao Station,ChIJkUvpfAAZaDQRCtJwnXOcsO4,OPERATIONAL,"{'lat': 24.9361666, 'lng': 121.3327976}",2025/11/12 06:55:14,True,2025/11/12,239台灣新北市鶯歌區中正三路283巷25-13號,,"['星期一: 09:00 – 18:00' '星期二: 09:00 – 18:00' '星期三: 09:00 – 18:00'
 '星期四: 09:00 – 18:00' '星期五: 09:00 – 18:00' '星期六: 休息' '星期日: 休息']",5.0,2.0,121.3327919,24.936164,https://maps.google.com/?cid=17199418997304513034,https://runahana.com/,2025-04-04
魚,ChIJR1E2EgWoQjQRW1qtxJCwKtg,OPERATIONAL,"{'lat': 24.9200647, 'lng': 121.3679503}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峽區中正路二段六號,0229691121,"['星期一: 24 小時營業' '星期二: 24 小時營業' '星期三: 24 小時營業' '星期四: 24 小時營業'
 '星期五: 24 小時營業' '星期六: 24 小時營業' '星期日: 24 小時營業']",5.0,4.0,121.3679503,24.9200647,https://maps.google.com/?cid=15576456397035756123,https://m.facebook.com/AndyZooHome,2017-08-02
三峽北大QMO寵物美容 貓狗美容,ChIJFfwMRewbaDQR0tWzRFQdmKI,OPERATIONAL,"{'lat': 24.9299619, 'lng': 121.3728274}",2025/11/12 06:55:14,True,2025/11/12,"1樓 No. 13號, 1樓, No. 13號中華路75巷三峽區新北市台灣 237",0286713013,"['星期一: 休息' '星期二: 10:00 – 18:30' '星期三: 10:00 – 18:30' '星期四: 10:00 – 18:30'
 '星期五: 10:00 – 18:30' '星期六: 10:00 – 19:00' '星期日: 休息']",4.6,59.0,121.3728286,24.9299633,https://maps.google.com/?cid=11716146678371440082,https://www.facebook.com/QMOpet/,2024-11-07
美衣潔智慧綠能自助洗衣 三峽弘園旗艦店,ChIJi1mamaMbaDQRdpFqIKADIqY,OPERATIONAL,"{'lat': 24.9271859, 'lng': 121.3662394}",2025/11/12 06:55:14,True,2025/11/12,237台灣新北市三峡区弘园街58號1樓,0912501593,"['星期一: 24 小時營業' '星期二: 24 小時營業' '星期三: 24 小時營業' '星期四: 24 小時營業'
 '星期五: 24 小時營業' '星期六: 24 小時營業' '星期日: 24 小時營業']",4.9,43.0,121.3662394,24.9271859,https://maps.google.com/?cid=11971134745777705334,https://mej.com.tw/,2022-07-29
"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,OPERATIONAL,"{'lat': 24.676609, 'lng': 121.399532}",2025/11/12 06:57:15,True,2025/11/12,336台灣桃園市復興區華陵里巴崚8鄰30號,033912415,"['星期一: 12:00 – 17:00' '星期二: 12:00 – 17:00' '星期三: 12:00 – 17:00'
 '星期四: 12:00 – 17:00' '星期五: 12:00 – 17:00' '星期六: 12:00 – 17:00'
 '星期日: 12:00 – 17:00']",4.6,1254.0,121.399532,24.676609,https://maps.google.com/?cid=10852521470955643333,http://www.goodian.com.tw/,2025-08-15
