name,place_id,buss_status,geometry,update_time
毛屋寵物用品Máowū,ChIJb_79ee91bjQR-KS5ZO4y2tA,OPERATIONAL,"{'lat': 22.9227283, 'lng': 120.2453906}",2025/11/12 06:54:59
迷迷寵物生活館,ChIJo4ydjNd1bjQRSNt4kGp-FCY,OPERATIONAL,"{'lat': 22.9184336, 'lng': 120.2259572}",2025/11/12 06:54:59
大鸚帝國 Parrotempire,ChIJx1o3-KV1bjQRaDyRhpBDAl0,OPERATIONAL,"{'lat': 22.8876087, 'lng': 120.2430467}",2025/11/12 06:54:59
寶寶寵物生活館,ChIJ_Wkp5ex0bjQRDnem7t6rgRM,OPERATIONAL,"{'lat': 22.9184261, 'lng': 120.2259567}",2025/11/12 06:54:59
貓你兔犬（台南暫無門市，純電商經營）,ChIJGZshos13bjQRtl57lTQIhiY,OPERATIONAL,"{'lat': 22.9196897, 'lng': 120.2110049}",2025/11/12 06:54:59
盈芳貓舍,ChIJoVHnBI1xbjQRjzwS4Spj7hU,OPERATIONAL,"{'lat': 22.8957542, 'lng': 120.2405193}",2025/11/12 06:54:59
小品養殖（24小時預約制）蜜袋鼯 刺蝟 坎貝爾卷毛倉鼠 通心粉鼠 肥尾沙鼠 狐獴 雪貂 拇指松鼠 睡鼠 花枝鼠,ChIJTTL2e25zbjQRPCzNcp3hYzI,OPERATIONAL,"{'lat': 22.9077227, 'lng': 120.2508117}",2025/11/12 06:54:59
蘋果樹鸚鵡精品2館(用品玩具飼料館),ChIJRQPYxE91bjQRou4tjjGlIMc,OPERATIONAL,"{'lat': 22.8940666, 'lng': 120.2306577}",2025/11/12 06:54:59
巧喬寵物沙龍,ChIJR4mCghR1bjQRoapN3FHgubQ,OPERATIONAL,"{'lat': 22.9097233, 'lng': 120.2260023}",2025/11/12 06:54:59
天然水族器材有限公司,ChIJEf9IwvR0bjQRbZmKYCd2rW4,OPERATIONAL,"{'lat': 22.9271504, 'lng': 120.2285448}",2025/11/12 06:54:59
遠達國際有限公司,ChIJAZSbmYF0bjQRTYKW0TNebfA,OPERATIONAL,"{'lat': 22.9226444, 'lng': 120.2492075}",2025/11/12 06:54:59
PetO2第一家寵物氧氣機/製氧機/氧氣箱/販售(預約制請先電聯),ChIJZbZgYB91bjQRlFgd6gGLHjc,OPERATIONAL,"{'lat': 22.9155782, 'lng': 120.217618}",2025/11/12 06:54:59
