name,place_id,buss_status,geometry,update_time,in_boundary,update_date,address,phone,opening_hours,rating,rating_total,longitude,latitude,map_url,website,newest_review
加納富 內洞美食,ChIJUyy3ys8FaDQRWXWsiZlOaas,OPERATIONAL,"{'lat': 24.8374171, 'lng': 121.525986}",2025/11/19 06:31:00,True,2025/11/19,233台灣新北市烏來區信福路12-3號,0907354496,"['星期一: 11:30 – 15:00' '星期二: 11:30 – 15:00' '星期三: 休息' '星期四: 11:30 – 15:00'
 '星期五: 11:30 – 15:00' '星期六: 11:30 – 15:00' '星期日: 11:30 – 15:00']",4.5,413,121.525986,24.8374171,https://maps.google.com/?cid=12351489874387039577,https://www.ganafucity.com.tw/,2025-06-28
Shijian Cuo Cafe,ChIJ7e7UL2wbaDQRldmOjEj3gKE,OPERATIONAL,"{'lat': 24.8627374, 'lng': 121.3654922}",2025/11/19 06:31:00,True,2025/11/19,237台灣新北市三峽區41-30號,0226729088,"['星期一: 09:00 – 19:00' '星期二: 休息' '星期三: 09:00 – 19:00' '星期四: 09:00 – 19:00'
 '星期五: 09:00 – 19:00' '星期六: 09:00 – 19:00' '星期日: 09:00 – 19:00']",4.8,324,121.365485,24.862743,https://maps.google.com/?cid=11637573328093239701,,2025-05-25
桃然亭,ChIJj57KahwTaDQRr6OUbOeZcQ0,OPERATIONAL,"{'lat': 24.6863929, 'lng': 121.3997087}",2025/11/19 06:31:04,True,2025/11/19,336044台灣桃園市復興區123之1號,0955973915,,4.9,218,121.3997087,24.6863929,https://maps.google.com/?cid=968724614099542959,,2025-07-12
拉拉山小吃–阿真的店山產美食餐廳,ChIJzx7SdCoTaDQR2guvBfbF5BE,OPERATIONAL,"{'lat': 24.6863495, 'lng': 121.399531}",2025/11/19 06:31:04,True,2025/11/19,336台灣桃園市復興區巴陵道路123號,033912163,"['星期一: 09:00 – 19:30' '星期二: 09:00 – 19:30' '星期三: 09:00 – 19:30'
 '星期四: 09:00 – 19:30' '星期五: 09:00 – 19:30' '星期六: 09:00 – 19:30'
 '星期日: 09:00 – 19:30']",4.3,204,121.399531,24.6863495,https://maps.google.com/?cid=1289373053782789082,https://ioutrave.weebly.com/ajhensiaochihdian.html,2024-03-23
"谷點咖啡民宿Goodian Coffee,Bed & Breakfast",ChIJ7yW4x3wWaDQRxWGcWcfmm5Y,OPERATIONAL,"{'lat': 24.676609, 'lng': 121.399532}",2025/11/19 06:31:04,True,2025/11/19,336台灣桃園市復興區華陵里巴崚8鄰30號,033912415,"['星期一: 12:00 – 17:00' '星期二: 12:00 – 17:00' '星期三: 12:00 – 17:00'
 '星期四: 12:00 – 17:00' '星期五: 12:00 – 17:00' '星期六: 12:00 – 17:00'
 '星期日: 12:00 – 17:00']",4.6,1257,121.399532,24.676609,https://maps.google.com/?cid=10852521470955643333,http://www.goodian.com.tw/,2025-08-15
祈樂農莊,ChIJeXpsInltaDQREunll4t3bzM,OPERATIONAL,"{'lat': 24.6788718, 'lng': 121.3980431}",2025/11/19 06:31:04,True,2025/11/19,336台灣桃園市復興區31之2號,0928593062,"['星期一: 24 小時營業' '星期二: 24 小時營業' '星期三: 24 小時營業' '星期四: 24 小時營業'
 '星期五: 24 小時營業' '星期六: 24 小時營業' '星期日: 24 小時營業']",4.5,140,121.3980431,24.6788718,https://maps.google.com/?cid=3706312459781794066,,2025-09-07
No.36Farm 36號農場,ChIJSxzazNVsaDQRWjD7LNOHQ5A,OPERATIONAL,"{'lat': 24.6793701, 'lng': 121.3974117}",2025/11/19 06:31:04,True,2025/11/19,336台灣桃园市复兴区36號,033912585,"['星期一: 07:00 – 21:00' '星期二: 07:00 – 21:00' '星期三: 07:00 – 21:00'
 '星期四: 07:00 – 21:00' '星期五: 07:00 – 21:00' '星期六: 07:00 – 21:00'
 '星期日: 07:00 – 21:00']",4.5,210,121.3974117,24.6793701,https://maps.google.com/?cid=10395301705963745370,https://36farm.okgo.tw/,2025-04-25
北橫貫下巴陵溫泉山莊餐廳 - 桃園 2025景觀民宿推薦 雙人 四人套房首選 明池住宿 山景木屋特色住宿好評 套裝行程 優質雙人湯屋 高CP值溫泉套房價格 合菜餐廳 簡餐費用 大眾SPA池 蒸氣室 近拉拉山國家森林遊樂區 團體訂房優惠 輕旅行,ChIJC6G7Hc9saDQR4cUY3flakJY,OPERATIONAL,"{'lat': 24.6783523, 'lng': 121.3851357}",2025/11/19 06:31:04,True,2025/11/19,336台灣桃园市复兴区21-1號 台七線46.8K處,033912323,"['星期一: 09:00 – 22:00' '星期二: 09:00 – 22:00' '星期三: 09:00 – 22:00'
 '星期四: 09:00 – 22:00' '星期五: 09:00 – 22:00' '星期六: 09:00 – 22:00'
 '星期日: 09:00 – 22:00']",4.0,685,121.3851357,24.6783523,https://maps.google.com/?cid=10849271531538269665,https://www.shabaling.com/,2025-04-20
拾初輕食,ChIJ5YUkDzY7aTQRXa-4vgWrn2M,OPERATIONAL,"{'lat': 24.0432586, 'lng': 120.6951854}",2025/11/19 06:31:07,True,2025/11/19,413台灣臺中市霧峰區民族路2號,0423396089,"['星期一: 休息' '星期二: 休息' '星期三: 11:30 – 17:00' '星期四: 11:30 – 17:00'
 '星期五: 11:30 – 17:00' '星期六: 10:30 – 18:00' '星期日: 10:30 – 18:00']",4.7,352,120.6951854,24.0432586,https://maps.google.com/?cid=7178644372214820701,https://www.facebook.com/p/1957%E6%8B%BE%E5%88%9D%E8%BC%95%E9%A3%9F%E6%8D%B2%E9%A4%85-100077175437903/?paipv=0&eav=AfZxGEbR5PNlHpNi1YSumrigH6LtH3If0ancIoLMP_-KOPx6MG8FZxFmBVQ7O7Jfm0w&_rdr,2025-08-17
敘 MODERN •,ChIJfdmk9HI7aTQRPJ-za3PadQ4,OPERATIONAL,"{'lat': 24.0474899, 'lng': 120.6877245}",2025/11/19 06:31:07,True,2025/11/19,413台灣臺中市霧峰區柳豐路500號亞洲大學現代美術館 敘MODERN ·,0423399981#6480,"['星期一: 09:30 – 17:30' '星期二: 09:30 – 17:30' '星期三: 09:30 – 17:30'
 '星期四: 09:30 – 17:30' '星期五: 09:30 – 17:30' '星期六: 09:30 – 18:00'
 '星期日: 09:30 – 18:00']",4.2,257,120.6877245,24.0474899,https://maps.google.com/?cid=1041979078069165884,https://m.facebook.com/%E6%95%98-Modern--435782390583550/,2025-10-10
