id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
hp0001,北大奇緣動物醫院,OPERATIONAL,NTP009,237台灣新北市三峽區民生街2-2號,0286726119,67.66666666666669,1,4.5,266.0,2025-02-02,121.3763989,24.9370374,https://maps.google.com/?cid=8724661258929095771,https://www.facebook.com/ntpuqiyuan,ChIJLzK-FVUZaDQRW8QUlDA5FHk,
hp0002,淯生動物醫院,OPERATIONAL,NTP009,237台灣新北市三峽區復興路36之1號,0226739191,48.0,1,4.1,67.0,2024-11-30,121.3741657,24.9365222,https://maps.google.com/?cid=18267253260256283545,,ChIJOw5cp_MbaDQRmQusXw5Sgv0,
hp0003,伯特利動物醫院,OPERATIONAL,NTP009,237台灣新北市三峽區學成路323號1樓,0286723030,54.5,1,4.4,164.0,2025-06-15,121.3771077,24.9446483,https://maps.google.com/?cid=3443073608853743902,https://www.facebook.com/bethelvh/,ChIJV7AlIXUcaDQRHuk_fzRByC8,
hp0004,濰邇動物醫院,OPERATIONAL,NTP009,237台灣新北市三峽區長泰街94號,0286719996,60.0,1,4.6,158.0,2025-03-03,121.3761414,24.9333436,https://maps.google.com/?cid=839484420077207698,https://www.facebook.com/%E6%BF%B0%E9%82%87%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-101989275790516,ChIJsU-Mc6EbaDQRkkAt3aFypgs,
hp0005,小野菊動物醫院,OPERATIONAL,NTP009,237台灣新北市三峽區學府路32號,0226732730,51.0,1,4.4,170.0,2023-07-16,121.3726101,24.9479399,https://maps.google.com/?cid=13001389998093916504,https://www.facebook.com/%E5%B0%8F%E9%87%8E%E8%8F%8A%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-1606540512942892/,ChIJv8fO6QscaDQRWFm0plE3brQ,
hp0006,三峽奇緣動物醫院,OPERATIONAL,NTP009,237台灣新北市三峽區中園街126-23號,0226716119,59.00000000000001,1,4.2,188.0,2025-05-19,121.3669461,24.9212299,https://maps.google.com/?cid=4220188702769060002,,ChIJwaz9JsMbaDQRopiqAUQfkTo,
hp0007,新北市三芝區橫山國民小學,OPERATIONAL,NTP021,25246台灣新北市三芝區橫山里86號,0226362473,0.0,1,0.0,0.0,,121.5299089,25.2586728,https://maps.google.com/?cid=519458639288193573,http://www.hses.ntpc.edu.tw/,ChIJ6aI9vqW2QjQRJdJHVuF8NQc,
hp0008,德欣(中西醫)動物醫院,OPERATIONAL,NTP002,241台灣新北市三重區信義街4號1 樓,0229738657,65.0,1,4.7,182.0,2025-08-17,121.4992304,25.0648534,https://maps.google.com/?cid=6026518761014467739,https://www.facebook.com/DeXinVeterinaryClinic/,ChIJ27InWPWpQjQRm5x-HuJ-olM,
hp0009,毛孩子動物醫院,OPERATIONAL,NTP002,241台灣新北市三重區福德北路71號,0229774887,73.0,1,4.6,565.0,2025-01-11,121.5020615,25.0657453,https://maps.google.com/?cid=816465394470796250,,ChIJ2cJZMCOpQjQR2rvUUPOqVAs,
hp0010,自強動物醫院,OPERATIONAL,NTP002,241台灣新北市三重區自強路四段79號,0289858011,66.0,1,4.4,41.0,2024-07-10,121.49095,25.079009,https://maps.google.com/?cid=9984384667343024344,,ChIJ3-EmJNaoQjQR2HDWlfSoj4o,
hp0011,獴獴加非犬貓專科醫院,OPERATIONAL,NTP002,241台灣新北市三重區重新路四段20號1樓,0229792232,59.5,1,4.4,1553.0,2025-08-08,121.4885332,25.0574948,https://maps.google.com/?cid=3589961534102948365,https://www.facebook.com/profile.php?id=100044315775296,ChIJ525cVeKoQjQRDcqFrf4a0jE,
hp0012,嘉興動物醫院,OPERATIONAL,NTP002,241台灣新北市三重區忠孝路一段24號,0229860239,9.5,1,4.7,130.0,2025-09-27,121.4917748,25.0716757,https://maps.google.com/?cid=18051909263785439800,,ChIJ57MZZCepQjQROLKDEdVDhfo,
hp0013,集賢愛生動物醫院,OPERATIONAL,NTP002,241台灣新北市三重區集賢路42號,0282875849,67.0,1,4.6,378.0,2025-08-16,121.4936209,25.0880366,https://maps.google.com/?cid=508411270563698019,https://www.facebook.com/pages/%E4%B8%89%E9%87%8D%E9%9B%86%E8%B3%A2%E6%84%9B%E7%94%9F%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/446547578746005,ChIJ6V0r-h6vQjQRYxXBXVs9Dgc,
hp0014,旭生動物醫院,OPERATIONAL,NTP002,241台灣新北市三重區元信二街170號1樓,0289881701,52.0,1,4.8,57.0,2025-10-04,121.4962716,25.0794084,https://maps.google.com/?cid=14044295657577013468,https://www.facebook.com/profile.php?id=61561946237138&locale=zh_TW,ChIJ6wDkG02pQjQR3GBwnn1c58I,
