id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
ht0001,合歡寵物旅館,OPERATIONAL,NTP009,23743台灣新北市三峽區溪東路233巷45弄28號,0987846016,56.0,3,4.6,59.0,2023-02-11,121.4095016,24.9340679,https://maps.google.com/?cid=5606225546976565262,http://www.dogshotel.tw/,ChIJQ90SF30baDQRDhhCkm5QzU0,
ht0002,浪花寵藝寵物美容．用品．住宿,OPERATIONAL,NTP009,237台灣新北市三峽區長泰街48號一樓,0929387655,45.0,3,4.9,64.0,2023-08-14,121.3780336,24.9325234,https://maps.google.com/?cid=3879997136574198516,https://instagram.com/groomer.mei?igshid=MWI4MTIyMDE=,ChIJeza4mE4baDQR9LIJr9aE2DU,
ht0003,台北寵物美容 寵物美容教學 台北寵物美容教學,OPERATIONAL,NTP009,237台灣新北市三峽區國學街1號,0956000075,63.0,3,4.2,124.0,2025-04-13,121.3734075,24.9415987,https://maps.google.com/?cid=11378918088627659057,http://www.amopetgrooming.com/,ChIJjTvRsfUbaDQRMSHrqLYJ6p0,
ht0004,啵靚寵物公園,OPERATIONAL,NTP009,237台灣新北市三峽區大德路157號,0226740190,39.0,3,5.0,5.0,2021-08-23,121.37555,24.9453101,https://maps.google.com/?cid=12344725401596142587,https://www.facebook.com/%E5%95%B5%E9%9D%9A%E5%AF%B5%E7%89%A9%E5%85%AC%E5%9C%92-172469309526637/,ChIJq3Z55wocaDQR-yPh-1hGUas,
ht0005,Mini Boarding House 寵物旅館-[為維持服務品質，本館採全面預約制，不接受當日預約，參觀亦需提前預約],OPERATIONAL,NTP021,252台灣新北市三芝區號,0989187961,70.0,3,4.9,341.0,2025-07-31,121.4604782,25.2471724,https://maps.google.com/?cid=17221158388940134494,https://miniboardinghouse.com/,ChIJixNFP5uxQjQRXtiDKVDY_e4,
ht0006,天麗寵物坊,OPERATIONAL,NTP021,252台灣新北市三芝區中山路一段88巷11號,0226369269,65.0,3,4.8,40.0,2025-03-09,121.5026732,25.2566458,https://maps.google.com/?cid=9154099260341312584,https://www.facebook.com/TianLi26369269,ChIJyYK5LtK2QjQRSFxP28bkCX8,
ht0007,寵兒貝特,OPERATIONAL,NTP002,241台灣新北市三重区自强路五段67號1樓,0289825058,51.0,3,4.9,59.0,2025-02-09,121.4949135,25.0818598,https://maps.google.com/?cid=10801363742271631201,https://instagram.com/love_better_67?utm_medium=copy_link,ChIJ06tbpSupQjQRYW_icxgn5pU,
ht0008,鑫願貓舍預約制/英短/美短/曼赤肯,OPERATIONAL,NTP002,241台灣新北市三重區忠孝路三段40巷6之6號,0938599463,32.5,3,4.8,83.0,2025-06-07,121.4818064,25.0668696,https://maps.google.com/?cid=3872391246070259344,https://yuwishcat.com/,ChIJ5bp-PTepQjQRkJ5ZTVJ_vTU,
ht0009,欣愛寵物,OPERATIONAL,NTP002,241台灣新北市三重區中正南路81號,0229778500,80.5,3,4.8,246.0,2025-08-18,121.4942344,25.0585491,https://maps.google.com/?cid=15261969831101944056,,ChIJ7dVZ0x2pQjQR-FCPM7NozdM,
ht0010,洛芙寵物旅館 Loft Dog Hotel,OPERATIONAL,NTP002,241台灣新北市三重區吉祥街6號,0228577276,84.0,3,4.5,89.0,2018-07-17,121.4891836,25.0890122,https://maps.google.com/?cid=8098237565993039367,https://m.facebook.com/loftdoghotel/,ChIJAbuX9yqvQjQRBza98yi4YnA,
ht0011,米古米古寵物生活館,OPERATIONAL,NTP002,241台灣新北市三重區仁義街347號1樓,0282879200,54.0,3,5.0,15.0,2025-02-13,121.4948929,25.0851211,https://maps.google.com/?cid=15068026596369007281,https://www.facebook.com/%E7%B1%B3%E5%8F%A4%E7%B1%B3%E5%8F%A4%E5%AF%B5%E7%89%A9%E7%94%9F%E6%B4%BB%E9%A4%A8-171422782880426/,ChIJAfluiyOpQjQRsYK2BltiHNE,
ht0012,貓家日子｜貓旅館,OPERATIONAL,NTP002,241台灣新北市三重區三民街68號,0266040468,168.0,3,4.9,54.0,2025-10-06,121.4856818,25.0625222,https://maps.google.com/?cid=15606559885071719466,https://catday-hotel.my.canva.site/dayscat,ChIJEXUN6V6pQjQRKpyPQ4ejldg,
ht0013,米頡寵物美容,OPERATIONAL,NTP002,241台灣新北市三重區仁愛街709號,0282878771,57.0,3,4.6,27.0,2021-12-30,121.4825241,25.0806457,https://maps.google.com/?cid=16280767001917615234,,ChIJH_HvqNGoQjQRgmwzPFTn8OE,
ht0014,萬達寵物事業股份有限公司,OPERATIONAL,NTP002,241台灣新北市三重區重陽路三段152號1樓,0225428800,70.0,3,0.0,0.0,,121.4895873,25.0676034,https://maps.google.com/?cid=17225392318660366763,,ChIJI7PEpt-oQjQRq1F-vgzjDO8,
ht0015,麻吉寵物沙龍,OPERATIONAL,NTP002,241台灣新北市三重區中正北路380巷2號,,0.0,3,5.0,1.0,2021-07-30,121.4765238,25.0692377,https://maps.google.com/?cid=9330040029983155477,,ChIJJSyqYsKoQjQRFSVSf_n1eoE,
ht0016,苙堡寵物,OPERATIONAL,NTP002,241台灣新北市三重區中寮街101號,,0.0,3,0.0,0.0,,121.4938029,25.0574989,https://maps.google.com/?cid=1694458368513884663,,ChIJN2fcHgCpQjQR90H1lejsgxc,
ht0017,來電狗寵物館,OPERATIONAL,NTP002,24156台灣新北市三重區力行路二段99號1樓,0972955127,70.0,3,4.1,26.0,2022-12-10,121.482748,25.0759549,https://maps.google.com/?cid=8518141862510969200,,ChIJQa4Enr-pQjQRcMFZleSENnY,
