hotel_id,place_id,name_checked,address_checked,phone,city,district,loc_id,business_status,opening_hours,cat_id,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
ht0001,ChIJsZ4hTvMbaDQRWXEUzQDBHgk,巴寶寵物,237台灣新北市三峽區民生街2號,226733589.0,新北市,三峽區,NTP009,OPERATIONAL,32.0,3,"['establishment', 'point_of_interest']",4.8,22.0,121.3764508,24.9370434,https://maps.google.com/?cid=657174804827500889,,2018-09-23
ht0002,ChIJeza4mE4baDQR9LIJr9aE2DU,浪花寵藝寵物美容．用品．住宿,237台灣新北市三峽區長泰街48號一樓,929387655.0,新北市,三峽區,NTP009,OPERATIONAL,45.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.9,64.0,121.3780336,24.9325234,https://maps.google.com/?cid=3879997136574198516,https://instagram.com/groomer.mei?igshid=MWI4MTIyMDE=,2023-08-14
ht0003,ChIJQ90SF30baDQRDhhCkm5QzU0,合歡寵物旅館,23743台灣新北市三峽區溪東路233巷45弄28號,987846016.0,新北市,三峽區,NTP009,OPERATIONAL,56.0,3,"['establishment', 'point_of_interest']",4.6,59.0,121.4095016,24.9340679,https://maps.google.com/?cid=5606225546976565262,http://www.dogshotel.tw/,2023-02-11
ht0004,ChIJjTvRsfUbaDQRMSHrqLYJ6p0,台北寵物美容 寵物美容教學 台北寵物美容教學,237台灣新北市三峽區國學街1號,956000075.0,新北市,三峽區,NTP009,OPERATIONAL,63.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.2,124.0,121.3734075,24.9415987,https://maps.google.com/?cid=11378918088627659057,http://www.amopetgrooming.com/,2022-07-21
ht0005,ChIJyYK5LtK2QjQRSFxP28bkCX8,天麗寵物坊,252台灣新北市三芝區中山路一段88巷11號,226369269.0,新北市,三芝區,NTP021,OPERATIONAL,65.0,3,"['establishment', 'point_of_interest', 'store']",4.8,40.0,121.5026732,25.2566458,https://maps.google.com/?cid=9154099260341312584,https://www.facebook.com/TianLi26369269,2025-03-09
ht0006,ChIJixNFP5uxQjQRXtiDKVDY_e4,Mini Boarding House 寵物旅館-[為維持服務品質，本館採全面預約制，不接受當日預約，參觀亦需提前預約],252台灣新北市三芝區號,989187961.0,新北市,三芝區,NTP021,OPERATIONAL,70.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.9,340.0,121.4604782,25.2471724,https://maps.google.com/?cid=17221158388940134494,https://miniboardinghouse.com/,2025-08-18
ht0007,ChIJKc9jrMKoQjQRp-_kYn8hC-w,吉祥寵物用品,241台灣新北市三重區三民街259號,289810905.0,新北市,三重區,NTP002,OPERATIONAL,63.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",5.0,7.0,121.479703,25.067892,https://maps.google.com/?cid=17008725248698544039,,2022-08-25
ht0008,ChIJ5bp-PTepQjQRkJ5ZTVJ_vTU,鑫願貓舍預約制/英短/美短/曼赤肯,241台灣新北市三重區忠孝路三段40巷6之6號,938599463.0,新北市,三重區,NTP002,OPERATIONAL,32.5,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.8,83.0,121.4818064,25.0668696,https://maps.google.com/?cid=3872391246070259344,https://yuwishcat.com/,2025-06-07
ht0009,ChIJJSyqYsKoQjQRFSVSf_n1eoE,麻吉寵物沙龍,241台灣新北市三重區中正北路380巷2號,,新北市,三重區,NTP002,OPERATIONAL,0.0,3,"['establishment', 'point_of_interest']",5.0,1.0,121.4765238,25.0692377,https://maps.google.com/?cid=9330040029983155477,,2021-07-30
ht0010,ChIJY9QL9gupQjQRuE2mnUX6_ms,私房貓旅 The Cat Inn．七星級管家式貓咪旅館,241台灣新北市三重區五華街218號1樓,228570009.0,新北市,三重區,NTP002,OPERATIONAL,66.5,3,"['establishment', 'point_of_interest']",5.0,197.0,121.4878793,25.0869211,https://maps.google.com/?cid=7781932383047404984,https://www.thecatinn.vip/,2025-05-04
ht0011,ChIJxf_NRuOoQjQRPQTEe8a1zX4,露西寵物店,241台灣三重區重新路四段136號,289728972.0,新北市,三重區,NTP002,OPERATIONAL,53.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.5,52.0,121.4868853,25.0564074,https://maps.google.com/?cid=9137159083089200189,,2024-07-27
ht0012,ChIJ06tbpSupQjQRYW_icxgn5pU,寵兒貝特,241台灣新北市三重区自强路五段67號1樓,289825058.0,新北市,三重區,NTP002,OPERATIONAL,51.0,3,"['establishment', 'point_of_interest']",4.9,59.0,121.4949135,25.0818598,https://maps.google.com/?cid=10801363742271631201,https://instagram.com/love_better_67?utm_medium=copy_link,2025-02-09
ht0013,ChIJN2fcHgCpQjQR90H1lejsgxc,苙堡寵物,241台灣新北市三重區中寮街101號,,新北市,三重區,NTP002,OPERATIONAL,0.0,3,"['establishment', 'point_of_interest']",0.0,0.0,121.4938029,25.0574989,https://maps.google.com/?cid=1694458368513884663,,
ht0014,ChIJ7dVZ0x2pQjQR-FCPM7NozdM,欣愛寵物,241台灣新北市三重區中正南路81號,229778500.0,新北市,三重區,NTP002,OPERATIONAL,80.5,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.8,246.0,121.4942344,25.0585491,https://maps.google.com/?cid=15261969831101944056,,2025-08-18
ht0015,ChIJI7PEpt-oQjQRq1F-vgzjDO8,萬達寵物事業股份有限公司,241台灣新北市三重區重陽路三段152號1樓,225428800.0,新北市,三重區,NTP002,OPERATIONAL,70.0,3,"['establishment', 'point_of_interest', 'store']",0.0,0.0,121.4895873,25.0676034,https://maps.google.com/?cid=17225392318660366763,,
ht0016,ChIJEXUN6V6pQjQRKpyPQ4ejldg,貓家日子｜貓旅館,241台灣新北市三重區三民街68號,266040468.0,新北市,三重區,NTP002,OPERATIONAL,168.0,3,"['establishment', 'point_of_interest', 'store', 'veterinary_care']",4.9,54.0,121.4856818,25.0625222,https://maps.google.com/?cid=15606559885071719466,https://catday-hotel.my.canva.site/dayscat,2025-08-31
ht0017,ChIJAfluiyOpQjQRsYK2BltiHNE,米古米古寵物生活館,241台灣新北市三重區仁義街347號1樓,282879200.0,新北市,三重區,NTP002,OPERATIONAL,54.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",5.0,15.0,121.4948929,25.0851211,https://maps.google.com/?cid=15068026596369007281,https://www.facebook.com/%E7%B1%B3%E5%8F%A4%E7%B1%B3%E5%8F%A4%E5%AF%B5%E7%89%A9%E7%94%9F%E6%B4%BB%E9%A4%A8-171422782880426/,2025-02-13
