id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
res0001,Shijian Cuo Cafe,OPERATIONAL,NTP009,237臺灣新北市三峽區41-30號,0226729088,60.0,2,4.8,323,2025-05-25,121.365485,24.862743,https://maps.google.com/?cid=11637573328093239701,,ChIJ7e7UL2wbaDQRldmOjEj3gKE,2025/10/30 11:21:31
res0002,自然步調內山咖啡,OPERATIONAL,NTP009,237臺灣新北市三峽區130-2號,0939139079,19.5,2,4.3,313,2023-04-05,121.4361162,24.856421,https://maps.google.com/?cid=5161746511357455755,https://m.facebook.com/lenong.handmade/?locale2=zh_TW,ChIJVWNoKLAaaDQRi60Snho1okc,2025/10/30 11:21:31
res0003,正德居,OPERATIONAL,NTP009,237臺灣新北市三峽區145 有木裏,0912832048,34.0,2,4.5,930,2025-09-14,121.4450997,24.8485323,https://maps.google.com/?cid=17180116319174855024,https://facebook.com/pages/category/Bed-and-Breakfast/%E6%AD%A3%E5%BE%B7%E5%B1%85-1383929785261184/?locale2=zh_TW,ChIJCycByKwaaDQRcAlPpMQIbO4,2025/10/30 11:21:31
res0004,有木里觀光土雞城,OPERATIONAL,NTP009,237臺灣新北市三峽區205號,0226720357,56.0,2,4.0,942,2025-10-23,121.4388669,24.851814,https://maps.google.com/?cid=6237443857892049803,,ChIJYxD2Y64aaDQRiwMZMCTaj1Y,2025/10/30 11:21:31
res0005,青山谷烤肉區,OPERATIONAL,NTP009,237臺灣新北市三峽區北114鄉道133號號,0912933469,51.0,2,3.9,92,2025-05-30,121.4350813,24.8580323,https://maps.google.com/?cid=11289967578199576993,http://emmm.tw/L3_content.php?L3_id=34026,ChIJUa8gj7AaaDQRoVFDELIFrpw,2025/10/30 11:21:31
res0006,三峽 千戶傳奇生態農場-鱘龍魚養殖場(原山中傳奇) Chienhu Cheanchi Ecological Fish Farm,OPERATIONAL,NTP009,237臺灣新北市三峽區154-3號,0226720748,32.5,2,4.6,1650,2025-05-05,121.4494399,24.8453226,https://maps.google.com/?cid=974605653737034756,http://www.fishfarm.tw/,ChIJaYEZPlQFaDQRBFQVq61-hg0,2025/10/30 11:21:31
res0007,翡翠谷餐廳(寵物友善)우라이비취골식당,OPERATIONAL,NTP029,233臺灣新北市烏來區烏來街26、28號,0226616198,65.0,2,4.1,734,2025-08-09,121.5513653,24.8637749,https://maps.google.com/?cid=347412847169218863,https://feicueigu.weebly.com/,ChIJHZGSJokGaDQRL6nt0SRC0gQ,2025/10/30 11:21:31
res0008,TONYX,OPERATIONAL,NTP029,233臺灣新北市烏來區瀑布路22號,,40.5,2,4.7,256,2025-10-06,121.550949,24.8478925,https://maps.google.com/?cid=8622521877217926346,,ChIJdbCMWgAHaDQRytybl_ZZqXc,2025/10/30 11:21:31
res0009,老街野菜屋,OPERATIONAL,NTP029,233臺灣新北市烏來區烏來街70號,0226616889,54.0,2,4.0,697,2025-09-29,121.5513929,24.8629335,https://maps.google.com/?cid=15374907067163416281,https://www.facebook.com/pages/category/Diner/%E8%80%81%E8%A1%97%E5%B1%B1%E6%B5%B7%E7%94%A2%E7%8F%BE%E7%82%92%E5%B0%8F%E5%90%83%E5%B1%8B-1867540956903621/,ChIJF5vWAokGaDQR2RbrkISkXtU,2025/10/30 11:21:31
res0010,Helen Coffee Mobile Espresso,OPERATIONAL,NTP029,23341臺灣新北市烏來區溫泉街,0226616392,83.0,2,4.2,245,2025-09-06,121.5509772,24.8617324,https://maps.google.com/?cid=9001140119763521489,,ChIJz41IR4gGaDQR0Y8FtD956nw,2025/10/30 11:21:31
