id,name,buss_status,loc_id,address,phone,op_hours,category_id,rating,rating_total,newest_review,longitude,latitude,map_url,website,place_id,update_time
supl0001,哈哈窩寵物精品館(新北三峽店),OPERATIONAL,NTP009,237臺灣新北市三峽區文化路66號,0226742799,84.0,5,4.3,101.0,2025-07-22,121.3723806,24.9362152,https://maps.google.com/?cid=16502815234519480600,https://www.facebook.com/%E5%93%88%E5%93%88%E7%AA%A9%E5%AF%B5%E7%89%A9%E7%B2%BE%E5%93%81%E9%A4%A8-%E4%B8%89%E5%B3%BD%E5%BA%97-1136920036421284,ChIJbwWMy_MbaDQRGDlwJwXHBeU,2025/10/30 14:25:52
supl0002,毛毛寵星球,OPERATIONAL,NTP009,237臺灣新北市三峽區復興路69號,0286716819,56.0,5,5.0,23.0,2024-06-21,121.372778,24.937189,https://maps.google.com/?cid=8127601715545716113,https://shopee.tw/qpets_shop?categoryId=100631&itemId=19423548231,ChIJq_ycHgAbaDQRkTX1yrIKy3A,2025/10/30 14:25:52
supl0003,沐奇寵物百貨,OPERATIONAL,NTP009,237臺灣新北市三峽區復興路40號,0286762026,77.0,5,5.0,49.0,2024-11-11,121.3738228,24.9369643,https://maps.google.com/?cid=10319371403890290285,,ChIJqSEVLCkbaDQRbW40Ep7FNY8,2025/10/30 14:25:52
supl0004,鳥店 鳥園 波波鳥三峽老街鸚鵡服飾,OPERATIONAL,NTP009,237臺灣新北市三峽區民權街83號1樓之2,0970667903,35.0,5,4.4,92.0,2025-07-05,121.369575,24.932805,https://maps.google.com/?cid=4037424458776667868,,ChIJcXV_bvMbaDQR3GbbcCfQBzg,2025/10/30 14:25:52
supl0005,幸福狗窩,OPERATIONAL,NTP009,"No. 165, No. 165號國光街三峽區新北市臺灣 237",0226738299,52.5,5,3.8,19.0,2018-04-15,121.3715421,24.9394231,https://maps.google.com/?cid=7109624230124698862,,ChIJw74CZXUcaDQR7rwXo5F1qmI,2025/10/30 14:25:52
supl0006,Sanxia Aquarium Shop,OPERATIONAL,NTP009,237臺灣新北市三峽區文化路160號,0226712865,77.0,5,3.9,60.0,2023-08-30,121.3700384,24.9361904,https://maps.google.com/?cid=9231182819049507948,,ChIJ0ZXTmPEbaDQRbIwict2_G4A,2025/10/30 14:25:52
supl0007,妙比寵物美容,OPERATIONAL,NTP009,237臺灣新北市三峽區文化路20號2樓,0226738321,40.0,5,4.8,39.0,2020-11-09,121.3732994,24.9359078,https://maps.google.com/?cid=13996134824851865085,http://www.facebook.com/mubepet,ChIJzQCMsvMbaDQR_f3E73dCPMI,2025/10/30 14:25:52
supl0008,幻象水族生活館,OPERATIONAL,NTP009,"號 No. 120, 中正路一段三峽區新北市臺灣 237",0226723551,63.0,5,3.7,97.0,2022-01-29,121.3737195,24.9293663,https://maps.google.com/?cid=16478747870822074639,,ChIJ_YQaXOwbaDQRDwmTX-FFsOQ,2025/10/30 14:25:52
supl0009,Zoo Home,OPERATIONAL,NTP009,237007臺灣新北市三峽區中正路二段6號,0917935141,84.0,5,5.0,4.0,2025-04-26,121.3677973,24.9200849,https://maps.google.com/?cid=16948026682249128745,,ChIJB--KgD8baDQRKStNF3l8M-s,2025/10/30 14:25:52
supl0010,原華寵物百貨生活館,OPERATIONAL,NTP009,"1樓, No. 86號國際一街三峽區新北市臺灣 237",0226732688,42.0,5,4.7,98.0,2025-08-05,121.3711622,24.9415755,https://maps.google.com/?cid=1730329924827130606,,ChIJcXeDgPYbaDQR7qqMIeZdAxg,2025/10/30 14:25:52
