place_id,name_checked,address_checked,phone,city,district,business_status,opening_hours,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
ChIJ-0Cdf_YFbjQRbesCYU-Iuts,波可動物醫院,813台灣高雄市左營區自由四路367號,073495560,高雄市,左營區,OPERATIONAL,88.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,187.0,120.3168952,22.6857409,https://maps.google.com/?cid=15833117314485775213,https://pokeah.com/,2025-02-20
ChIJ-2Kwrd-pQjQRu2sDeVqfQwM,福林動物醫院,235台灣中和區中安街230號,0229218867,新北市,中和區,OPERATIONAL,72.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,254.0,121.5122454,24.99855,https://maps.google.com/?cid=235206816479538107,,2025-03-25
ChIJ-2YqfB53bjQRNORZW3b1Ix0,向芯動物醫院（心臟醫學及外科中心）,710台灣臺南市永康區復興路218號,063130119,臺南市,永康區,OPERATIONAL,54.0,"['doctor', 'establishment', 'health', 'point_of_interest', 'veterinary_care']",4.5,324.0,120.2441373,22.9987873,https://maps.google.com/?cid=2099791739972346932,https://www.believe-ah.com.tw/,2025-06-27
ChIJ-4EQmeGrQjQRXLlcJKPxhvY,路米動物醫院,104台灣臺北市中山區建國北路二段89號,0277565218,臺北市,中山區,OPERATIONAL,63.0,"['establishment', 'health', 'hospital', 'point_of_interest', 'veterinary_care']",4.1,251.0,121.5374082,25.0586021,https://maps.google.com/?cid=17764151463201519964,https://lumi.vet/,2025-04-08
ChIJ-52KrIZ7bjQRxNkeW90LKVU,佳幼動物醫院,741台灣臺南市善化區光復路128號,065817171,臺南市,善化區,OPERATIONAL,42.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.8,308.0,120.2913254,23.1282732,https://maps.google.com/?cid=6136449012613437892,https://www.facebook.com/Careyouranimalclinic/,2018-09-11
ChIJ-6412JY9aTQRLi4a6FbSCA0,劍橋動物醫院南屯總院,40848台灣臺中市南屯區大墩十三街6號,0423275346,臺中市,南屯區,OPERATIONAL,48.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,152.0,120.6493243,24.1517301,https://maps.google.com/?cid=939231793009798702,https://www.facebook.com/cambridgeah04/,2025-03-19
ChIJ-7BwXgIFbjQRf4q2xQ91GgY,馬汀動物醫院,813台灣高雄市左營區至聖路235號,075507327,高雄市,左營區,OPERATIONAL,54.0,"['establishment', 'pet_store', 'point_of_interest', 'store', 'veterinary_care']",4.6,254.0,120.3057358,22.6595329,https://maps.google.com/?cid=439792624224078463,,2024-01-26
ChIJ-8oLGbcjaDQRL9U9B2W2raA,佑安動物醫院,324台灣桃園市平鎮區民族路二段29號,034930603,桃園市,平鎮區,OPERATIONAL,52.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.1,172.0,121.207734,24.957217,https://maps.google.com/?cid=11578110762068858159,,2019-11-14
ChIJ-98ZC8M9aTQRGy_RQgklaOU,植仁動物醫院,408台灣臺中市南屯區三厝街180號,0423805811,臺中市,南屯區,OPERATIONAL,57.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,230.0,120.6349769,24.1474254,https://maps.google.com/?cid=16530503153969344283,https://www.facebook.com/amoagou23805811/,2024-05-17
ChIJ-Q-kKAADaDQR_yyf-8cFzpY,禾米動物醫院,236台灣新北市土城區金城路三段173號,0222611212,新北市,土城區,OPERATIONAL,52.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,26.0,121.4692813,24.9888926,https://maps.google.com/?cid=10866629307369729279,https://www.facebook.com/profile.php?id=100063943204628&mibextid=kFxxJD,2025-08-04
ChIJ-SQ6E9epQjQR9NE3HLP1Z98,蘆洲動物醫院,247台灣新北市蘆洲區中山二路8號1樓,0222859117,新北市,蘆洲區,OPERATIONAL,59.0,"['establishment', 'point_of_interest', 'veterinary_care']",3.8,66.0,121.4754681,25.081903,https://maps.google.com/?cid=16098105542680498676,,2024-04-19
ChIJ-SedXBoaaTQRpc5pjUs3TWs,聖欣動物醫院,"號 No, No. 183同安街豐原區臺中市台灣 420",0425285100,臺中市,豐原區,OPERATIONAL,68.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,69.0,120.7282706,24.2468455,https://maps.google.com/?cid=7731896932899606181,,2022-08-30
ChIJ-SsqaNYbbjQRqeEGCTp58lc,聯盟動物醫院(鳳屏院)(預約制) 鳳山大寮指定動物醫院 心臟內科 健檢 預防針 一般犬貓內外科,831台灣高雄市大寮區鳳屏一路35號,077021192,高雄市,大寮區,OPERATIONAL,38.5,"['establishment', 'health', 'pet_store', 'pharmacy', 'point_of_interest', 'store', 'veterinary_care']",4.4,195.0,120.3852837,22.6315617,https://maps.google.com/?cid=6337260915830219177,https://vet.pet100pa.com/,2024-03-18
ChIJ-UF56oA9aTQRE_kbvhms6eg,波波動物醫院,407台灣臺中市西屯區寧夏路85號,0423116910,臺中市,西屯區,OPERATIONAL,84.0,"['establishment', 'health', 'hospital', 'point_of_interest']",4.4,79.0,120.6617094,24.1659065,https://maps.google.com/?cid=16783134712936528147,https://www.facebook.com/PawPalAnimalHospitalTaichung/,2018-05-15
ChIJ-UVP786uQjQRAo3jQqVWGOs,昌展動物醫院,111台灣臺北市士林區延平北路六段160號,0228169197,臺北市,士林區,OPERATIONAL,57.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.2,65.0,121.5066197,25.0896214,https://maps.google.com/?cid=16940385266145922306,,2025-07-17
ChIJ-UchZNeFbjQRutCE_hCqvRA,寶成動物醫院,730台灣臺南市新營區三民路137號,066320525,台南市,新營區,OPERATIONAL,53.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.2,162.0,120.3083542,23.3048212,https://maps.google.com/?cid=1206307265171476666,,2025-07-19
ChIJ-VS_IpgEbjQRCVwx3f2e7tk,喬治亞動物醫院（週三固定公休。特休請以臉書公告為主喔）,802台灣高雄市苓雅區四維二路96-3號,077715270,高雄市,苓雅區,OPERATIONAL,51.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,110.0,120.319003,22.622466,https://maps.google.com/?cid=15703663763862412297,http://www.gerogiavet.com/,2025-05-28
ChIJ-W_p5UxqbjQRoa7hO7xO5Rw,旺旺動物醫院,842台灣高雄市旗山區延平一路351號,076611100,高雄市,旗山區,OPERATIONAL,70.0,"['establishment', 'pet_store', 'point_of_interest', 'store', 'veterinary_care']",3.8,224.0,120.4837113,22.8921433,https://maps.google.com/?cid=2082156973094186657,https://zh-tw.facebook.com/wangwanganimalhospital/,2025-07-31
ChIJ-YktOeWrQjQRpwdHURA7ORw,中山動物醫院,105台灣臺北市松山區民權東路三段140巷5號,0227196996,臺北市,松山區,OPERATIONAL,57.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,484.0,121.5467307,25.061338,https://maps.google.com/?cid=2033721648003614631,https://ch6996.com.tw/,2025-07-13
ChIJ-YnRDAAjaDQR5gfEd18NF5o,知心動物醫院 （需電話預約）,324台灣桃園市平鎮區中正五路156號,0981532228,桃園市,平鎮區,OPERATIONAL,30.0,"['establishment', 'point_of_interest', 'veterinary_care']",5.0,8.0,121.2554381,24.9294326,https://maps.google.com/?cid=11103358109987637222,,2025-06-11
ChIJ-ZPUEE2qQjQRu_UyP6yylLE,安興動物醫院,110台灣臺北市信義區吳興街478號,0287803433,臺北市,信義區,OPERATIONAL,41.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,174.0,121.5692688,25.0235691,https://maps.google.com/?cid=12796048894130845115,,2025-05-22
ChIJ-ZVm_wYFbjQRDM3GOD1Lqcg,百佑動物醫院,81359台灣高雄市左營區辛亥路203巷3號,075509785,高雄市,左營區,OPERATIONAL,0.0,"['establishment', 'point_of_interest', 'veterinary_care']",3.4,5.0,120.3096524,22.6651476,https://maps.google.com/?cid=14459170804967329036,,2021-02-11
ChIJ-Zy_RJoTaTQRd4vEzoUtF8A,聖愛動物醫院 大甲,437台灣臺中市大甲區五福街22號,0426886136,臺中市,大甲區,OPERATIONAL,62.0,"['establishment', 'point_of_interest', 'veterinary_care']",3.6,24.0,120.61974,24.346249,https://maps.google.com/?cid=13841582032469396343,,2023-12-12
ChIJ-_9Pjo8XaTQRXO4rBmQSKt0,聖安動物醫院,427台灣臺中市潭子區中山路一段17-5號,0425350238,臺中市,潭子區,OPERATIONAL,66.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,416.0,120.7023769,24.1899432,https://maps.google.com/?cid=15936570452213493340,,2025-06-06
ChIJ-aHHG-AEbjQRmy7TZ2uKJNg,鼎山動物醫院,807台灣高雄市三民區鼎山街466號,073831359,高雄市,三民區,OPERATIONAL,45.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,370.0,120.3194976,22.654669,https://maps.google.com/?cid=15574725605262044827,https://www.facebook.com/%E9%BC%8E%E5%B1%B1%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-100669550061652/,2025-04-29
