place_id,name_checked,address_checked,phone,city,district,business_status,opening_hours,types,rating,rating_total,longitude,latitude,map_url,website,newest_review,id
ChIJLzK-FVUZaDQRW8QUlDA5FHk,北大奇緣動物醫院,237台灣新北市三峽區民生街2-2號,0286726119,新北市,三峽區,OPERATIONAL,67.66666666666669,"['establishment', 'point_of_interest', 'veterinary_care']",4.5,266.0,121.3763989,24.9370374,https://maps.google.com/?cid=8724661258929095771,https://www.facebook.com/ntpuqiyuan,2025-02-02,hp0001
ChIJOw5cp_MbaDQRmQusXw5Sgv0,淯生動物醫院,237台灣新北市三峽區復興路36之1號,0226739191,新北市,三峽區,OPERATIONAL,48.0,"['establishment', 'health', 'hospital', 'point_of_interest']",4.1,67.0,121.3741657,24.9365222,https://maps.google.com/?cid=18267253260256283545,,2024-11-30,hp0002
ChIJV7AlIXUcaDQRHuk_fzRByC8,伯特利動物醫院,237台灣新北市三峽區學成路323號1樓,0286723030,新北市,三峽區,OPERATIONAL,54.5,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,164.0,121.3771077,24.9446483,https://maps.google.com/?cid=3443073608853743902,https://www.facebook.com/bethelvh/,2025-06-15,hp0003
ChIJsU-Mc6EbaDQRkkAt3aFypgs,濰邇動物醫院,237台灣新北市三峽區長泰街94號,0286719996,新北市,三峽區,OPERATIONAL,60.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,158.0,121.3761414,24.9333436,https://maps.google.com/?cid=839484420077207698,https://www.facebook.com/%E6%BF%B0%E9%82%87%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-101989275790516,2025-03-03,hp0004
ChIJv8fO6QscaDQRWFm0plE3brQ,小野菊動物醫院,237台灣新北市三峽區學府路32號,0226732730,新北市,三峽區,OPERATIONAL,51.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,170.0,121.3726101,24.9479399,https://maps.google.com/?cid=13001389998093916504,https://www.facebook.com/%E5%B0%8F%E9%87%8E%E8%8F%8A%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-1606540512942892/,2023-07-16,hp0005
ChIJwaz9JsMbaDQRopiqAUQfkTo,三峽奇緣動物醫院,237台灣新北市三峽區中園街126-23號,0226716119,新北市,三峽區,OPERATIONAL,59.00000000000001,"['establishment', 'pet_store', 'point_of_interest', 'store', 'veterinary_care']",4.2,188.0,121.3669461,24.9212299,https://maps.google.com/?cid=4220188702769060002,,2025-05-19,hp0006
ChIJ6aI9vqW2QjQRJdJHVuF8NQc,新北市三芝區橫山國民小學,25246台灣新北市三芝區橫山里86號,0226362473,新北市,三芝區,OPERATIONAL,0.0,"['establishment', 'point_of_interest', 'primary_school', 'school']",0.0,0.0,121.5299089,25.2586728,https://maps.google.com/?cid=519458639288193573,http://www.hses.ntpc.edu.tw/,,hp0007
ChIJ27InWPWpQjQRm5x-HuJ-olM,德欣(中西醫)動物醫院,241台灣新北市三重區信義街4號1 樓,0229738657,新北市,三重區,OPERATIONAL,65.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.7,182.0,121.4992304,25.0648534,https://maps.google.com/?cid=6026518761014467739,https://www.facebook.com/DeXinVeterinaryClinic/,2025-08-17,hp0008
ChIJ2cJZMCOpQjQR2rvUUPOqVAs,毛孩子動物醫院,241台灣新北市三重區福德北路71號,0229774887,新北市,三重區,OPERATIONAL,73.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.6,565.0,121.5020615,25.0657453,https://maps.google.com/?cid=816465394470796250,,2025-01-11,hp0009
ChIJ3-EmJNaoQjQR2HDWlfSoj4o,自強動物醫院,241台灣新北市三重區自強路四段79號,0289858011,新北市,三重區,OPERATIONAL,66.0,"['establishment', 'point_of_interest', 'veterinary_care']",4.4,41.0,121.49095,25.079009,https://maps.google.com/?cid=9984384667343024344,,2024-07-10,hp0010
