name,address,city,district,place_id
101台北貓醫院,臺北市中山區建國北路3段101號,臺北市,中山區,ChIJScJh3VepQjQRKVxXNc4py4g
一心獸醫院,臺中市北區錦華街56號,臺中市,北區,ChIJU1s0U2c9aTQRwsIjkxT240o
一嘉動物醫院,高雄市苓雅區興中一路383號,高雄市,苓雅區,ChIJ64N-ioIEbjQRnt-Lag40nGU
乙泰動物醫院,臺中市太平區旱溪東路一段600號,臺中市,太平區,ChIJq9dPxe0XaTQR4qfvKOaiVXE
九個果子動物醫院,臺南市安南區國安街229號,臺南市,安南區,ChIJ51PIwI53bjQRnsMlDjcphcs
二人三毛動物醫院,臺南市安南區海佃路一段213巷26號,臺南市,安南區,ChIJNSPAiRJ3bjQRj9iphhvm7jE
人人動物醫院,臺中市西區公正路146號,臺中市,西區,ChIJK_6B2Z49aTQRQDHj8n1pg9M
人人動物醫院,高雄市大寮區鳳林三路827號,高雄市,大寮區,ChIJDyeD-p0bbjQRWOSLl-EmnXI
人人動物醫院,桃園市龍潭區北龍路122號,桃園市,龍潭區,ChIJVwkN_uI8aDQRsbBO_6P3Iks
人人動物醫院八德介壽院,桃園市八德區介壽路二段296號,桃園市,八德區,ChIJYXczOywfaDQRAl-BQfr2uH4
人人動物醫院大園分院,桃園市大園區華興路21號1樓,桃園市,大園區,ChIJbfWimpAhaDQRuxdcOazk1vk
人人動物醫院平鎮分院,桃園市平鎮區金陵路二段298號,桃園市,平鎮區,ChIJcad_XUUiaDQR5PQ__lopY4Q
人人動物醫院埔心分院,桃園市楊梅區永美路274號,桃園市,楊梅區,ChIJjd77B5MjaDQR5VZqHjCjZ94
人愛動物醫院,臺中市太平區中山路四段223號,臺中市,太平區,ChIJl4Vg_U89aTQRdK54MSPw0oc
人愛動物醫院,高雄市新興區六合一路28、30號,高雄市,新興區,ChIJ29J_VpIEbjQRcribd3bghOs
力晨動物醫院,臺南市東區裕忠路27號,臺南市,東區,ChIJ9eUT8sB2bjQRXvFw4fJbodE
十銓動物醫院,高雄市楠梓區右昌街787號,高雄市,楠梓區,ChIJAaK9VfYEbjQRFi-YMTAOo5s
三三動物診所,臺中市梧棲區大庄里民和路一段46號,臺中市,梧棲區,ChIJ1wyU2cIUaTQRV5nwNOPwkmI
三多花花動物醫院,高雄市前鎮區三多二路477號,高雄市,前鎮區,ChIJG-LWk0oFbjQRovlNm80Exlk
三和台大動物醫院,高雄市苓雅區光華一路23號,高雄市,苓雅區,ChIJ1SHuJpkEbjQROenIVz7UEDU
三峽奇緣動物醫院,新北市三峽區中園街126之23號1樓及126之22號1樓,新北市,三峽區,ChIJwaz9JsMbaDQRopiqAUQfkTo
三逢家畜醫院,台南市白河區蓮潭里北埔五十號,台南市,白河區,ChIJ2b3SxKCRbjQRTaNEp4KvxBo
上和動物醫院,新北市永和區福和路75號,新北市,永和區,ChIJ3b289-6pQjQRbAiSrbRQuWM
上弦動物醫院,新北市林口區忠福路129號,新北市,林口區,ChIJb6aXDcynQjQRDGcy7FkmgDg
上品動物醫院,新北市中和區中山路2段167號,新北市,中和區,ChIJxYZBFdepQjQRj4VecrElswc
上哲動物醫院,新北市淡水區中正東路1段3巷2號,新北市,淡水區,ChIJ9ZHATfavQjQR9VqrpVpt_ac
上博動物醫院,台南市新化區建國街7號,台南市,新化區,ChIJNdnem3BwbjQR5r_g247w4Qs
上揚動物醫院,高雄市苓雅區林森二路7之2號,高雄市,苓雅區,ChIJR8jtxoIEbjQRYWS73Mz0S6I
上群動物醫院,臺南市東區東寧路318號,臺南市,東區,ChIJrV5gEJZ2bjQRYcTUXSF8k_c
上群動物醫院,臺北市大安區延吉街72之20號,臺北市,大安區,ChIJk07hgcarQjQRN_IuIK75Hq4
上群動物醫院,臺中市北區健行路76號,臺中市,北區,ChIJzxht1l89aTQR0VHAOwhgeEg
凡賽爾動物醫院,高雄市鳳山區五甲二路399號,高雄市,鳳山區,ChIJSfAILk4DbjQR56tqQBdOuyg
凡賽爾賽鴿動物醫院,臺中市西屯區重慶路8號,臺中市,西屯區,ChIJ32v9now9aTQR2cq-cEdUJxM
凡賽爾賽鴿寵物鳥醫院,臺北市大同區民族西路53號1樓,臺北市,大同區,ChIJrQ_lHEapQjQR2_o6C59frVM
士林獸醫院,臺北市士林區中正路379號1樓,臺北市,士林區,ChIJK_3cjbuuQjQReqRSk5ei5-g
大毛小毛動物醫院,高雄市三民區文濱路62號,高雄市,三民區,ChIJqaKswi0bbjQRywszDj636aI
大台北動物醫院,桃園市桃園區永安路854號,桃園市,桃園區,ChIJe4KNJKcfaDQRWKmbh4mNK7Y
大生動物醫院,臺中市大里區新興路137號,臺中市,大里區,ChIJfRcp9fI8aTQRKfQT2CwS6Jc
大禾動物醫院,桃園市桃園區建國路218號1樓,桃園市,桃園區,ChIJE2aUBh4faDQRbiUHVgrLQ3c
