id,place_id,name_checked,address_checked,phone,city,district,loc_id,business_status,opening_hours,cat_id,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
ht0001,ChIJQ90SF30baDQRDhhCkm5QzU0,合歡寵物旅館,23743台灣新北市三峽區溪東路233巷45弄28號,0987846016,新北市,三峽區,NTP009,OPERATIONAL,56.0,3,"['establishment', 'point_of_interest']",4.6,59.0,121.4095016,24.9340679,https://maps.google.com/?cid=5606225546976565262,http://www.dogshotel.tw/,2023-02-11
ht0002,ChIJeza4mE4baDQR9LIJr9aE2DU,浪花寵藝寵物美容．用品．住宿,237台灣新北市三峽區長泰街48號一樓,0929387655,新北市,三峽區,NTP009,OPERATIONAL,45.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.9,64.0,121.3780336,24.9325234,https://maps.google.com/?cid=3879997136574198516,https://instagram.com/groomer.mei?igshid=MWI4MTIyMDE=,2023-08-14
ht0003,ChIJjTvRsfUbaDQRMSHrqLYJ6p0,台北寵物美容 寵物美容教學 台北寵物美容教學,237台灣新北市三峽區國學街1號,0956000075,新北市,三峽區,NTP009,OPERATIONAL,63.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.2,124.0,121.3734075,24.9415987,https://maps.google.com/?cid=11378918088627659057,http://www.amopetgrooming.com/,2025-04-13
ht0004,ChIJq3Z55wocaDQR-yPh-1hGUas,啵靚寵物公園,237台灣新北市三峽區大德路157號,0226740190,新北市,三峽區,NTP009,OPERATIONAL,39.0,3,"['establishment', 'point_of_interest']",5.0,5.0,121.37555,24.9453101,https://maps.google.com/?cid=12344725401596142587,https://www.facebook.com/%E5%95%B5%E9%9D%9A%E5%AF%B5%E7%89%A9%E5%85%AC%E5%9C%92-172469309526637/,2021-08-23
ht0005,ChIJixNFP5uxQjQRXtiDKVDY_e4,Mini Boarding House 寵物旅館-[為維持服務品質，本館採全面預約制，不接受當日預約，參觀亦需提前預約],252台灣新北市三芝區號,0989187961,新北市,三芝區,NTP021,OPERATIONAL,70.0,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.9,341.0,121.4604782,25.2471724,https://maps.google.com/?cid=17221158388940134494,https://miniboardinghouse.com/,2025-07-31
ht0006,ChIJyYK5LtK2QjQRSFxP28bkCX8,天麗寵物坊,252台灣新北市三芝區中山路一段88巷11號,0226369269,新北市,三芝區,NTP021,OPERATIONAL,65.0,3,"['establishment', 'point_of_interest', 'store']",4.8,40.0,121.5026732,25.2566458,https://maps.google.com/?cid=9154099260341312584,https://www.facebook.com/TianLi26369269,2025-03-09
ht0007,ChIJ06tbpSupQjQRYW_icxgn5pU,寵兒貝特,241台灣新北市三重区自强路五段67號1樓,0289825058,新北市,三重區,NTP002,OPERATIONAL,51.0,3,"['establishment', 'point_of_interest']",4.9,59.0,121.4949135,25.0818598,https://maps.google.com/?cid=10801363742271631201,https://instagram.com/love_better_67?utm_medium=copy_link,2025-02-09
ht0008,ChIJ5bp-PTepQjQRkJ5ZTVJ_vTU,鑫願貓舍預約制/英短/美短/曼赤肯,241台灣新北市三重區忠孝路三段40巷6之6號,0938599463,新北市,三重區,NTP002,OPERATIONAL,32.5,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.8,83.0,121.4818064,25.0668696,https://maps.google.com/?cid=3872391246070259344,https://yuwishcat.com/,2025-06-07
ht0009,ChIJ7dVZ0x2pQjQR-FCPM7NozdM,欣愛寵物,241台灣新北市三重區中正南路81號,0229778500,新北市,三重區,NTP002,OPERATIONAL,80.5,3,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.8,246.0,121.4942344,25.0585491,https://maps.google.com/?cid=15261969831101944056,,2025-08-18
ht0010,ChIJAbuX9yqvQjQRBza98yi4YnA,洛芙寵物旅館 Loft Dog Hotel,241台灣新北市三重區吉祥街6號,0228577276,新北市,三重區,NTP002,OPERATIONAL,84.0,3,"['establishment', 'point_of_interest']",4.5,89.0,121.4891836,25.0890122,https://maps.google.com/?cid=8098237565993039367,https://m.facebook.com/loftdoghotel/,2018-07-17
