name_filtered,address_filtered,city,district,place_id,name_checked,business_status,address_checked,phone,opening_hours,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
喵屋日和商行,新北市板橋區合宜路13號1樓,新北市,板橋區,ChIJ-1CF0w4daDQRRcdlKCG0yes,喵屋喵wu,OPERATIONAL,220台灣新北市板橋區合宜一路27號,0922228719,"['星期一: 11:00 – 19:30', '星期二: 11:00 – 19:30', '星期三: 11:00 – 19:30', '星期四: 11:00 – 19:30', '星期五: 11:00 – 19:30', '星期六: 休息', '星期日: 休息']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.9,36.0,121.4435031,24.9966273,https://maps.google.com/?cid=16990309123736586053,https://www.instagram.com/miuwumiuwu2020?igsh=ZmtvM3BqeTNibnhk,2025-08-29
心花朵朵開實業社,臺南市東區小東路364號1樓,臺南市,東區,ChIJ-2CGR413bjQRtSti57eyD0A,小花朵寵物美容旅館《推薦寵物美容店》台南寵物皮膚調理｜住宿安親｜寄宿服務 ｜沐浴SPA｜專業貓咪洗澡｜耳道護理,OPERATIONAL,701台灣臺南市東區小東路364號,0968985129,"['星期一: 休息', '星期二: 10:30 – 19:30', '星期三: 10:30 – 19:30', '星期四: 10:30 – 19:30', '星期五: 10:30 – 19:30', '星期六: 10:30 – 19:30', '星期日: 10:30 – 19:30']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.6,48.0,120.2337842,22.9983407,https://maps.google.com/?cid=4616104646008777653,https://www.facebook.com/ooxx9898new2.0,2024-01-18
雅雅愛犬專業用品店,臺北市內湖區臺北市內湖區環山路一段63號1樓,臺北市,內湖區,ChIJ-4q1aW-sQjQRIvwTiOkA-ho,雅雅愛犬專業美容,OPERATIONAL,114台灣臺北市內湖區環山路一段63號,0227986018,"['星期一: 休息', '星期二: 10:00 – 19:00', '星期三: 10:00 – 19:00', '星期四: 10:00 – 19:00', '星期五: 10:00 – 19:00', '星期六: 10:00 – 19:00', '星期日: 休息']","['establishment', 'point_of_interest']",4.8,41.0,121.5682182,25.0863019,https://maps.google.com/?cid=1943867192174181410,,2023-05-31
卡地亞犬坊,臺中市東區和平街259號1樓、地下1樓,臺中市,東區,ChIJ-5pqWYI9aTQRV4cgWYhIMJI,卡地亞犬舍,OPERATIONAL,401台灣臺中市東區和平街259号號,0933402020,,"['establishment', 'pet_store', 'point_of_interest', 'store']",3.7,3.0,120.6895961,24.1358667,https://maps.google.com/?cid=10533999278867646295,http://www.cartier-kennel.com/,2020-01-21
貓阿舍寵物旅館,高雄市三民區嫩江街129巷4號1、2樓,高雄市,三民區,ChIJ-6-t6kEFbjQRvxbTFcaRkaw,貓阿舍精品貓旅館,OPERATIONAL,807台灣高雄市三民區嫩江街129巷4號,0928409122,"['星期一: 13:00 – 19:00', '星期二: 13:00 – 19:00', '星期三: 13:00 – 19:00', '星期四: 13:00 – 19:00', '星期五: 13:00 – 19:00', '星期六: 09:00 – 18:00', '星期日: 09:00 – 18:00']","['establishment', 'point_of_interest']",5.0,6.0,120.298294,22.644752,https://maps.google.com/?cid=12434880326102357695,,2025-06-09
喵喵屋,臺北市松山區八德路四段618號3樓,臺北市,松山區,ChIJ-7-Nm5mrQjQRQ_4FufBw_Ak,喵喵屋貓咪旅館,OPERATIONAL,"3樓, No. 618號八德路四段松山區臺北市台灣 105",0227636300,"['星期一: 12:00 – 20:00', '星期二: 12:00 – 20:00', '星期三: 12:00 – 20:00', '星期四: 12:00 – 20:00', '星期五: 12:00 – 20:00', '星期六: 12:00 – 20:00', '星期日: 12:00 – 20:00']","['establishment', 'point_of_interest']",4.7,145.0,121.573708,25.049785,https://maps.google.com/?cid=719574219671076419,https://www.facebook.com/miauwoo,2024-12-21
北鼻精品生活館,新北市林口區中山路65號,新北市,林口區,ChIJ-QGduPCmQjQRvEvxYdFq0bw,北鼻寵物精品美容,OPERATIONAL,244台灣新北市林口區中山路65號,0226028655,"['星期一: 10:00 – 19:00', '星期二: 10:00 – 19:00', '星期三: 休息', '星期四: 10:00 – 19:00', '星期五: 10:00 – 19:00', '星期六: 10:00 – 19:00', '星期日: 10:00 – 19:00']","['establishment', 'point_of_interest', 'store']",4.7,31.0,121.3937809,25.0784066,https://maps.google.com/?cid=13605773396786891708,,2020-07-23
汪堡股份有限公司,臺北市中山區敬業一路46號1樓,臺北市,中山區,ChIJ-QHLmSitQjQRrt2Pi8-ZqP8,汪堡-大直店,OPERATIONAL,104台灣臺北市中山區敬業一路46號,0285012134,"['星期一: 09:00 – 20:00', '星期二: 09:00 – 20:00', '星期三: 09:00 – 20:00', '星期四: 09:00 – 20:00', '星期五: 09:00 – 20:00', '星期六: 09:00 – 20:00', '星期日: 09:00 – 20:00']","['establishment', 'point_of_interest']",4.8,161.0,121.5529015,25.0813769,https://maps.google.com/?cid=18422143392437755310,https://www.facebook.com/%E6%B1%AA%E5%A0%A1-103172424401235,2023-03-01
旺憂有限公司,臺中市南屯區東興路二段265號,臺中市,南屯區,ChIJ-QnIBzk9aTQRDwY5Szsl6ko,旺憂寵物(東興館) — 寵物用品｜寵物美容｜寵物住宿(24小時保母)｜寵物安親,OPERATIONAL,408台灣臺中市南屯區東興路二段265號,0424735678,"['星期一: 10:00 – 20:00', '星期二: 10:00 – 20:00', '星期三: 10:00 – 20:00', '星期四: 10:00 – 20:00', '星期五: 10:00 – 20:00', '星期六: 10:00 – 20:00', '星期日: 10:00 – 20:00']","['establishment', 'pet_store', 'point_of_interest', 'store', 'veterinary_care']",5.0,936.0,120.652805,24.143398,https://maps.google.com/?cid=5398168039952287247,https://lin.ee/Wij3Flb,2025-06-04
蝴蝶蘭犬舍,臺中市中區光復路10號1樓,臺中市,中區,ChIJ-S5c0BQ9aTQRQUwr8zG1rsI,蝴蝶蘭犬舍,OPERATIONAL,400台灣中區光復路10號,0422263451,,"['establishment', 'point_of_interest']",3.9,8.0,120.6854622,24.140229,https://maps.google.com/?cid=14028349115443399745,,2021-09-07
