id,name,buss_status,address,phone,op_hours,category_id,rating,rating_total,opening_hours,longitude,latitude,map_url,website,place_id,update_time
sh0001,屏東縣動物之家,OPERATIONAL,屏東縣麟洛鄉信義路101號,08-7221090,21.0,6,4.3,94,星期一: 休息; 星期二: 13:30 – 17:00; 星期三: 13:30 – 17:00; 星期四: 13:30 – 17:00; 星期五: 13:30 – 17:00; 星期六: 13:30 – 17:00; 星期日: 13:30 – 17:00,120.5493455,22.6562422,https://maps.google.com/?cid=17752804575629925197,https://www.facebook.com/adoptmeloveme?mibextid=LQQJ4d,ChIJHYP15f89bjQRTdtZAbShXvY,2025-11-10 13:41:48
sh0002,彰化縣流浪狗中途之家,OPERATIONAL,彰化縣員林市大峰里阿寶巷426號,(04)8590638,20.0,6,4.1,366,"星期一: 10:00 – 12:00, 14:00 – 16:00; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 休息; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 休息",120.6197311,23.9692434,https://maps.google.com/?cid=7216655265600927386,https://www.facebook.com/DogcatFan?mibextid=ZbWKwL,ChIJ1fBoINcwaTQRmnaYhLq1JmQ,2025-11-10 13:41:48
sh0003,澎湖縣流浪動物收容中心,OPERATIONAL,澎湖縣馬公市烏崁里260號、261號,06-9213559,20.0,6,5.0,2,"星期一: 休息; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 休息",119.627272,23.5521423,https://maps.google.com/?cid=5972264390342247174,https://www.facebook.com/groups/812670045429466,ChIJpwcESgBFbDQRBoMQE9K-4VI,2025-11-10 13:41:48
sh0004,金門縣動物收容中心,OPERATIONAL,金門縣金湖鎮裕民農莊20號,082-336625,40.0,6,4.1,15,"星期一: 08:00 – 12:00, 13:30 – 17:30; 星期二: 08:00 – 12:00, 13:30 – 17:30; 星期三: 08:00 – 12:00, 13:30 – 17:30; 星期四: 08:00 – 12:00, 13:30 – 17:30; 星期五: 08:00 – 12:00, 13:30 – 17:30; 星期六: 休息; 星期日: 休息",118.4448344,24.4441233,https://maps.google.com/?cid=12815325497013333685,https://aphin.kinmen.gov.tw/,ChIJxW8URh-lFDQRtW58GqQu2bE,2025-11-10 13:41:48
sh0005,連江縣流浪犬收容中心,OPERATIONAL,連江縣馬祖南竿鄉復興村223號,0836-25003,45.0,6,5.0,1,星期一: 08:00 – 17:00; 星期二: 08:00 – 17:00; 星期三: 08:00 – 17:00; 星期四: 08:00 – 17:00; 星期五: 08:00 – 17:00; 星期六: 休息; 星期日: 休息,119.9604237,26.1662647,https://maps.google.com/?cid=8107271658128917247,http://www.matsu.gov.tw/,ChIJQ8H7jWJwQTQR_8JdcJ7QgnA,2025-11-10 13:41:48
sh0006,屏東縣公立犬貓中途之家,OPERATIONAL,屏東縣內埔鄉學府路1號,0900-493-311,40.0,6,4.7,189,"星期一: 休息; 星期二: 08:00 – 12:00, 13:30 – 17:30; 星期三: 08:00 – 12:00, 13:30 – 17:30; 星期四: 休息; 星期五: 08:00 – 12:00, 13:30 – 17:30; 星期六: 08:00 – 12:00, 13:30 – 17:30; 星期日: 08:00 – 12:00, 13:30 – 17:30",120.6043547,22.6502729,https://maps.google.com/?cid=7467965909263105304,https://ptrc.npust.edu.tw/,ChIJzyNT_a08bjQRGL1acG2Lo2c,2025-11-10 13:41:48
sh0007,高雄市燕巢動物保護關愛園區,OPERATIONAL,高雄市燕巢區師大路98號,07-6051002,36.0,6,4.4,352,"星期一: 休息; 星期二: 09:30 – 12:00, 13:30 – 17:00; 星期三: 09:30 – 12:00, 13:30 – 17:00; 星期四: 09:30 – 12:00, 13:30 – 17:00; 星期五: 09:30 – 12:00, 13:30 – 17:00; 星期六: 09:30 – 12:00, 13:30 – 17:00; 星期日: 09:30 – 12:00, 13:30 – 17:00",120.4046631,22.7926808,https://maps.google.com/?cid=16387471073280993827,https://livestock.kcg.gov.tw/Pets/DongwuShourong/YuanquJieshao/YuanquJieshao02.htm,ChIJRyTpfLkTbjQRIyrn2R3-a-M,2025-11-10 13:41:48
sh0008,高雄市壽山動物保護教育園區,OPERATIONAL,高雄市鼓山區萬壽路350號,07-5519059,36.0,6,3.5,324,"星期一: 休息; 星期二: 09:30 – 12:00, 13:30 – 17:00; 星期三: 09:30 – 12:00, 13:30 – 17:00; 星期四: 09:30 – 12:00, 13:30 – 17:00; 星期五: 09:30 – 12:00, 13:30 – 17:00; 星期六: 09:30 – 12:00, 13:30 – 17:00; 星期日: 09:30 – 12:00, 13:30 – 17:00",120.2779954,22.6370301,https://maps.google.com/?cid=11302350210491325426,https://livestock.kcg.gov.tw/Pets/DongwuShourong/YuanquJieshao/YuanquJieshao01.htm,ChIJe6qQiGsEbjQR8ptlT6ID2pw,2025-11-10 13:41:48
sh0009,臺南市動物之家善化站,OPERATIONAL,臺南市善化區東昌里東勢寮1~19號,06-5832399,30.0,6,4.3,392,"星期一: 休息; 星期二: 09:00 – 12:00, 13:30 – 16:30; 星期三: 09:00 – 12:00, 13:30 – 16:30; 星期四: 09:00 – 12:00, 13:30 – 16:30; 星期五: 09:00 – 12:00, 13:30 – 16:30; 星期六: 09:00 – 12:00, 13:30 – 16:30; 星期日: 休息",120.33165,23.1487421,https://maps.google.com/?cid=7666766334518978926,https://ahipo.tainan.gov.tw/,ChIJAYGv1Md8bjQRbmntaFzTZWo,2025-11-10 13:41:48
sh0010,臺南市動物之家灣裡站,OPERATIONAL,臺南市南區省躬里14鄰萬年路580巷92號,06-2964439,30.0,6,4.3,503,"星期一: 休息; 星期二: 09:00 – 12:00, 13:30 – 16:30; 星期三: 09:00 – 12:00, 13:30 – 16:30; 星期四: 09:00 – 12:00, 13:30 – 16:30; 星期五: 09:00 – 12:00, 13:30 – 16:30; 星期六: 09:00 – 12:00, 13:30 – 16:30; 星期日: 休息",120.1942454,22.9367158,https://maps.google.com/?cid=18019227791402857973,https://www.facebook.com/wanlidogsandcats/,ChIJfTmyzwd1bjQR9fVp0TQoEfo,2025-11-10 13:41:48
sh0011,嘉義縣流浪犬中途之家,OPERATIONAL,嘉義縣大林鎮中坑里中興2-6號,05-2950053 / 05-3620025,22.5,6,4.3,61,"星期一: 休息; 星期二: 09:00 – 11:30, 13:30 – 16:00; 星期三: 09:00 – 11:30, 13:30 – 16:00; 星期四: 09:00 – 11:30, 13:30 – 16:00; 星期五: 09:00 – 11:30, 13:30 – 16:00; 星期六: 09:00 – 11:30; 星期日: 休息",120.5054743,23.5475468,https://maps.google.com/?cid=2376781233684165717,https://www.facebook.com/profile.php?id=100069398850774,ChIJP-wPWpi_bjQRVTSPdvAF_CA,2025-11-10 13:41:48
sh0012,嘉義市動物保護教育園區,OPERATIONAL,嘉義市彌陀路31號旁,05-2168661,20.0,6,4.1,190,"星期一: 休息; 星期二: 10:30 – 12:00, 14:00 – 16:30; 星期三: 10:30 – 12:00, 14:00 – 16:30; 星期四: 10:30 – 12:00, 14:00 – 16:30; 星期五: 10:30 – 12:00, 14:00 – 16:30; 星期六: 10:30 – 12:00, 14:00 – 16:30; 星期日: 休息",120.4687944,23.4643138,https://maps.google.com/?cid=5031121086817813415,https://ccap.chiayi.gov.tw/,ChIJlegFfESUbjQRp8PA8fgh0kU,2025-11-10 13:41:48
sh0013,臺東縣動物收容中心,OPERATIONAL,臺東縣臺東市中華路4段999巷600號,089-362011,24.0,6,4.4,128,"星期一: 09:30 – 11:30, 14:30 – 16:30; 星期二: 09:30 – 11:30, 14:30 – 16:30; 星期三: 09:30 – 11:30, 14:30 – 16:30; 星期四: 09:30 – 11:30, 14:30 – 16:30; 星期五: 09:30 – 11:30, 14:30 – 16:30; 星期六: 09:30 – 11:30, 14:30 – 16:30; 星期日: 休息",121.1009613,22.7195877,https://maps.google.com/?cid=5155468840685238956,https://langlanglove.com/shelters/animals?unit_id=29,ChIJWaBxyBS4bzQRrHqjg5jni0c,2025-11-10 13:41:48
sh0014,花蓮縣狗貓躍動園區,OPERATIONAL,花蓮縣花蓮市鳳林鎮林榮里永豐路255號,(03)8421452,20.0,6,4.5,106,"星期一: 休息; 星期二: 10:00 – 12:00, 14:00 – 16:00; 星期三: 10:00 – 12:00, 14:00 – 16:00; 星期四: 10:00 – 12:00, 14:00 – 16:00; 星期五: 10:00 – 12:00, 14:00 – 16:00; 星期六: 10:00 – 12:00, 14:00 – 16:00; 星期日: 休息",121.4981094,23.8059258,https://maps.google.com/?cid=17584354640272796549,https://acdc.hl.gov.tw/cp.aspx?n=27059,ChIJ7_ci9kWgaDQRhavzIWEtCPQ,2025-11-10 13:41:48
sh0015,宜蘭縣流浪動物中途之家,OPERATIONAL,宜蘭縣五結鄉成興村利寶路60號,03-9602350 分機620,25.0,6,4.2,127,"星期一: 10:00 – 12:00, 13:00 – 16:00; 星期二: 10:00 – 12:00, 13:00 – 16:00; 星期三: 10:00 – 12:00, 13:00 – 16:00; 星期四: 10:00 – 12:00, 13:00 – 16:00; 星期五: 10:00 – 12:00, 13:00 – 16:00; 星期六: 休息; 星期日: 休息",121.8316103,24.6671403,https://maps.google.com/?cid=10889417007622301473,,ChIJL2Si0UrvZzQRIads5hL7Hpc,2025-11-10 13:41:48
sh0016,公立南投動物收容所,OPERATIONAL,南投縣南投市嶺興路36-1號,049-2225440,25.0,6,4.2,53,"星期一: 休息; 星期二: 09:00 – 11:30, 13:30 – 16:00; 星期三: 09:00 – 11:30, 13:30 – 16:00; 星期四: 09:00 – 11:30, 13:30 – 16:00; 星期五: 09:00 – 11:30, 13:30 – 16:00; 星期六: 09:00 – 11:30, 13:30 – 16:00; 星期日: 休息",120.6698884,23.9059425,https://maps.google.com/?cid=1299086245536294267,,ChIJpRVBSioyaTQRe2XJtQ5IBxI,2025-11-10 13:41:48
