name,license,license_date,vet,tel,address,service
101台北貓醫院,開業執照：北市獸業字第527號,發照日期：2017-07-10,負責獸醫師(佐)：曾琪鈞,聯絡電話：02-25091101,地     址：臺北市中山區建國北路3段101號,營業項目：動物診療
一心獸醫院,開業執照：中市獸醫開字第105131號,發照日期：2017-04-12,負責獸醫師(佐)：傅宗楫,聯絡電話：04-22351677,地     址：臺中市北區錦華街56號,營業項目：動物內、外科、皮膚科、眼科…等一般診療
一嘉動物醫院,開業執照：高市獸師開字第305號,發照日期：2015-03-31,負責獸醫師(佐)：莊嘉泰,聯絡電話：07-3318123,地     址：高雄市苓雅區興中一路383號,營業項目：一般外科、內科、洗牙、住院、急傷急診
乙泰動物醫院,開業執照：中市獸醫開字第112002號,發照日期：2023-02-16,負責獸醫師(佐)：邱泰舜,聯絡電話：04-23980502,地     址：臺中市太平區旱溪東路一段600號,營業項目：小動物內科診療
七堵動物醫院,開業執照：基市獸開字第5號,發照日期：1998-09-16,負責獸醫師(佐)：張嘉晉,聯絡電話：02-24565942,地     址：基隆巿七堵區明德一路125號,營業項目：一般內外科、皮膚科、產科
九大動物醫院,開業執照：府建農字第38號,發照日期：1996-07-26,負責獸醫師(佐)：徐存宏,聯絡電話：05-2291608,地     址：嘉義市體育路67-1號,營業項目：小動物內外科
九如動物醫院,開業執照：屏獸開字第93號,發照日期：2011-10-27,負責獸醫師(佐)：黃文堂,聯絡電話：0963413101,地     址：屏東縣九如鄉五權路101號,"營業項目：犬貓疾病診療,保健咨詢"
九個果子動物醫院,開業執照：南市獸開字第227號,發照日期：2025-10-17,負責獸醫師(佐)：林家榮,聯絡電話：0919082014,地     址：臺南市安南區國安街229號,營業項目：動物診療、動物住院、內科、外科
二人三毛動物醫院,開業執照：南市獸開字第199號,發照日期：2022-05-10,負責獸醫師(佐)：陳禹碩,聯絡電話：06-2508282,地     址：臺南市安南區海佃路一段213巷26號,營業項目：內科、外科、產科、皮膚科
人人動物醫院,開業執照：中市獸醫開字第105154號,發照日期：2017-05-23,負責獸醫師(佐)：謝明偉,聯絡電話：04-23028848,地     址：臺中市西區公正路146號,營業項目：家畜內外產科
