AreaID,AreaName,fld01,fld02,fld03,fld05,fld06,fld04,fld08,fld07,fld10,animal,date,city,update_date
207,207萬里區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
208,208金山區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
220,220板橋區,7,7,0,15,8,1,0,0,0,0,2025-11-03,A,2025/11/08
221,221汐止區,0,2,0,3,1,1,0,0,0,0,2025-11-03,A,2025/11/08
222,222深坑區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
223,223石碇區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
224,224瑞芳區,1,1,0,0,0,1,0,0,0,0,2025-11-03,A,2025/11/08
226,226平溪區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
227,227雙溪區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
228,228貢寮區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
231,231新店區,1,3,0,7,8,2,0,0,0,0,2025-11-03,A,2025/11/08
232,232坪林區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
233,233烏來區,0,0,0,1,0,0,0,0,0,0,2025-11-03,A,2025/11/08
234,234永和區,3,2,0,4,2,0,0,0,0,0,2025-11-03,A,2025/11/08
235,235中和區,1,11,0,25,3,1,0,0,0,0,2025-11-03,A,2025/11/08
236,236土城區,0,1,0,6,4,1,0,0,0,0,2025-11-03,A,2025/11/08
237,237三峽區,0,1,0,2,2,0,0,0,0,0,2025-11-03,A,2025/11/08
238,238樹林區,0,3,0,2,0,1,0,0,0,0,2025-11-03,A,2025/11/08
239,239鶯歌區,0,4,0,4,2,0,0,0,0,0,2025-11-03,A,2025/11/08
241,241三重區,1,1,0,5,2,0,0,0,0,0,2025-11-03,A,2025/11/08
242,242新莊區,0,11,0,21,3,2,0,0,0,0,2025-11-03,A,2025/11/08
243,243泰山區,0,4,0,3,0,0,0,0,0,0,2025-11-03,A,2025/11/08
244,244林口區,0,2,0,2,2,1,0,0,0,0,2025-11-03,A,2025/11/08
247,247蘆洲區,1,3,0,2,8,0,0,0,0,0,2025-11-03,A,2025/11/08
248,248五股區,0,0,0,0,2,0,0,0,0,0,2025-11-03,A,2025/11/08
249,249八里區,1,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
251,251淡水區,1,2,0,3,4,1,0,0,0,0,2025-11-03,A,2025/11/08
252,252三芝區,0,0,0,1,0,0,0,0,0,0,2025-11-03,A,2025/11/08
253,253石門區,0,0,0,0,0,0,0,0,0,0,2025-11-03,A,2025/11/08
207,207萬里區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
208,208金山區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
220,220板橋區,8,8,0,42,28,6,0,0,0,1,2025-11-03,A,2025/11/08
221,221汐止區,2,2,0,5,3,1,0,0,0,1,2025-11-03,A,2025/11/08
222,222深坑區,0,0,0,1,1,0,0,0,0,1,2025-11-03,A,2025/11/08
223,223石碇區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
224,224瑞芳區,1,2,0,0,1,1,0,0,0,1,2025-11-03,A,2025/11/08
226,226平溪區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
227,227雙溪區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
228,228貢寮區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
231,231新店區,2,9,0,4,11,7,0,0,0,1,2025-11-03,A,2025/11/08
232,232坪林區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
233,233烏來區,0,1,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
234,234永和區,3,1,0,4,3,1,0,0,0,1,2025-11-03,A,2025/11/08
235,235中和區,6,6,0,5,4,4,0,0,0,1,2025-11-03,A,2025/11/08
236,236土城區,5,1,0,1,7,1,0,0,0,1,2025-11-03,A,2025/11/08
237,237三峽區,0,2,0,3,1,2,0,0,0,1,2025-11-03,A,2025/11/08
238,238樹林區,1,6,0,2,1,4,0,0,0,1,2025-11-03,A,2025/11/08
239,239鶯歌區,2,7,0,0,1,1,0,0,0,1,2025-11-03,A,2025/11/08
241,241三重區,4,10,0,12,5,2,0,0,0,1,2025-11-03,A,2025/11/08
242,242新莊區,5,10,0,4,8,10,0,0,0,1,2025-11-03,A,2025/11/08
243,243泰山區,1,0,0,0,3,0,0,0,0,1,2025-11-03,A,2025/11/08
244,244林口區,0,8,0,3,4,0,0,0,0,1,2025-11-03,A,2025/11/08
247,247蘆洲區,4,3,0,6,2,3,0,0,0,1,2025-11-03,A,2025/11/08
248,248五股區,0,0,0,6,0,0,0,0,0,1,2025-11-03,A,2025/11/08
249,249八里區,1,1,0,5,1,1,0,0,0,1,2025-11-03,A,2025/11/08
251,251淡水區,7,2,0,2,3,2,0,0,0,1,2025-11-03,A,2025/11/08
252,252三芝區,0,1,0,1,2,1,0,0,0,1,2025-11-03,A,2025/11/08
253,253石門區,0,0,0,0,0,0,0,0,0,1,2025-11-03,A,2025/11/08
100,100中正區,0,0,0,1,5,0,0,0,0,0,2025-11-03,V,2025/11/08
103,103大同區,0,1,0,3,2,0,0,0,0,0,2025-11-03,V,2025/11/08
104,104中山區,0,1,0,2,5,1,0,0,0,0,2025-11-03,V,2025/11/08
105,105松山區,1,1,0,6,1,0,0,0,0,0,2025-11-03,V,2025/11/08
106,106大安區,1,10,0,2,1,0,0,0,0,0,2025-11-03,V,2025/11/08
108,108萬華區,0,0,0,4,3,0,0,0,0,0,2025-11-03,V,2025/11/08
110,110信義區,0,0,0,1,2,0,0,0,0,0,2025-11-03,V,2025/11/08
111,111士林區,0,1,0,2,11,1,0,0,0,0,2025-11-03,V,2025/11/08
112,112北投區,0,1,0,4,7,0,0,0,0,0,2025-11-03,V,2025/11/08
114,114內湖區,0,0,0,3,11,0,0,0,0,0,2025-11-03,V,2025/11/08
115,115南港區,0,1,0,0,1,0,0,0,0,0,2025-11-03,V,2025/11/08
116,116文山區,1,1,0,2,12,1,0,0,0,0,2025-11-03,V,2025/11/08
100,100中正區,3,3,0,0,1,1,0,0,0,1,2025-11-03,V,2025/11/08
103,103大同區,1,2,0,1,2,2,0,0,0,1,2025-11-03,V,2025/11/08
104,104中山區,4,7,0,1,12,4,0,0,0,1,2025-11-03,V,2025/11/08
105,105松山區,3,2,0,3,6,2,0,0,0,1,2025-11-03,V,2025/11/08
106,106大安區,8,4,0,15,10,2,0,0,0,1,2025-11-03,V,2025/11/08
108,108萬華區,1,2,0,1,3,2,0,0,0,1,2025-11-03,V,2025/11/08
110,110信義區,2,2,0,2,5,1,0,0,0,1,2025-11-03,V,2025/11/08
111,111士林區,3,8,0,8,3,6,0,0,0,1,2025-11-03,V,2025/11/08
112,112北投區,1,2,0,0,4,2,0,0,0,1,2025-11-03,V,2025/11/08
114,114內湖區,1,7,0,3,6,7,0,0,0,1,2025-11-03,V,2025/11/08
