loc_id,date,animal,regis_count,removal_count,update_date
NTP028,2025/11/04,0,0,0,2025/11/08
NTP027,2025/11/04,0,1,0,2025/11/08
NTP001,2025/11/04,0,2,0,2025/11/08
NTP011,2025/11/04,0,0,0,2025/11/08
NTP018,2025/11/04,0,0,0,2025/11/08
NTP019,2025/11/04,0,0,0,2025/11/08
NTP012,2025/11/04,0,0,0,2025/11/08
NTP024,2025/11/04,0,0,0,2025/11/08
NTP025,2025/11/04,0,0,0,2025/11/08
NTP026,2025/11/04,0,0,0,2025/11/08
NTP006,2025/11/04,0,2,0,2025/11/08
NTP020,2025/11/04,0,0,0,2025/11/08
NTP029,2025/11/04,0,0,0,2025/11/08
NTP004,2025/11/04,0,3,0,2025/11/08
NTP003,2025/11/04,0,4,0,2025/11/08
NTP013,2025/11/04,0,1,0,2025/11/08
NTP009,2025/11/04,0,2,0,2025/11/08
NTP007,2025/11/04,0,2,0,2025/11/08
NTP008,2025/11/04,0,4,0,2025/11/08
NTP002,2025/11/04,0,2,0,2025/11/08
NTP005,2025/11/04,0,11,0,2025/11/08
NTP016,2025/11/04,0,3,0,2025/11/08
NTP017,2025/11/04,0,3,0,2025/11/08
NTP014,2025/11/04,0,5,0,2025/11/08
NTP015,2025/11/04,0,0,0,2025/11/08
NTP023,2025/11/04,0,0,0,2025/11/08
NTP010,2025/11/04,0,2,0,2025/11/08
NTP021,2025/11/04,0,0,0,2025/11/08
NTP022,2025/11/04,0,0,0,2025/11/08
NTP028,2025/11/04,1,0,0,2025/11/08
NTP027,2025/11/04,1,0,0,2025/11/08
NTP001,2025/11/04,1,15,0,2025/11/08
NTP011,2025/11/04,1,3,0,2025/11/08
NTP018,2025/11/04,1,0,0,2025/11/08
NTP019,2025/11/04,1,0,0,2025/11/08
NTP012,2025/11/04,1,1,0,2025/11/08
NTP024,2025/11/04,1,0,0,2025/11/08
NTP025,2025/11/04,1,1,0,2025/11/08
NTP026,2025/11/04,1,0,0,2025/11/08
NTP006,2025/11/04,1,8,0,2025/11/08
NTP020,2025/11/04,1,0,0,2025/11/08
NTP029,2025/11/04,1,1,0,2025/11/08
NTP004,2025/11/04,1,1,0,2025/11/08
NTP003,2025/11/04,1,12,0,2025/11/08
NTP013,2025/11/04,1,1,0,2025/11/08
NTP009,2025/11/04,1,4,0,2025/11/08
NTP007,2025/11/04,1,7,0,2025/11/08
NTP008,2025/11/04,1,2,0,2025/11/08
NTP002,2025/11/04,1,12,0,2025/11/08
NTP005,2025/11/04,1,7,0,2025/11/08
NTP016,2025/11/04,1,0,0,2025/11/08
NTP017,2025/11/04,1,8,0,2025/11/08
NTP014,2025/11/04,1,6,0,2025/11/08
NTP015,2025/11/04,1,0,0,2025/11/08
NTP023,2025/11/04,1,1,0,2025/11/08
NTP010,2025/11/04,1,4,0,2025/11/08
NTP021,2025/11/04,1,1,0,2025/11/08
NTP022,2025/11/04,1,0,0,2025/11/08
TPE005,2025/11/04,0,1,0,2025/11/08
TPE006,2025/11/04,0,1,0,2025/11/08
TPE004,2025/11/04,0,2,0,2025/11/08
TPE001,2025/11/04,0,0,0,2025/11/08
TPE003,2025/11/04,0,16,0,2025/11/08
TPE007,2025/11/04,0,1,0,2025/11/08
TPE002,2025/11/04,0,0,0,2025/11/08
TPE011,2025/11/04,0,1,0,2025/11/08
TPE012,2025/11/04,0,0,0,2025/11/08
TPE010,2025/11/04,0,1,0,2025/11/08
TPE009,2025/11/04,0,0,0,2025/11/08
TPE008,2025/11/04,0,0,0,2025/11/08
TPE005,2025/11/04,1,2,0,2025/11/08
TPE006,2025/11/04,1,3,0,2025/11/08
TPE004,2025/11/04,1,4,0,2025/11/08
TPE001,2025/11/04,1,4,0,2025/11/08
TPE003,2025/11/04,1,14,0,2025/11/08
TPE007,2025/11/04,1,3,0,2025/11/08
TPE002,2025/11/04,1,4,0,2025/11/08
TPE011,2025/11/04,1,4,0,2025/11/08
TPE012,2025/11/04,1,2,0,2025/11/08
TPE010,2025/11/04,1,7,0,2025/11/08
TPE009,2025/11/04,1,1,0,2025/11/08
TPE008,2025/11/04,1,6,0,2025/11/08
TYN002,2025/11/04,0,1,0,2025/11/08
TYN010,2025/11/04,0,1,0,2025/11/08
TYN009,2025/11/04,0,2,0,2025/11/08
TYN004,2025/11/04,0,6,0,2025/11/08
TYN011,2025/11/04,0,0,0,2025/11/08
TYN012,2025/11/04,0,0,0,2025/11/08
TYN001,2025/11/04,0,10,0,2025/11/08
TYN007,2025/11/04,0,9,0,2025/11/08
TYN008,2025/11/04,0,1,0,2025/11/08
TYN003,2025/11/04,0,3,0,2025/11/08
TYN013,2025/11/04,0,0,0,2025/11/08
TYN006,2025/11/04,0,1,0,2025/11/08
TYN005,2025/11/04,0,3,0,2025/11/08
TYN002,2025/11/04,1,7,0,2025/11/08
TYN010,2025/11/04,1,8,0,2025/11/08
TYN009,2025/11/04,1,6,0,2025/11/08
TYN004,2025/11/04,1,10,0,2025/11/08
TYN011,2025/11/04,1,0,0,2025/11/08
TYN012,2025/11/04,1,0,0,2025/11/08
TYN001,2025/11/04,1,4,0,2025/11/08
TYN007,2025/11/04,1,7,0,2025/11/08
TYN008,2025/11/04,1,6,0,2025/11/08
TYN003,2025/11/04,1,8,0,2025/11/08
TYN013,2025/11/04,1,0,0,2025/11/08
TYN006,2025/11/04,1,3,0,2025/11/08
TYN005,2025/11/04,1,6,0,2025/11/08
TCH001,2025/11/04,0,0,0,2025/11/08
TCH002,2025/11/04,0,0,0,2025/11/08
TCH003,2025/11/04,0,1,0,2025/11/08
TCH004,2025/11/04,0,11,0,2025/11/08
TCH005,2025/11/04,0,2,0,2025/11/08
TCH008,2025/11/04,0,5,0,2025/11/08
TCH006,2025/11/04,0,6,0,2025/11/08
TCH007,2025/11/04,0,12,0,2025/11/08
TCH027,2025/11/04,0,1,0,2025/11/08
TCH028,2025/11/04,0,3,0,2025/11/08
TCH026,2025/11/04,0,2,0,2025/11/08
TCH023,2025/11/04,0,6,0,2025/11/08
TCH009,2025/11/04,0,3,0,2025/11/08
TCH015,2025/11/04,0,0,0,2025/11/08
TCH020,2025/11/04,0,2,0,2025/11/08
TCH010,2025/11/04,0,0,0,2025/11/08
TCH029,2025/11/04,0,0,0,2025/11/08
TCH019,2025/11/04,0,1,0,2025/11/08
TCH017,2025/11/04,0,5,0,2025/11/08
TCH018,2025/11/04,0,3,0,2025/11/08
TCH016,2025/11/04,0,0,0,2025/11/08
TCH024,2025/11/04,0,6,0,2025/11/08
TCH013,2025/11/04,0,1,0,2025/11/08
TCH025,2025/11/04,0,1,0,2025/11/08
TCH014,2025/11/04,0,2,0,2025/11/08
TCH012,2025/11/04,0,0,0,2025/11/08
TCH011,2025/11/04,0,0,0,2025/11/08
TCH021,2025/11/04,0,1,0,2025/11/08
TCH022,2025/11/04,0,0,0,2025/11/08
TCH001,2025/11/04,1,3,0,2025/11/08
TCH002,2025/11/04,1,12,0,2025/11/08
TCH003,2025/11/04,1,11,0,2025/11/08
TCH004,2025/11/04,1,6,0,2025/11/08
TCH005,2025/11/04,1,13,0,2025/11/08
TCH008,2025/11/04,1,27,0,2025/11/08
TCH006,2025/11/04,1,18,0,2025/11/08
TCH007,2025/11/04,1,15,0,2025/11/08
TCH027,2025/11/04,1,29,0,2025/11/08
TCH028,2025/11/04,1,18,0,2025/11/08
TCH026,2025/11/04,1,6,0,2025/11/08
TCH023,2025/11/04,1,5,0,2025/11/08
TCH009,2025/11/04,1,5,0,2025/11/08
TCH015,2025/11/04,1,7,0,2025/11/08
TCH020,2025/11/04,1,5,0,2025/11/08
TCH010,2025/11/04,1,1,0,2025/11/08
TCH029,2025/11/04,1,1,0,2025/11/08
TCH019,2025/11/04,1,3,0,2025/11/08
TCH017,2025/11/04,1,11,0,2025/11/08
TCH018,2025/11/04,1,6,0,2025/11/08
TCH016,2025/11/04,1,8,0,2025/11/08
TCH024,2025/11/04,1,3,0,2025/11/08
TCH013,2025/11/04,1,7,0,2025/11/08
TCH025,2025/11/04,1,9,0,2025/11/08
TCH014,2025/11/04,1,5,0,2025/11/08
TCH012,2025/11/04,1,5,0,2025/11/08
TCH011,2025/11/04,1,2,0,2025/11/08
TCH021,2025/11/04,1,5,0,2025/11/08
TCH022,2025/11/04,1,0,0,2025/11/08
TNA037,2025/11/04,0,2,0,2025/11/08
TNA032,2025/11/04,0,0,0,2025/11/08
TNA033,2025/11/04,0,2,0,2025/11/08
TNA037,2025/11/04,0,0,0,2025/11/08
TNA034,2025/11/04,0,2,0,2025/11/08
TNA036,2025/11/04,0,1,0,2025/11/08
TNA035,2025/11/04,0,0,0,2025/11/08
TNA031,2025/11/04,0,3,0,2025/11/08
TNA028,2025/11/04,0,0,0,2025/11/08
TNA018,2025/11/04,0,0,0,2025/11/08
TNA026,2025/11/04,0,6,0,2025/11/08
TNA023,2025/11/04,0,0,0,2025/11/08
TNA024,2025/11/04,0,0,0,2025/11/08
TNA025,2025/11/04,0,0,0,2025/11/08
TNA027,2025/11/04,0,0,0,2025/11/08
TNA029,2025/11/04,0,0,0,2025/11/08
TNA030,2025/11/04,0,0,0,2025/11/08
TNA010,2025/11/04,0,1,0,2025/11/08
TNA007,2025/11/04,0,8,0,2025/11/08
TNA012,2025/11/04,0,0,0,2025/11/08
TNA014,2025/11/04,0,0,0,2025/11/08
TNA015,2025/11/04,0,1,0,2025/11/08
TNA016,2025/11/04,0,0,0,2025/11/08
TNA013,2025/11/04,0,0,0,2025/11/08
TNA017,2025/11/04,0,0,0,2025/11/08
TNA001,2025/11/04,0,2,0,2025/11/08
TNA005,2025/11/04,0,0,0,2025/11/08
TNA003,2025/11/04,0,0,0,2025/11/08
TNA006,2025/11/04,0,2,0,2025/11/08
TNA009,2025/11/04,0,0,0,2025/11/08
TNA008,2025/11/04,0,0,0,2025/11/08
TNA004,2025/11/04,0,0,0,2025/11/08
TNA002,2025/11/04,0,0,0,2025/11/08
TNA019,2025/11/04,0,0,0,2025/11/08
TNA011,2025/11/04,0,0,0,2025/11/08
TNA022,2025/11/04,0,0,0,2025/11/08
TNA020,2025/11/04,0,0,0,2025/11/08
TNA021,2025/11/04,0,0,0,2025/11/08
TNA037,2025/11/04,1,0,0,2025/11/08
TNA032,2025/11/04,1,6,0,2025/11/08
TNA033,2025/11/04,1,3,0,2025/11/08
TNA037,2025/11/04,1,0,0,2025/11/08
TNA034,2025/11/04,1,6,0,2025/11/08
TNA036,2025/11/04,1,3,0,2025/11/08
TNA035,2025/11/04,1,8,0,2025/11/08
TNA031,2025/11/04,1,9,0,2025/11/08
TNA028,2025/11/04,1,2,0,2025/11/08
TNA018,2025/11/04,1,3,0,2025/11/08
TNA026,2025/11/04,1,0,0,2025/11/08
TNA023,2025/11/04,1,2,0,2025/11/08
TNA024,2025/11/04,1,1,0,2025/11/08
TNA025,2025/11/04,1,1,0,2025/11/08
TNA027,2025/11/04,1,0,0,2025/11/08
TNA029,2025/11/04,1,1,0,2025/11/08
TNA030,2025/11/04,1,0,0,2025/11/08
TNA010,2025/11/04,1,1,0,2025/11/08
TNA007,2025/11/04,1,0,0,2025/11/08
TNA012,2025/11/04,1,6,0,2025/11/08
TNA014,2025/11/04,1,0,0,2025/11/08
TNA015,2025/11/04,1,0,0,2025/11/08
TNA016,2025/11/04,1,0,0,2025/11/08
TNA013,2025/11/04,1,2,0,2025/11/08
TNA017,2025/11/04,1,0,0,2025/11/08
TNA001,2025/11/04,1,11,0,2025/11/08
TNA005,2025/11/04,1,1,0,2025/11/08
TNA003,2025/11/04,1,0,0,2025/11/08
TNA006,2025/11/04,1,0,0,2025/11/08
TNA009,2025/11/04,1,0,0,2025/11/08
TNA008,2025/11/04,1,0,0,2025/11/08
TNA004,2025/11/04,1,1,0,2025/11/08
TNA002,2025/11/04,1,0,0,2025/11/08
TNA019,2025/11/04,1,3,0,2025/11/08
TNA011,2025/11/04,1,0,0,2025/11/08
TNA022,2025/11/04,1,0,0,2025/11/08
TNA020,2025/11/04,1,3,0,2025/11/08
TNA021,2025/11/04,1,2,0,2025/11/08
KSH006,2025/11/04,0,3,0,2025/11/08
KSH007,2025/11/04,0,11,0,2025/11/08
KSH008,2025/11/04,0,2,0,2025/11/08
KSH001,2025/11/04,0,1,0,2025/11/08
KSH002,2025/11/04,0,1,0,2025/11/08
KSH010,2025/11/04,0,2,0,2025/11/08
KSH009,2025/11/04,0,1,0,2025/11/08
KSH005,2025/11/04,0,6,0,2025/11/08
KSH004,2025/11/04,0,5,0,2025/11/08
KSH011,2025/11/04,0,5,0,2025/11/08
KSH003,2025/11/04,0,6,0,2025/11/08
KSH017,2025/11/04,0,6,0,2025/11/08
KSH016,2025/11/04,0,0,0,2025/11/08
KSH019,2025/11/04,0,12,0,2025/11/08
KSH024,2025/11/04,0,2,0,2025/11/08
KSH023,2025/11/04,0,0,0,2025/11/08
KSH022,2025/11/04,0,0,0,2025/11/08
KSH021,2025/11/04,0,9,0,2025/11/08
KSH020,2025/11/04,0,6,0,2025/11/08
KSH029,2025/11/04,0,3,0,2025/11/08
KSH028,2025/11/04,0,0,0,2025/11/08
KSH027,2025/11/04,0,0,0,2025/11/08
KSH025,2025/11/04,0,0,0,2025/11/08
KSH012,2025/11/04,0,5,0,2025/11/08
KSH014,2025/11/04,0,2,0,2025/11/08
KSH013,2025/11/04,0,15,0,2025/11/08
KSH018,2025/11/04,0,2,0,2025/11/08
KSH015,2025/11/04,0,0,0,2025/11/08
KSH030,2025/11/04,0,2,0,2025/11/08
KSH031,2025/11/04,0,1,0,2025/11/08
KSH032,2025/11/04,0,0,0,2025/11/08
KSH035,2025/11/04,0,1,0,2025/11/08
KSH034,2025/11/04,0,1,0,2025/11/08
KSH033,2025/11/04,0,0,0,2025/11/08
KSH037,2025/11/04,0,15,0,2025/11/08
KSH038,2025/11/04,0,0,0,2025/11/08
KSH036,2025/11/04,0,0,0,2025/11/08
KSH026,2025/11/04,0,0,0,2025/11/08
KSH006,2025/11/04,1,4,0,2025/11/08
KSH007,2025/11/04,1,0,0,2025/11/08
KSH008,2025/11/04,1,7,0,2025/11/08
KSH001,2025/11/04,1,1,0,2025/11/08
KSH002,2025/11/04,1,3,0,2025/11/08
KSH010,2025/11/04,1,1,0,2025/11/08
KSH009,2025/11/04,1,1,0,2025/11/08
KSH005,2025/11/04,1,24,0,2025/11/08
KSH004,2025/11/04,1,7,0,2025/11/08
KSH011,2025/11/04,1,4,0,2025/11/08
KSH003,2025/11/04,1,8,0,2025/11/08
KSH017,2025/11/04,1,11,0,2025/11/08
KSH016,2025/11/04,1,0,0,2025/11/08
KSH019,2025/11/04,1,5,0,2025/11/08
KSH024,2025/11/04,1,2,0,2025/11/08
KSH023,2025/11/04,1,11,0,2025/11/08
KSH022,2025/11/04,1,0,0,2025/11/08
KSH021,2025/11/04,1,4,0,2025/11/08
KSH020,2025/11/04,1,5,0,2025/11/08
KSH029,2025/11/04,1,11,0,2025/11/08
KSH028,2025/11/04,1,0,0,2025/11/08
KSH027,2025/11/04,1,1,0,2025/11/08
KSH025,2025/11/04,1,4,0,2025/11/08
KSH012,2025/11/04,1,6,0,2025/11/08
KSH014,2025/11/04,1,4,0,2025/11/08
KSH013,2025/11/04,1,3,0,2025/11/08
KSH018,2025/11/04,1,10,1,2025/11/08
KSH015,2025/11/04,1,4,0,2025/11/08
KSH030,2025/11/04,1,0,0,2025/11/08
KSH031,2025/11/04,1,1,0,2025/11/08
KSH032,2025/11/04,1,0,0,2025/11/08
KSH035,2025/11/04,1,0,0,2025/11/08
KSH034,2025/11/04,1,1,0,2025/11/08
KSH033,2025/11/04,1,0,0,2025/11/08
KSH037,2025/11/04,1,12,0,2025/11/08
KSH038,2025/11/04,1,0,0,2025/11/08
KSH036,2025/11/04,1,0,0,2025/11/08
KSH026,2025/11/04,1,1,0,2025/11/08
