ID,ShelterName,CityName,address,Phone,OpenTime,Url,Lon,Lat,Seq
PS00000033,屏東縣動物之家,屏東縣,909屏東縣麟洛鄉信義路101號,08-7221090,週二至週六09:30-12:00 13:30-17:00<br/>週日一及國定假日不開放<br/>如有臨時異動將公告於官方臉書，Hi毛寶貝-【屏東縣動物之家毛小孩樂園】,,120.54877711769304,22.65672194289826,29
PS00000032,彰化縣流浪狗中途之家,彰化縣,彰化縣員林市大峰里阿寶巷426號 (大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),(04)8590638,週六至週四(週五不開放)上午10:00~12:00，下午2:00~4:00。 每週五為消毒日，不對外...,,120.611184,23.965436,17
PS00000031,澎湖縣流浪動物收容中心,澎湖縣,澎湖縣馬公市烏崁里260號、261號,06-9213559,週二至週六，上午09:30至11:30，下午02:00至04:30,,119.621085,23.546707,31
PS00000030,金門縣動物收容中心,金門縣,金門縣金湖鎮裕民農莊20號,082-336625,周一至周日，上午9:00~12:00，下午2:00~5:00開放參觀；週六、週日認領養採預約制。,,118.444803,24.444095,30
PS00000029,連江縣流浪犬收容中心,連江縣,連江縣馬祖南竿鄉復興村223號,0836-25003,週一~週日，上午8:00~12:00，下午1:30~5:30。,,119.949347,26.161175,29
PS00000028,屏東縣公立犬貓中途之家,屏東縣,屏東縣內埔鄉學府路1號(屏東科技大學內),0900-493-311,週一至週五(國定例假日休園，如有異動將公告於官方臉書  Hi毛寶貝-【屏東縣犬貓中途之家＆社團法人台灣愛狗人協會】)，上午10：00~12：00，下午1：00~4：30。,,120.609826,22.643345,28
PS00000027,高雄市燕巢動物保護關愛園區,高雄市,高雄市燕巢區師大路98號,07-6051002,週二至週六，上午9:30~12:00，下午1:30-5:00(週一、週日及國定假日休園),,120.404663,22.79268,27
PS00000026,高雄市壽山動物保護教育園區,高雄市,高雄市鼓山區萬壽路350號,07-5519059,週二至週日，上午9：30~12：00，下午1：30~5：00。(週一及國定假日休園),,120.278157,22.635313,26
PS00000025,臺南市動物之家善化站,臺南市,臺南市善化區東昌里東勢寮1~19號,06-5832399,週二至週六，上午9:00~12:00，下午1:30~4:30；週一、日及國定例假日不開放。,,120.331643,23.148751,25
PS00000024,臺南市動物之家灣裡站,臺南市,臺南市南區省躬里14鄰萬年路580巷92號,06-2964439,週二至週六上午9:00~12:00下午1:30~4:30；星期一、日及國定例假日不開放,,120.194412,22.936741,24
PS00000023,嘉義縣流浪犬中途之家,嘉義縣,嘉義縣大林鎮中坑里中興2-6號,05-2950053 / 05-3620025,週二至週五：下午13：30~15：30，採預約參訪及認養，遇週六、日、一及國定連續假日停止開放,,120.50049,23.573139,23
PS00000022,嘉義市動物保護教育園區,嘉義市,嘉義市彌陀路31號旁,05-2168661,週二至週六，上午9:00~11:30，下午2:00~4:30。,,120.468786,23.46431,22
