縣市,行政區,店名,地址,電話,Google 評分,評分人數,營業狀態,營業時間,每週營業時數,最新評論日期,GMap 網址
台北市,10491台灣臺北市中山區遼寧街45巷36號,毛日子寵物美容精品,10491台灣臺北市中山區遼寧街45巷36號,02 2778 3139,4.9,289,營業中,星期一: 10:00 – 20:00; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:30 – 20:00; 星期日: 10:30 – 20:00,69,2025/8/23,https://maps.google.com/?cid=212793793014893624
台北市,10492台灣臺北市中山區長安東路二段220號,PetVida 薇達寵物精品沙龍 펫비다,10492台灣臺北市中山區長安東路二段220號,02 2777 3330,4.9,493,營業中,星期一: 10:30 – 19:00; 星期二: 10:30 – 19:00; 星期三: 10:30 – 19:00; 星期四: 10:30 – 19:00; 星期五: 10:30 – 19:00; 星期六: 10:30 – 19:00; 星期日: 10:30 – 19:00,59.5,2025/9/22,https://maps.google.com/?cid=3257189568410149940
台北市,10491台灣臺北市中山區長安東路二段228號,PetVida The Cat 薇達貓咪專屬精品沙龍 펫비다 더캣,10491台灣臺北市中山區長安東路二段228號,02 2777 3337,5,329,營業中,星期一: 休息; 星期二: 10:30 – 19:00; 星期三: 10:30 – 19:00; 星期四: 10:30 – 19:00; 星期五: 10:30 – 19:00; 星期六: 10:30 – 19:00; 星期日: 10:30 – 19:00,51,2025/9/25,https://maps.google.com/?cid=1285636589738411736
台北市,110台灣臺北市信義區仁愛路四段468號,Luby Pet Spa 路比寵物美容,110台灣臺北市信義區仁愛路四段468號,02 2720 1777,4.8,311,營業中,星期一: 休息; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:00 – 20:00; 星期日: 10:00 – 20:00,60,2025/7/20,https://maps.google.com/?cid=2866330128028420876
台北市,10491台灣臺北市中山區八德路二段300巷52號,九都專業寵物美容精剪,10491台灣臺北市中山區八德路二段300巷52號,02 8773 6646,5,37,營業中,星期一: 11:00 – 18:00; 星期二: 11:00 – 18:00; 星期三: 11:00 – 18:00; 星期四: 11:00 – 18:00; 星期五: 11:00 – 18:00; 星期六: 11:00 – 18:00; 星期日: 休息,42,2025/8/29,https://maps.google.com/?cid=13862759923871053522
台北市,106台灣臺北市大安區大安路一段205號,毛尾巴寵物美容旅店 Furry Tail Pet Salon & Hotel,106台灣臺北市大安區大安路一段205號,02 2700 0300,4.9,177,營業中,星期一: 10:00 – 19:00; 星期二: 10:00 – 19:00; 星期三: 休息; 星期四: 10:00 – 19:00; 星期五: 10:00 – 19:00; 星期六: 10:00 – 19:00; 星期日: 10:00 – 19:00,54,2025/9/4,https://maps.google.com/?cid=16859171228047394959
台北市,10658台灣臺北市大安區信義路三段128號2樓,狗樂子寵物沙龍,10658台灣臺北市大安區信義路三段128號2樓,02 2701 9969,4.9,94,營業中,星期一: 11:00 – 20:00; 星期二: 11:00 – 20:00; 星期三: 休息; 星期四: 11:00 – 20:00; 星期五: 11:00 – 20:00; 星期六: 11:00 – 20:00; 星期日: 11:00 – 20:00,54,2025/6/23,https://maps.google.com/?cid=15836485682443333458
台北市,106台灣臺北市大安區延吉街135-2號,Bubble Pet Grooming,106台灣臺北市大安區延吉街135-2號,02 8772 7562,4.7,48,營業中,星期一: 休息; 星期二: 10:00 – 20:00; 星期三: 10:00 – 20:00; 星期四: 10:00 – 20:00; 星期五: 10:00 – 20:00; 星期六: 10:00 – 20:00; 星期日: 10:30 – 20:00,59.5,2025/10/8,https://maps.google.com/?cid=10979550307547807788
台北市,10491台灣臺北市中山區松江路382號,喵汪美安宿-沐沐館 國寶寵物,10491台灣臺北市中山區松江路382號,02 2585 1158,4.8,148,營業中,星期一: 10:00 – 21:00; 星期二: 10:00 – 21:00; 星期三: 10:00 – 21:00; 星期四: 10:00 – 21:00; 星期五: 10:00 – 21:00; 星期六: 10:00 – 21:00; 星期日: 10:00 – 21:00,77,2025/10/20,https://maps.google.com/?cid=17696783076876022658
台北市,110台灣臺北市信義區和平東路三段361號,狗尾草Furtail寵物美容,110台灣臺北市信義區和平東路三段361號,02 2732 8636,4.9,360,營業中,星期一: 11:00 – 19:00; 星期二: 休息; 星期三: 休息; 星期四: 11:00 – 19:00; 星期五: 11:00 – 19:00; 星期六: 11:00 – 19:00; 星期日: 11:00 – 19:00,40,2023/5/18,https://maps.google.com/?cid=17319082686821001009
台北市,106台灣臺北市大安區復興南路一段295巷11號,Sunny寵物美容｜價格合理｜耐心愛心對待｜注重毛孩心情｜狗貓美容寵物美坊,106台灣臺北市大安區復興南路一段295巷11號,02 2703 8893,5,189,營業中,星期一: 10:30 – 19:30; 星期二: 10:30 – 19:30; 星期三: 10:30 – 19:30; 星期四: 10:30 – 19:30; 星期五: 10:30 – 19:30; 星期六: 10:30 – 19:30; 星期日: 休息,54,2025/10/16,https://maps.google.com/?cid=11434722411216696201
台北市,10491台灣臺北市中山區長春路3巷11弄3號,爪子精緻寵物沙龍,10491台灣臺北市中山區長春路3巷11弄3號,02 2567 2581,4.9,70,營業中,星期一: 12:00 – 21:00; 星期二: 12:00 – 21:00; 星期三: 12:00 – 21:00; 星期四: 12:00 – 21:00; 星期五: 12:00 – 21:00; 星期六: 12:00 – 21:00; 星期日: 12:00 – 21:00,63,2024/6/24,https://maps.google.com/?cid=14551254453391496215
台北市,17號雙連街39巷大同區臺北市台灣,沐月寵物美容工作室,"1 樓, No. 17號雙連街39巷大同區臺北市台灣 103",02 2557 9729,5,47,營業中,星期一: 10:30 – 19:00; 星期二: 休息; 星期三: 休息; 星期四: 10:30 – 19:00; 星期五: 10:30 – 19:00; 星期六: 10:30 – 19:00; 星期日: 10:30 – 19:00,42.5,2024/12/27,https://maps.google.com/?cid=1773507226251157981
