縣市,名稱,地址,評分,評論數,營業時間,經度,緯度
台北市,就甘心Ponpon寵物旅館,10491台灣臺北市中山區新生北路二段60巷16號4樓,5.0,386.0,星期一: 11:00 – 19:00；星期二: 11:00 – 19:00；星期三: 11:00 – 19:00；星期四: 11:00 – 19:00；星期五: 11:00 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5268032,25.0556688
台北市,逗格寵物旅館DogoHotel,10491台灣臺北市中山區雙城街49巷9-6號1樓,5.0,163.0,星期一: 08:15 – 20:00；星期二: 08:15 – 20:00；星期三: 08:15 – 20:00；星期四: 08:15 – 20:00；星期五: 08:15 – 20:00；星期六: 08:15 – 20:00；星期日: 08:15 – 20:00,121.5250757,25.0680154
台北市,【米兔旅店】兔子住宿-寵物旅館,103台灣臺北市大同區酒泉街105號,5.0,228.0,星期一: 08:00 – 20:00；星期二: 08:00 – 20:00；星期三: 08:00 – 20:00；星期四: 08:00 – 20:00；星期五: 08:00 – 20:00；星期六: 08:00 – 20:00；星期日: 08:00 – 20:00,121.5152486,25.0721397
台北市,24h寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛下單保障雙方,103台灣臺北市大同區五原路19號,5.0,12.0,星期一: 24 小時營業；星期二: 24 小時營業；星期三: 24 小時營業；星期四: 24 小時營業；星期五: 24 小時營業；星期六: 24 小時營業；星期日: 24 小時營業,121.5174032,25.0566984
台北市,北歐寵物旅館,106台灣臺北市大安區新生南路二段60-1號,4.7,386.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.5341688,25.0284165
台北市,Very旺寵物旅館 VW pet hotel,105台灣臺北市松山區八德路二段429號2樓,4.4,314.0,星期一: 08:30 – 20:00；星期二: 08:30 – 20:00；星期三: 08:30 – 20:00；星期四: 08:30 – 20:00；星期五: 08:30 – 20:00；星期六: 08:30 – 20:00；星期日: 08:30 – 20:00,121.5466462,25.0483138
台北市,貓僕舍複合式貓旅館,10362台灣臺北市大同區重慶北路三段73號,4.9,52.0,星期一: 10:30 – 19:00；星期二: 10:30 – 19:00；星期三: 10:30 – 19:00；星期四: 10:30 – 19:00；星期五: 10:30 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5138623,25.0664411
台北市,台北專業貓咪保姆KIKI/到府照護/陪狗狗散步/到府美容洗澡/寵物旅館/寵物寄宿/毛小愛APP,100台灣臺北市中正區林森北路9巷5號,4.9,28.0,星期一: 24 小時營業；星期二: 24 小時營業；星期三: 24 小時營業；星期四: 24 小時營業；星期五: 24 小時營業；星期六: 24 小時營業；星期日: 24 小時營業,121.5241794,25.0457797
台北市,家裡寵物旅館-幼幼館,"1樓, No. 195號長安東路二段中山區臺北市台灣 10490",4.8,131.0,"星期一: 10:00 – 12:00, 13:30 – 20:00；星期二: 10:00 – 12:00, 13:30 – 20:00；星期三: 10:00 – 12:00, 13:30 – 20:00；星期四: 10:00 – 12:00, 13:30 – 20:00；星期五: 10:00 – 12:00, 13:30 – 20:00；星期六: 10:00 – 12:00, 13:30 – 20:00；星期日: 10:00 – 12:00, 13:30 – 20:00",121.5432635,25.04836
台北市,宅貓旅館🥰中山館,10469台灣臺北市中山區民生東路二段3號,4.9,284.0,星期一: 10:30 – 20:00；星期二: 10:30 – 20:00；星期三: 10:30 – 20:00；星期四: 10:30 – 20:00；星期五: 10:30 – 20:00；星期六: 10:30 – 20:00；星期日: 10:30 – 20:00,121.5282278,25.0582391
台北市,狗窩窩愛犬旅舍(寵物旅館/狗狗旅館/狗狗美容/狗狗住宿/寵物安親/狗狗洗澡),105台灣臺北市松山區民生東路五段137巷2-5號1樓,4.7,79.0,星期一: 08:00 – 21:00；星期二: 08:00 – 21:00；星期三: 08:00 – 21:00；星期四: 08:00 – 21:00；星期五: 08:00 – 21:00；星期六: 08:00 – 21:00；星期日: 08:00 – 21:00,121.5616835,25.0592262
台北市,貓踏踏貓旅館,104台灣臺北市中山區長安東路一段16號10樓之3,5.0,47.0,星期一: 11:00 – 20:00；星期二: 11:00 – 20:00；星期三: 11:00 – 20:00；星期四: 11:00 – 20:00；星期五: 11:00 – 20:00；星期六: 11:00 – 20:00；星期日: 11:00 – 20:00,121.5231019,25.049391
台北市,喵吉拉渡假村｜頂級純貓旅館｜純貓美容｜韓國寵物選品｜到府寵物管家,100台灣臺北市中正區金山北路1號13樓,5.0,85.0,星期一: 12:00 – 19:00；星期二: 12:00 – 19:00；星期三: 12:00 – 19:00；星期四: 12:00 – 19:00；星期五: 12:00 – 19:00；星期六: 12:00 – 19:00；星期日: 12:00 – 19:00,121.5304059,25.0441326
台北市,D&Y 寵物美容時尚旅店,10491台灣臺北市中山區中山北路三段55巷22號,4.7,298.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.523917,25.067884
台北市,丹迪貓•Cat Hotel&Grooming,103020台灣臺北市大同區平陽街25號,5.0,77.0,星期一: 11:00 – 21:00；星期二: 11:00 – 21:00；星期三: 11:00 – 21:00；星期四: 11:00 – 21:00；星期五: 11:00 – 21:00；星期六: 11:00 – 21:00；星期日: 11:00 – 21:00,121.5173115,25.0550865
台北市,WSPA寵物旅館,100台灣台北市中正区罗斯福路三段139號1F,4.5,124.0,星期一: 09:00 – 20:00；星期二: 09:00 – 20:00；星期三: 09:00 – 20:00；星期四: 09:00 – 20:00；星期五: 09:00 – 20:00；星期六: 09:00 – 20:00；星期日: 09:00 – 20:00,121.527207,25.0218659
台北市,GuGu House 寵物旅館,10462台灣臺北市中山區敬業一路160號,4.7,72.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.5531642,25.0839287
台北市,吃手手寵物精品旅館The Paw Pet Hotel,100台灣台北市中正区济南路二段35-1號1樓,4.6,109.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.5297938,25.0408138
台北市,小客廳寵物旅館 The Living Room Pet Hotel,114台灣臺北市內湖區成功路四段30巷19號,4.8,113.0,星期一: 08:15 – 21:00；星期二: 08:15 – 21:00；星期三: 08:15 – 21:00；星期四: 08:15 – 21:00；星期五: 08:15 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.591793,25.0822558
台北市,貓格里拉 - 貓旅館 - 貓住宿 - Cat Hotel & Goods,"10樓之3, No. 76號復興南路一段大安區臺北市台灣 106",5.0,168.0,星期一: 11:00 – 19:00；星期二: 11:00 – 19:00；星期三: 11:00 – 19:00；星期四: 11:00 – 19:00；星期五: 11:00 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5435872,25.0440031
台北市,狗狗日常寵物旅館/寵物旅館/寵物美容/寵物自助洗/狗安親/狗住宿*全預約制*,"85號, 羅斯福路六段文山區臺北市台灣 116",4.7,148.0,星期一: 10:30 – 18:30；星期二: 10:30 – 18:30；星期三: 10:30 – 18:30；星期四: 10:30 – 18:30；星期五: 10:30 – 18:30；星期六: 10:30 – 18:30；星期日: 10:30 – 18:30,121.5405372,24.9985675
台北市,樓上遇見貓（南京館）｜松山區純貓旅館｜住宿獨立大空間｜近南京復興站,105台灣臺北市松山區南京東路三段256巷47號,5.0,17.0,星期一: 12:00 – 19:00；星期二: 12:00 – 19:00；星期三: 12:00 – 19:00；星期四: 12:00 – 19:00；星期五: 12:00 – 19:00；星期六: 12:00 – 19:00；星期日: 12:00 – 19:00,121.5445922,25.0496516
台北市,狗狗好乖寵物旅館,115台灣臺北市南港區玉成街4號,4.6,73.0,星期一: 08:10 – 21:00；星期二: 08:10 – 21:00；星期三: 08:10 – 21:30；星期四: 08:10 – 21:00；星期五: 08:10 – 21:00；星期六: 08:10 – 21:00；星期日: 08:10 – 21:00,121.5814516,25.0512159
台北市,北歐寵物旅館 游泳館,105台灣臺北市松山區八德路三段224號,4.7,301.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.557153,25.0480288
台北市,金狗錐狗狗寵物旅館（預約制）小型犬安親住宿、狗狗美容,105台灣臺北市松山區南京東路五段163-4號,5.0,59.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.5626835,25.0516991
