縣市,行政區,人口數
臺北市,松山區,187465
臺北市,信義區,201806
臺北市,大安區,282653
臺北市,中山區,212454
臺北市,中正區,144477
臺北市,大同區,116821
臺北市,萬華區,169024
臺北市,文山區,253991
臺北市,南港區,111045
臺北市,內湖區,268385
臺北市,士林區,258695
臺北市,北投區,236175
新北市,板橋區,550256
新北市,三重區,383035
新北市,中和區,404507
新北市,永和區,211631
新北市,新莊區,421669
新北市,新店區,307003
新北市,樹林區,177602
新北市,鶯歌區,89581
新北市,三峽區,115077
新北市,淡水區,206758
新北市,汐止區,212788
新北市,瑞芳區,35751
新北市,土城區,242434
新北市,蘆洲區,196745
新北市,五股區,94510
新北市,泰山區,78101
新北市,林口區,138017
新北市,深坑區,23688
新北市,石碇區,6939
新北市,坪林區,6184
新北市,三芝區,22125
新北市,石門區,10024
新北市,八里區,43448
新北市,平溪區,3936
新北市,雙溪區,7477
新北市,貢寮區,10498
新北市,金山區,19788
新北市,萬里區,20301
新北市,烏來區,6164
桃園市,桃園區,477988
桃園市,中壢區,438903
桃園市,大溪區,94014
桃園市,楊梅區,182775
桃園市,蘆竹區,170615
桃園市,大園區,89122
桃園市,龜山區,187668
桃園市,八德區,215697
桃園市,龍潭區,127511
桃園市,平鎮區,228291
桃園市,新屋區,49741
桃園市,觀音區,77143
桃園市,復興區,13215
臺中市,中　區,18011
臺中市,東　區,77602
臺中市,南　區,128307
臺中市,西　區,113329
臺中市,北　區,143502
臺中市,西屯區,237919
臺中市,南屯區,185951
臺中市,北屯區,316894
臺中市,豐原區,161923
臺中市,東勢區,46648
臺中市,大甲區,73201
臺中市,清水區,90713
臺中市,沙鹿區,101330
臺中市,梧棲區,64880
臺中市,后里區,52795
臺中市,神岡區,63450
臺中市,潭子區,109375
臺中市,大雅區,94803
臺中市,新社區,22605
臺中市,石岡區,13713
臺中市,外埔區,30865
臺中市,大安區,17532
臺中市,烏日區,82162
臺中市,大肚區,55360
臺中市,龍井區,79137
臺中市,霧峰區,62769
臺中市,太平區,201112
臺中市,大里區,211173
臺中市,和平區,10476
臺南市,新營區,74627
臺南市,鹽水區,23764
臺南市,白河區,25055
臺南市,柳營區,19897
臺南市,後壁區,20958
臺南市,東山區,18558
臺南市,麻豆區,42962
臺南市,下營區,21812
臺南市,六甲區,20930
臺南市,官田區,20563
臺南市,大內區,8460
臺南市,佳里區,58348
臺南市,學甲區,24413
臺南市,西港區,24847
臺南市,七股區,20580
臺南市,將軍區,17704
臺南市,北門區,9488
臺南市,新化區,41974
臺南市,善化區,53800
臺南市,新市區,38302
臺南市,安定區,29838
臺南市,山上區,6838
臺南市,玉井區,12709
臺南市,楠西區,8436
臺南市,南化區,7662
臺南市,左鎮區,4075
臺南市,仁德區,77504
臺南市,歸仁區,70530
臺南市,關廟區,33219
臺南市,龍崎區,3251
臺南市,永康區,235942
臺南市,東　區,180989
臺南市,南　區,119431
臺南市,北　區,125412
臺南市,安南區,204497
臺南市,安平區,71229
臺南市,中西區,76078
高雄市,鹽埕區,21942
高雄市,鼓山區,140817
高雄市,左營區,197775
高雄市,楠梓區,195604
高雄市,三民區,329100
高雄市,新興區,49354
高雄市,前金區,27608
高雄市,苓雅區,161503
高雄市,前鎮區,177427
高雄市,旗津區,25019
高雄市,小港區,153179
高雄市,鳳山區,353431
高雄市,林園區,67447
高雄市,大寮區,112310
高雄市,大樹區,39988
高雄市,大社區,33791
高雄市,仁武區,100067
高雄市,鳥松區,43758
高雄市,岡山區,94750
高雄市,橋頭區,43320
高雄市,燕巢區,28405
高雄市,田寮區,6162
高雄市,阿蓮區,26817
高雄市,路竹區,49123
高雄市,湖內區,29340
高雄市,茄萣區,28771
高雄市,永安區,13529
高雄市,彌陀區,17793
高雄市,梓官區,34727
高雄市,旗山區,33487
高雄市,美濃區,36237
高雄市,六龜區,11329
高雄市,甲仙區,5301
高雄市,杉林區,10595
高雄市,內門區,12609
高雄市,茂林區,1838
高雄市,桃源區,4137
高雄市,那瑪夏區,3110
